iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,65,67,67,81,78,67,71,64
2,58,73,68,64,88,77,61,71
3,64,57,63,78,114,72,59,53
4,63,85,70,63,99,55,59,66
5,56,89,43,56,148,56,47,65
6,49,115,47,48,133,56,60,52
7,65,85,40,53,147,57,60,53
8,42,115,54,45,147,50,61,46
9,71,104,63,43,122,41,52,64
10,92,108,52,50,133,41,30,54
11,118,105,50,30,129,40,40,48
12,148,102,39,42,95,43,50,41
13,168,97,41,39,94,36,39,46
14,146,81,78,31,103,33,38,50
15,180,78,60,34,86,47,38,37
16,194,87,57,34,87,34,29,38
17,176,89,89,35,85,36,17,33
18,177,75,99,35,69,29,34,42
19,149,71,133,28,84,28,41,26
20,150,73,155,32,69,23,23,35
21,142,64,167,22,71,26,30,38
22,153,51,180,27,58,22,30,39
23,134,46,216,29,66,15,31,23
24,129,59,219,21,53,23,27,29
25,102,51,232,22,63,31,33,26
26,114,52,252,23,51,25,21,22
27,106,42,274,18,45,26,20,29
28,92,46,284,21,45,34,16,22
29,107,44,237,20,53,18,27,54
30,85,38,234,27,45,28,54,49
31,81,49,219,22,43,28,69,49
32,71,36,223,21,37,23,115,34
33,80,32,207,26,39,23,91,62
34,75,36,202,13,32,16,120,66
35,70,43,190,22,39,22,102,72
36,67,28,171,20,34,14,108,118
37,70,21,174,16,23,17,117,122
38,58,33,156,18,43,13,95,144
39,69,28,142,14,33,16,89,169
40,54,25,135,16,26,26,78,200
41,40,26,143,18,24,23,88,198
42,43,30,127,19,27,23,83,208
43,45,29,113,20,25,16,62,250
44,48,26,121,15,20,20,74,236
45,35,26,104,23,16,18,67,271
46,41,23,107,12,20,27,65,265
47,39,21,87,25,20,12,48,308
48,32,24,99,13,31,19,55,287
49,42,23,80,19,25,16,53,302
50,26,19,74,11,20,14,40,356
51,24,12,81,14,20,11,48,350
52,25,21,68,16,50,13,53,314
53,24,21,55,19,68,17,44,312
54,22,21,64,14,99,18,49,273
55,18,12,50,15,121,15,47,282
56,29,12,58,15,138,15,40,253
57,20,19,49,11,164,17,39,241
58,19,16,50,16,197,14,44,204
59,28,10,55,14,204,11,30,208
60,19,21,55,13,207,16,29,200
61,15,17,48,10,228,6,33,203
62,19,9,48,16,225,16,32,195
63,20,20,48,12,265,22,24,149
64,9,19,44,14,277,9,38,150
65,20,13,40,8,280,13,28,158
