iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,73,76,68,64,73,72,69,65
2,59,69,76,64,67,57,100,68
3,50,62,58,71,76,60,122,61
4,64,67,62,62,53,75,119,58
5,67,38,57,55,60,74,151,58
6,53,63,56,51,48,57,183,49
7,56,49,55,61,55,50,182,52
8,52,54,65,46,45,48,198,52
9,40,47,46,48,46,55,230,48
10,41,47,47,56,44,40,237,48
11,39,52,45,39,38,38,255,54
12,42,48,35,56,42,34,268,35
13,47,40,36,30,39,46,290,32
14,47,26,36,34,34,45,307,31
15,40,33,48,38,37,27,311,26
16,37,38,40,26,31,39,310,39
17,26,25,36,37,37,37,331,31
18,31,34,39,42,40,24,317,33
19,38,25,32,35,31,33,339,27
20,32,36,30,35,23,33,342,29
21,22,37,30,40,23,33,341,34
22,27,20,24,21,34,23,371,40
23,19,29,33,30,27,23,371,28
24,28,26,19,19,38,35,371,24
25,26,28,30,22,27,27,381,19
26,27,21,30,19,23,26,383,31
27,21,24,20,17,22,18,428,10
28,57,23,26,13,20,24,375,22
29,78,20,16,21,24,24,352,25
30,108,21,20,28,19,24,318,22
31,89,48,20,24,27,24,306,22
32,91,74,26,20,20,28,284,17
33,81,108,23,20,13,24,274,17
34,88,124,23,20,14,17,253,21
35,77,147,18,26,25,17,233,17
36,69,158,25,17,19,18,242,12
37,71,185,17,14,26,27,201,19
38,53,213,17,15,22,14,196,30
39,58,236,16,15,20,19,180,16
40,58,207,20,16,15,13,192,39
41,58,175,14,22,15,12,212,52
42,40,169,19,13,15,14,238,52
43,45,177,16,16,15,18,233,40
44,47,141,12,22,17,16,266,39
45,57,148,14,11,17,17,259,37
46,37,155,12,14,15,18,278,31
47,37,146,17,20,21,17,262,40
48,39,109,14,18,11,12,324,33
49,41,103,15,21,11,10,320,39
50,58,120,8,13,18,18,299,26
51,93,107,14,10,15,13,277,31
52,111,117,16,10,11,14,254,27
53,130,85,19,14,13,14,251,34
