iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,100,100,100,100,100,100,100,100,100
1,92,108,116,95,97,88,96,107,101
2,97,135,94,111,100,98,100,78,87
3,91,177,96,104,86,87,97,77,85
4,89,189,95,91,77,95,85,83,96
5,77,237,85,90,87,85,80,90,69
6,72,261,77,82,85,88,72,83,80
7,72,252,116,77,62,94,77,61,89
8,110,220,125,78,71,80,70,77,69
9,96,215,142,61,83,84,69,70,80
10,153,199,128,77,61,68,69,74,71
11,172,190,131,64,70,59,66,81,67
12,155,240,140,61,68,57,70,65,44
13,173,259,106,48,67,67,66,57,57
14,164,275,112,49,61,56,46,74,63
15,154,257,104,90,41,50,57,59,88
16,122,277,103,74,50,56,49,54,115
17,130,271,87,92,38,44,50,37,151
18,116,243,69,72,49,50,60,46,195
19,119,236,88,62,44,43,44,40,224
20,90,222,83,78,53,34,47,38,255
21,95,232,67,78,43,32,39,38,276
22,89,160,65,64,41,39,93,47,302
23,87,195,61,51,38,44,96,35,293
24,112,198,63,43,31,32,89,44,288
25,129,195,58,47,46,36,104,25,260
26,175,207,49,64,16,30,82,30,247
27,206,236,38,38,39,30,67,25,221
28,220,256,45,33,33,27,49,29,208
29,217,248,36,35,23,27,73,18,223
30,242,246,38,25,22,27,71,23,206
31,262,273,30,25,20,33,57,18,182
32,288,292,32,24,23,22,42,14,163
33,291,314,23,27,14,18,42,16,155
34,268,293,27,24,17,16,65,19,171
35,233,268,59,20,12,23,97,8,180
36,269,216,77,20,11,15,78,21,193
37,267,218,113,13,10,8,72,19,180
38,277,209,142,10,15,17,56,12,162
39,291,211,169,12,12,10,64,11,120
40,292,178,179,12,17,13,52,10,147
41,291,209,198,12,10,13,38,13,116
42,274,206,217,12,6,4,33,3,145
43,272,228,164,17,8,10,29,11,161
44,265,246,184,9,8,4,31,9,144
45,286,229,205,10,6,8,24,11,121
46,288,236,198,12,14,4,21,17,110
47,304,279,160,10,4,7,28,10,98
48,309,316,127,10,12,9,21,11,85
49,324,277,122,11,17,7,21,5,116
50,328,276,113,10,10,7,21,13,122
51,322,301,101,10,9,13,12,7,125
52,339,288,108,9,12,12,21,4,107
53,333,334,86,4,8,9,15,6,105
54,340,316,71,8,11,9,16,9,120
55,335,329,57,11,11,11,16,6,124
56,348,289,60,10,7,8,13,4,161
57,347,321,66,6,13,8,10,4,125
58,334,330,50,11,4,10,7,7,147
59,329,334,51,7,6,10,12,5,146
60,339,328,36,13,10,18,20,7,129
61,302,342,49,10,8,4,16,6,163
62,263,380,37,8,12,7,16,7,170
63,254,392,28,10,8,18,16,5,169
64,225,392,39,11,11,11,7,5,199
65,203,417,42,9,10,9,13,9,188
66,190,394,37,13,14,9,13,6,224
67,185,410,27,14,11,4,15,5,229
68,204,359,30,14,9,10,10,7,257
69,206,380,25,3,9,5,8,10,254
70,176,362,60,6,11,7,10,11,257
71,154,351,99,12,15,13,8,9,239
72,117,356,119,11,5,6,11,8,267
73,145,334,132,9,8,7,11,3,251
74,153,344,127,11,5,13,7,5,235
75,184,290,166,13,8,5,8,11,215
76,191,301,187,7,4,7,5,6,192
77,229,273,166,8,12,10,7,6,189
78,204,261,191,8,10,5,5,5,211
79,225,227,211,7,10,12,7,12,189
80,236,212,236,4,8,3,4,8,189
