iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,61,77,61,82,69,62,78
2,56,68,66,57,67,101,75
3,54,55,55,69,74,120,63
4,54,57,66,61,63,127,62
5,69,50,58,57,62,139,55
6,58,46,56,66,50,168,46
7,54,51,53,42,63,175,52
8,53,61,43,40,43,183,67
9,49,54,46,50,45,205,41
10,50,52,59,36,35,206,52
11,35,55,47,45,42,219,47
12,42,42,46,46,45,230,39
13,35,33,50,50,39,249,34
14,39,35,42,40,47,252,35
15,33,36,35,34,33,270,49
16,41,23,33,39,33,288,33
17,44,37,26,36,34,282,31
18,39,37,24,30,33,294,33
19,30,33,24,34,34,303,32
20,42,32,23,28,30,312,23
21,34,35,24,36,33,301,27
22,29,26,15,29,23,336,32
23,26,30,24,39,27,328,16
24,32,20,26,25,24,338,25
25,32,24,26,23,25,335,25
26,24,19,22,25,29,345,26
27,25,21,30,20,22,344,28
28,25,17,24,16,23,365,20
29,30,29,13,25,27,338,28
30,22,25,21,20,24,360,18
31,21,18,18,21,18,371,23
32,19,20,25,16,17,370,23
33,17,21,16,19,23,380,14
34,24,19,11,17,22,381,16
35,19,22,14,12,20,383,20
36,16,12,18,17,12,394,21
37,21,12,25,17,20,373,22
38,16,9,10,25,19,390,21
39,13,13,23,18,18,385,20
40,19,13,16,22,21,386,13
41,22,14,9,20,26,381,18
42,14,18,24,19,23,382,10
43,17,22,19,15,16,389,12
44,16,16,9,18,16,396,19
45,11,19,12,22,19,391,16
46,17,18,16,16,19,389,15
47,20,16,15,16,16,392,15
48,11,25,7,17,20,398,12
49,15,18,13,15,13,406,10
50,13,9,13,12,17,405,21
51,9,14,12,17,11,407,20
52,20,13,10,10,16,407,14
53,10,10,13,11,19,410,17
54,10,15,24,18,16,398,9
55,12,11,13,15,15,411,13
56,13,24,11,11,14,409,8
57,13,13,16,14,16,405,13
58,10,16,10,16,15,402,21
59,13,25,4,13,15,405,15
60,17,12,13,11,16,404,17
61,13,16,21,11,9,402,18
62,16,13,13,11,15,404,18
63,9,12,13,13,20,408,15
64,10,14,16,8,11,414,17
65,13,13,9,11,15,417,12
66,11,15,14,11,19,407,13
67,17,20,14,13,17,404,5
68,9,14,18,16,15,408,10
69,14,12,11,14,18,411,10
70,15,14,9,12,9,416,15
71,9,13,13,12,10,419,14
72,16,14,43,10,6,388,13
73,13,10,58,8,13,376,12
74,11,7,98,10,18,337,9
75,9,4,117,8,15,326,11
76,9,11,122,10,10,313,15
77,10,8,152,8,18,285,9
78,10,5,159,11,15,280,10
79,10,23,172,9,13,247,16
80,11,15,173,23,11,252,5
81,7,14,203,8,19,221,18
82,11,14,221,10,7,222,5
83,11,10,240,12,8,198,11
84,11,10,242,11,13,188,15
85,8,9,216,14,13,217,13
86,13,13,217,10,10,211,16
87,13,8,189,15,10,247,8
88,6,12,178,14,11,259,10
89,15,13,164,13,14,260,11
90,10,13,175,14,16,249,13
91,18,4,156,11,9,279,13
92,17,11,143,12,15,279,13
93,21,19,159,7,9,259,16
94,14,10,178,5,17,248,18
95,10,10,196,11,8,246,9
96,4,3,225,13,17,220,8
97,11,10,231,13,12,201,12
98,6,15,230,11,12,202,14
99,9,14,223,18,11,203,12
100,10,8,258,11,15,176,12
101,6,15,282,6,10,155,16
102,9,12,280,17,10,150,12
103,12,10,267,11,11,166,13
104,6,12,277,15,16,151,13
105,12,13,301,12,14,125,13
106,10,11,303,10,10,140,6
107,12,13,314,13,7,121,10
108,7,18,325,16,10,107,7
109,7,13,333,10,16,97,14
110,10,7,323,13,14,107,16
111,9,11,340,7,13,98,12
112,11,18,324,5,15,107,10
113,12,12,360,9,6,84,7
114,12,10,342,14,18,81,13
115,16,14,343,10,14,84,9
116,18,15,340,12,15,80,10
117,6,13,370,9,8,75,9
118,14,9,369,6,19,61,12
119,10,9,363,12,13,73,10
120,13,15,364,13,17,66,2
121,10,17,365,7,19,56,16
122,7,5,381,16,11,65,5
123,10,15,382,10,12,52,9
124,15,14,375,11,10,47,18
125,14,5,391,10,16,48,6
126,5,15,372,11,14,60,13
127,11,13,393,12,11,37,13
128,14,9,392,10,10,37,18
129,13,10,396,8,7,44,12
130,20,12,406,6,12,21,13
131,13,9,370,13,9,61,15
132,13,10,355,11,15,76,10
133,15,16,338,7,15,85,14
134,10,16,317,14,7,114,12
135,9,13,311,7,10,129,11
136,14,8,275,9,9,159,16
137,14,9,260,12,14,170,11
138,11,5,248,11,14,186,15
139,17,10,235,11,13,192,12
140,17,12,211,14,12,218,6
141,16,8,203,12,11,227,13
142,14,11,199,13,16,223,14
143,13,8,183,16,11,241,18
144,10,18,167,10,17,259,9
145,14,13,156,7,9,278,13
146,15,10,172,6,9,267,11
147,15,20,151,3,12,274,15
148,17,15,142,11,9,282,14
149,6,7,126,20,18,292,21
150,15,10,105,14,14,325,7
151,3,10,102,13,10,339,13
152,8,9,136,16,7,305,9
153,12,12,111,7,16,319,13
154,12,11,104,15,17,314,17
155,7,6,99,11,18,333,16
156,11,18,110,13,10,316,12
157,16,9,90,12,19,333,11
158,15,12,79,9,9,357,9
159,7,13,86,8,19,351,6
160,14,9,61,17,12,366,11
161,8,12,73,15,10,360,12
162,6,6,69,5,10,382,12
163,21,16,65,14,11,349,14
164,14,9,56,6,12,381,12
165,10,10,66,17,12,368,7
166,12,9,53,12,8,378,18
167,13,9,52,15,5,391,5
168,10,27,45,16,16,366,10
169,12,10,46,9,10,395,8
170,13,12,51,11,16,377,10
171,13,13,31,11,20,385,17
172,15,15,51,14,8,381,6
173,7,11,34,7,20,396,15
174,9,12,46,8,9,391,15
175,11,16,32,8,11,401,11
176,9,10,40,5,8,403,15
177,14,16,38,14,9,385,14
178,15,11,27,11,8,406,12
179,14,8,35,5,8,414,6
180,11,16,34,10,10,398,11
181,17,9,27,8,18,399,12
182,6,12,30,11,8,413,10
183,15,11,25,11,12,409,7
184,15,11,29,14,6,404,11
185,12,11,29,10,15,399,14
186,11,10,28,13,17,404,7
187,15,9,26,11,9,412,8
188,19,9,22,10,8,413,9
189,11,13,27,14,11,402,12
190,11,14,36,12,11,394,12
191,10,13,19,5,21,415,7
192,18,15,18,9,11,405,14
193,15,11,25,11,12,399,17
194,21,5,20,10,7,414,13
195,13,9,25,10,9,411,13
196,16,18,26,10,10,405,5
197,18,11,25,9,7,408,12
198,13,13,20,13,15,402,14
199,10,16,13,9,8,424,10
200,6,16,24,11,10,411,12
201,9,14,16,10,11,421,9
202,15,15,14,6,8,420,12
203,15,12,18,12,9,411,13
204,13,14,17,11,8,421,6
205,13,9,16,11,12,420,9
206,10,12,11,4,6,435,12
207,10,8,15,10,14,426,7
208,13,13,14,12,16,414,8
209,13,7,17,12,7,428,6
210,9,12,15,7,12,425,10
211,17,10,20,15,12,412,4
212,7,16,20,8,14,419,6
213,13,15,16,16,15,407,8
214,11,17,33,11,14,400,4
215,12,5,18,14,18,413,10
216,8,19,15,12,13,419,4
217,6,15,18,18,13,414,6
218,10,15,16,11,17,414,7
219,15,12,20,12,11,413,7
220,14,20,23,11,5,407,10
221,15,11,15,12,7,416,14
222,10,11,15,13,10,420,11
223,6,7,12,15,8,432,10
224,15,11,13,13,11,416,11
225,15,17,15,14,15,405,9
226,16,11,12,13,8,422,8
227,13,20,4,14,7,417,15
228,9,17,9,12,13,413,17
229,9,18,11,16,14,415,7
230,14,13,12,11,15,418,7
231,10,9,16,20,12,412,11
232,12,14,9,13,10,419,13
233,12,12,7,13,12,422,12
234,11,14,11,15,7,422,10
235,14,22,5,8,10,415,16
236,13,19,8,10,11,414,15
237,18,19,16,18,9,398,12
238,13,13,11,9,9,423,12
