iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,68,74,77,73,73,54,71
2,65,50,70,74,69,95,67
3,58,52,67,66,60,109,78
4,56,59,68,45,60,151,51
5,54,56,61,65,62,141,51
6,56,55,59,64,59,145,52
7,57,49,56,46,52,183,47
8,54,44,46,40,44,206,56
9,58,48,51,44,40,212,37
10,45,38,48,47,46,220,46
11,46,44,35,44,44,231,46
12,43,47,51,43,39,226,41
13,40,42,27,42,51,253,35
14,36,39,36,44,40,259,36
15,36,34,42,46,33,274,25
16,39,37,40,34,31,288,21
17,42,34,37,25,42,267,43
18,50,26,36,33,35,284,26
19,32,27,20,33,23,317,38
20,23,38,30,22,27,320,30
21,29,26,36,23,29,318,29
22,29,26,31,23,30,312,39
23,27,24,31,29,36,318,25
24,23,32,25,29,27,330,24
25,29,29,18,25,26,339,24
26,20,24,22,14,22,355,33
27,20,23,28,27,15,350,27
28,32,21,19,23,20,350,25
29,25,29,16,27,22,348,23
30,24,25,26,21,18,356,20
31,21,31,21,24,10,361,22
32,13,20,25,23,27,366,16
33,28,17,18,17,18,367,25
34,19,20,24,14,16,374,23
35,19,16,19,18,17,380,21
36,25,16,21,23,23,369,13
37,23,24,14,19,16,376,18
38,17,15,17,15,20,385,21
39,16,22,17,13,26,380,16
40,17,17,21,13,20,379,23
41,13,19,21,15,21,387,14
42,16,25,20,13,16,385,15
43,13,17,17,21,18,387,17
44,10,17,13,13,17,404,16
45,14,13,18,13,17,398,17
46,17,17,19,11,10,397,19
47,9,16,13,21,20,400,11
48,21,15,13,23,14,399,5
49,15,14,11,17,6,414,13
50,9,17,18,11,16,409,10
51,10,14,13,12,21,404,16
52,14,19,14,7,15,409,12
53,16,13,11,21,10,407,12
54,17,16,13,18,14,397,15
55,13,18,10,18,11,407,13
56,15,20,13,20,12,392,18
57,7,15,14,8,14,413,19
58,17,9,11,11,17,405,20
59,15,11,16,16,16,411,5
60,16,14,12,15,19,402,12
61,14,16,12,8,7,420,13
62,8,12,14,12,6,425,13
63,19,14,12,8,13,409,15
64,11,10,17,14,15,414,9
65,12,10,19,12,12,416,9
66,15,12,8,10,16,417,12
67,14,14,7,6,9,432,8
68,8,14,13,15,12,415,13
69,8,7,15,7,12,428,13
70,7,16,22,13,8,415,9
71,12,12,14,8,12,416,16
72,17,13,11,16,13,414,6
73,16,12,12,9,8,426,7
74,14,16,14,15,11,411,9
75,11,11,5,8,14,433,8
76,10,14,16,20,11,407,12
77,13,13,13,16,13,410,12
78,13,13,13,18,12,407,14
79,19,6,9,16,14,412,14
80,15,16,12,12,15,412,8
81,14,12,13,13,8,415,15
82,14,16,9,20,12,409,10
83,12,14,12,12,20,411,9
84,18,15,7,13,17,409,11
85,13,14,37,6,13,396,11
86,14,11,67,14,8,366,10
87,8,8,78,14,11,359,12
88,14,12,93,9,7,343,12
89,8,12,126,10,8,319,7
90,13,11,132,12,7,303,12
91,9,14,150,16,16,274,11
92,12,11,181,12,15,247,12
93,18,10,182,16,15,238,11
94,13,12,223,15,5,213,9
95,9,13,207,9,9,230,13
96,9,12,225,9,6,224,5
97,19,11,221,7,11,209,12
98,17,9,235,8,10,201,10
99,9,12,259,8,11,179,12
100,10,11,275,8,7,169,10
101,13,17,276,9,12,153,10
102,12,13,288,12,11,139,15
103,8,13,293,7,15,140,14
104,16,11,291,10,17,136,9
105,8,12,319,10,11,118,12
106,14,14,310,12,10,118,12
107,11,8,322,9,16,113,11
108,17,8,329,6,13,104,13
109,15,10,332,9,13,94,17
110,10,10,329,12,12,101,16
111,15,11,337,5,11,97,14
112,13,11,344,11,10,86,15
113,13,15,349,11,14,76,12
114,15,10,365,1,7,86,6
115,11,13,351,11,13,79,12
116,6,17,356,12,13,75,11
117,7,17,379,13,15,54,5
118,6,8,360,19,11,71,15
119,9,8,386,10,8,53,16
120,4,9,388,7,9,61,12
121,11,11,377,11,10,56,14
122,7,11,387,19,9,48,9
123,16,10,376,18,10,53,7
124,10,16,391,9,14,40,10
125,13,13,383,11,10,52,8
126,12,19,370,14,13,44,18
127,8,17,374,17,14,47,13
128,17,12,375,10,12,52,12
129,8,10,415,7,13,29,8
130,8,12,407,15,6,31,11
131,14,16,404,13,6,29,8
132,10,13,401,11,3,40,12
133,13,12,387,20,8,38,12
134,16,15,392,19,14,23,11
135,11,10,375,12,11,62,9
136,8,6,348,14,14,91,9
137,5,14,322,14,14,111,10
138,14,10,297,15,12,129,13
139,9,10,293,17,11,135,15
140,14,14,284,12,11,148,7
141,16,11,266,14,15,159,9
142,10,14,248,6,8,184,20
143,12,16,217,12,10,204,19
144,8,18,222,13,13,207,9
145,8,14,193,17,9,242,7
146,11,18,206,8,9,225,13
147,14,5,218,10,7,220,16
148,16,10,173,9,9,265,8
149,11,7,179,11,7,259,16
150,22,13,156,10,8,270,11
151,10,11,162,6,12,280,9
152,15,9,146,10,13,288,9
153,8,9,130,13,8,313,9
154,20,11,128,15,14,290,12
155,15,16,101,13,22,314,9
156,12,9,112,14,5,325,13
157,19,13,116,11,15,298,18
158,11,7,103,11,11,331,16
159,13,13,85,6,11,349,13
160,18,9,88,9,6,353,7
161,15,9,85,9,3,356,13
162,12,14,76,9,11,359,9
163,14,13,68,8,9,366,12
164,14,12,74,12,14,354,10
165,10,9,73,11,6,369,12
166,15,12,60,11,11,368,13
167,12,13,51,16,10,376,12
168,11,12,60,12,14,372,9
169,8,14,54,11,16,376,11
170,13,15,63,9,14,358,18
171,12,20,56,9,5,379,9
172,15,14,57,10,10,375,9
173,18,16,35,15,12,382,12
174,9,11,48,14,8,391,9
175,15,12,45,13,15,380,10
176,12,10,46,12,12,386,12
177,12,13,45,12,11,383,14
178,7,9,47,14,4,395,14
179,20,8,23,15,8,404,12
180,12,9,70,14,8,367,10
181,15,13,68,14,10,364,6
182,11,11,118,11,10,322,7
183,12,13,116,17,12,313,7
184,8,8,133,13,7,309,12
185,7,9,155,11,12,283,13
186,14,16,170,15,9,257,9
187,10,15,191,15,10,239,10
188,11,6,208,13,14,225,13
189,13,12,201,19,13,216,16
190,18,12,226,14,13,198,9
191,12,13,240,16,10,188,11
192,15,13,246,14,8,186,8
193,17,6,255,13,10,181,8
194,13,10,258,11,11,179,8
195,11,8,295,7,8,150,11
196,13,12,293,10,11,144,7
197,13,16,275,10,11,151,14
198,11,11,317,12,10,121,8
199,12,9,294,12,18,134,11
200,16,14,287,9,9,138,17
201,6,14,316,10,10,123,11
202,9,11,326,12,14,109,9
203,13,9,340,13,12,88,15
204,17,15,332,12,13,94,7
205,7,17,344,16,10,85,11
206,11,15,347,11,13,87,6
207,11,12,350,12,16,79,10
208,13,10,376,8,10,63,10
209,15,13,337,12,16,87,10
210,8,12,353,13,10,80,14
211,8,8,364,10,17,73,10
212,13,12,370,22,8,57,8
213,6,12,371,13,12,62,14
214,15,12,383,12,8,50,10
215,9,14,376,16,9,53,13
216,3,16,374,13,13,55,16
217,6,11,372,14,13,63,11
218,8,15,374,17,12,50,14
219,6,10,382,11,13,56,12
220,12,9,376,17,12,50,14
221,8,13,400,7,6,46,10
222,8,11,393,18,12,32,16
223,16,12,388,14,14,34,12
224,12,10,394,10,16,44,4
225,16,4,393,16,12,32,17
226,9,10,399,13,8,32,19
227,13,16,363,17,13,58,10
228,11,14,365,8,11,71,10
229,15,11,314,14,11,115,10
230,11,9,305,11,11,131,12
231,13,13,300,12,13,131,8
232,10,14,289,12,11,145,9
233,7,10,263,11,7,180,12
234,9,9,263,9,13,175,12
235,8,9,242,16,13,192,10
236,11,8,204,11,12,229,15
237,18,9,207,10,8,226,12
238,14,8,197,15,12,236,8
239,8,11,189,12,9,250,11
240,11,11,172,14,12,259,11
241,11,10,170,14,9,262,14
242,10,12,132,9,10,303,14
243,12,8,157,8,15,277,13
244,10,8,151,10,16,284,11
245,10,17,129,10,17,296,11
246,10,13,131,17,8,301,10
247,17,10,107,11,14,322,9
248,11,12,117,13,16,305,16
249,15,17,106,19,9,314,10
250,9,11,114,17,7,323,9
251,12,9,90,12,15,343,9
252,11,14,92,10,10,344,9
253,14,10,81,28,9,342,6
254,14,14,79,26,11,336,10
255,19,9,82,19,12,342,7
256,22,14,79,24,6,331,14
257,15,11,70,22,8,355,9
258,19,11,70,17,11,352,10
259,11,11,58,18,4,380,8
260,6,15,56,25,13,365,10
261,13,16,57,21,10,361,12
262,8,17,53,23,6,373,10
263,5,14,56,18,8,380,9
264,18,6,37,19,9,392,9
265,7,15,44,20,9,382,13
266,5,12,32,26,13,386,16
267,7,10,46,14,11,395,7
268,11,12,37,14,9,401,6
269,2,18,34,15,7,409,5
270,17,11,38,15,7,396,6
271,9,10,35,19,13,392,12
272,9,10,39,12,9,399,12
273,8,16,36,16,8,392,14
274,14,14,33,13,15,389,12
275,16,10,33,14,9,390,18
276,16,14,43,8,8,388,13
277,13,11,25,13,14,395,19
278,18,13,25,19,6,400,9
279,14,7,32,14,21,393,9
280,15,20,24,11,10,396,14
281,16,10,28,16,20,391,9
282,9,18,22,20,11,404,6
283,8,16,23,9,13,413,8
284,17,14,23,14,14,399,9
285,16,19,19,14,16,395,11
286,7,10,26,6,15,417,9
287,7,8,17,14,13,425,6
288,10,9,16,14,19,415,7
289,15,7,18,16,10,414,10
290,18,16,16,19,18,390,13
291,17,7,16,16,12,413,9
292,9,16,17,16,16,408,8
293,22,19,22,13,19,383,12
294,3,9,21,13,10,419,15
295,14,10,13,13,9,419,12
296,9,11,11,12,11,420,16
297,9,7,14,10,10,422,18
298,12,18,16,14,7,413,10
299,12,10,14,10,13,420,11
300,14,8,10,13,15,416,14
301,14,13,12,15,15,412,9
302,11,9,18,15,9,410,18
303,9,10,14,16,11,413,17
304,17,10,16,20,8,406,13
305,12,13,8,20,8,420,9
