iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,84,58,59,65,87,65,72
2,85,63,52,71,72,80,67
3,56,63,73,74,59,101,64
4,47,57,67,61,54,133,71
5,55,66,67,51,51,155,45
6,48,46,48,66,59,165,58
7,53,56,52,50,52,176,51
8,45,34,58,56,44,198,55
9,50,47,53,36,39,218,47
10,50,41,45,38,43,226,47
11,55,30,38,49,41,229,48
12,38,39,39,37,47,242,48
13,46,42,35,35,47,240,45
14,36,38,35,47,29,256,49
15,32,44,41,36,35,259,43
16,31,35,41,36,39,263,45
17,26,34,30,36,41,289,34
18,30,30,42,25,29,298,36
19,28,28,27,41,30,301,35
20,29,29,23,26,31,327,25
21,37,38,34,34,35,285,27
22,36,32,30,20,24,325,23
23,20,31,25,28,31,320,35
24,30,26,22,14,23,348,27
25,32,23,26,28,19,340,22
26,23,27,25,30,25,337,23
27,24,30,17,27,24,345,23
28,23,27,22,23,25,342,28
29,16,26,18,22,28,358,22
30,24,31,17,34,20,344,20
31,15,21,16,23,19,374,22
32,19,17,18,16,21,377,22
33,27,16,19,23,18,369,18
34,22,20,19,9,18,382,20
35,22,13,20,21,15,384,15
36,17,20,15,16,27,387,8
37,22,21,21,24,16,364,22
38,20,22,15,19,15,381,18
39,26,17,9,14,15,395,14
40,18,21,18,14,19,386,14
41,17,14,15,16,14,399,15
42,18,22,12,18,18,385,17
43,9,17,13,27,17,392,15
44,13,16,20,10,22,392,17
45,12,14,17,14,25,393,15
46,17,17,8,21,16,396,15
47,19,16,16,11,13,408,7
48,13,18,16,10,13,410,10
49,14,21,14,18,18,392,13
50,13,17,27,13,20,395,5
51,16,18,13,15,15,402,11
52,10,15,19,9,11,415,11
53,18,17,12,15,26,392,10
54,9,13,13,14,13,417,11
55,17,16,14,12,11,402,18
56,9,15,22,20,12,407,5
57,11,14,7,13,12,423,10
58,9,14,19,13,15,407,13
59,13,15,14,10,7,420,11
60,19,12,14,12,17,403,13
61,11,11,21,13,15,404,15
62,13,14,18,14,17,404,10
63,16,14,15,8,16,414,7
64,13,15,15,12,15,410,10
65,11,13,14,8,17,416,11
66,17,20,10,18,10,403,12
67,12,18,10,10,19,409,12
68,14,18,11,18,13,412,4
69,14,7,14,13,15,412,15
70,14,13,11,16,12,416,8
71,11,21,12,11,11,413,11
72,14,16,16,13,19,400,12
73,11,19,8,14,12,418,8
74,7,5,9,18,11,434,6
75,13,8,10,17,15,412,15
76,15,15,12,11,12,406,19
77,13,7,8,13,12,426,11
78,12,11,10,23,14,415,5
79,14,10,15,11,6,424,10
80,16,16,11,15,8,409,15
81,4,14,11,15,12,421,13
82,13,9,11,13,21,414,9
83,18,15,9,14,15,411,8
84,11,19,12,9,16,412,11
85,8,6,17,9,16,422,12
86,12,15,11,6,14,421,11
87,8,13,13,10,12,421,13
88,11,8,12,11,9,425,14
89,12,13,15,9,20,412,9
90,13,15,12,7,11,417,15
91,15,12,13,16,11,405,18
92,5,15,14,13,17,414,12
93,7,23,11,10,8,419,12
94,6,14,20,12,10,415,13
95,13,12,9,10,14,416,16
96,37,7,11,11,14,397,13
97,66,9,12,12,6,375,10
98,74,12,14,13,12,357,8
99,83,14,16,15,11,339,12
100,142,13,3,14,11,291,16
101,102,8,39,9,20,296,16
102,116,17,59,8,8,273,9
103,91,9,85,5,13,271,16
104,87,5,109,11,10,259,9
105,78,8,127,14,14,236,13
106,96,14,139,10,12,212,7
107,77,13,151,14,11,211,13
108,77,10,165,11,16,204,7
109,85,13,184,25,7,169,7
110,63,17,197,11,10,173,19
111,60,10,240,8,6,157,9
112,53,9,227,15,17,158,11
113,50,13,242,16,12,148,9
114,57,17,225,6,9,166,10
115,50,14,200,15,11,182,18
116,54,18,191,9,10,184,24
117,47,21,192,7,13,201,9
118,42,14,186,13,9,218,8
119,54,17,181,9,10,208,11
120,46,15,155,9,11,246,8
121,38,16,149,16,10,242,19
122,33,9,142,17,14,264,11
123,37,14,115,8,18,288,10
124,29,6,133,11,13,286,12
125,31,11,131,7,15,287,8
126,35,11,116,18,14,281,15
127,32,16,130,13,18,269,12
128,24,12,166,13,6,253,16
129,22,15,152,17,7,261,16
130,27,8,186,13,11,234,11
131,24,15,182,14,13,232,10
132,19,15,218,9,10,204,15
133,21,13,225,5,12,202,12
134,22,16,234,10,13,182,13
135,22,16,229,11,12,191,9
136,23,10,254,11,13,169,10
137,20,11,261,14,14,161,9
138,18,7,283,15,15,145,7
139,24,11,290,12,9,138,6
140,14,9,297,17,10,131,12
141,18,14,295,11,9,133,10
142,20,11,301,15,14,123,6
143,18,6,303,16,10,118,19
144,19,9,316,14,13,106,13
145,18,9,309,10,13,114,17
146,21,14,305,18,6,111,15
147,22,8,343,7,15,81,14
148,15,8,350,10,17,80,10
149,21,11,335,12,12,91,8
150,16,1,336,10,18,94,15
151,18,6,367,11,11,66,11
152,16,6,350,13,14,76,15
153,20,5,364,18,5,62,16
154,9,13,358,9,10,77,14
155,19,14,371,6,14,57,9
156,20,11,381,5,14,50,9
157,16,12,376,7,14,54,11
158,16,13,383,15,6,47,10
159,18,13,380,9,15,47,8
160,15,13,371,17,8,53,13
161,20,9,382,15,5,46,13
162,25,11,386,9,11,38,10
163,9,12,387,13,9,42,18
164,22,10,385,15,11,33,14
165,22,8,391,12,11,34,12
166,13,12,404,18,8,27,8
167,9,14,403,7,15,33,9
168,13,8,406,9,18,26,10
169,16,4,377,17,12,52,12
170,13,6,355,8,15,80,13
171,9,8,337,9,14,102,11
172,15,10,313,9,14,119,10
173,23,10,292,16,13,125,11
174,19,8,274,7,11,163,8
175,20,10,266,7,14,159,14
176,20,9,256,11,12,172,10
177,12,12,247,8,14,190,7
178,8,6,237,13,10,203,13
179,11,11,197,7,10,243,11
180,21,8,189,10,11,238,13
181,14,12,173,4,17,260,10
182,18,6,186,8,11,250,11
183,15,13,165,12,18,256,11
184,11,5,152,12,16,283,11
185,16,5,133,12,11,303,10
186,8,10,136,13,12,292,19
187,11,7,142,12,9,302,7
188,12,17,127,11,6,302,15
189,10,12,109,6,11,328,14
190,11,7,104,8,13,334,13
191,13,15,102,14,8,324,14
192,13,14,112,8,8,330,5
193,10,11,86,9,15,343,16
194,21,14,70,8,10,349,18
195,12,15,82,9,16,341,15
196,14,10,71,15,13,349,18
197,15,9,74,9,11,360,12
198,24,25,75,12,6,335,13
199,14,12,81,9,6,354,14
200,13,11,76,15,10,355,10
201,9,9,58,13,13,375,13
202,11,10,75,11,10,359,14
203,12,12,86,11,12,346,11
204,7,14,140,13,12,292,12
205,11,9,132,9,18,300,11
206,11,10,147,12,13,284,13
207,13,17,175,8,7,261,9
208,13,13,190,13,9,241,11
209,17,11,203,10,14,227,8
210,10,12,205,11,14,226,12
211,13,11,222,14,9,218,3
212,15,11,238,14,8,190,14
213,13,8,236,12,20,192,9
214,12,18,266,10,7,167,10
215,19,17,228,11,9,194,12
216,17,10,216,8,12,212,15
217,7,17,200,10,10,233,13
218,19,9,191,8,10,234,19
219,27,9,190,13,16,231,4
220,9,17,177,10,16,252,9
221,12,20,163,9,15,260,11
222,18,13,156,8,11,274,10
223,21,12,155,9,13,269,11
224,13,11,131,7,16,298,14
225,21,13,121,13,9,303,10
226,12,12,131,10,12,302,11
227,12,8,139,7,12,300,12
228,15,11,113,12,15,313,11
229,14,20,97,12,9,329,9
230,13,6,102,18,11,336,4
231,15,13,105,10,10,325,12
232,9,11,86,10,12,351,11
233,9,13,87,4,13,349,15
234,16,19,87,5,11,334,18
235,15,10,80,12,15,337,21
236,13,14,69,19,13,353,9
237,12,11,79,13,14,352,9
238,7,17,68,19,15,350,14
239,5,9,50,9,13,392,12
240,12,10,46,14,11,382,15
241,8,9,47,12,12,387,15
242,8,12,54,11,9,382,14
243,12,12,52,14,10,376,14
244,18,9,50,12,7,380,14
245,12,15,48,10,8,381,16
246,13,17,40,9,8,391,12
247,14,7,48,14,8,389,10
248,14,14,38,14,14,386,10
249,9,12,35,13,16,391,14
250,12,13,40,11,7,394,13
251,10,16,37,12,6,404,5
252,9,10,39,12,17,394,9
253,10,10,36,12,12,401,9
254,15,9,41,10,12,388,15
255,11,12,30,10,10,405,12
256,13,11,24,7,13,403,19
257,16,13,30,9,10,400,12
258,13,7,20,9,9,418,14
259,17,9,36,12,14,393,9
260,10,16,32,10,7,407,8
261,19,8,27,10,11,406,9
