iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,67,73,58,77,77,72,60,76
2,69,60,65,70,67,105,54,70
3,68,59,66,62,84,104,64,53
4,66,54,66,58,119,80,62,55
5,51,72,60,52,141,75,63,46
6,58,61,48,54,131,81,55,72
7,54,65,52,52,125,70,46,96
8,50,48,42,49,146,73,39,113
9,50,41,57,42,118,61,51,140
10,40,40,47,43,129,62,40,159
11,37,50,46,46,106,68,42,165
12,68,35,37,48,115,64,39,154
13,60,32,36,45,102,54,30,201
14,52,33,41,44,94,53,40,203
15,49,38,45,29,86,55,39,219
16,57,30,25,27,95,57,42,227
17,65,37,35,27,81,41,38,236
18,46,30,42,29,80,42,32,259
19,45,37,27,73,73,45,30,230
20,32,29,29,75,69,38,37,251
21,47,35,23,98,62,52,28,215
22,41,23,26,128,62,33,28,219
23,50,20,34,144,63,30,25,194
24,34,26,38,168,50,43,21,180
25,47,23,17,188,52,29,29,175
26,51,28,26,189,60,26,16,164
27,31,22,32,226,46,40,21,142
28,27,22,20,236,49,26,20,160
29,30,25,26,250,40,27,26,136
30,32,20,19,253,46,25,27,138
31,29,20,28,252,40,27,43,121
32,27,15,18,232,38,20,77,133
33,31,17,21,202,38,24,106,121
34,23,15,22,178,40,35,127,120
35,19,18,18,210,35,27,102,131
36,33,16,22,167,31,14,149,128
37,21,29,17,190,27,25,145,106
38,18,12,23,154,33,23,195,102
39,23,21,10,151,30,16,212,97
40,19,20,15,164,28,14,196,104
41,28,20,20,134,25,15,227,91
42,20,12,13,128,29,23,239,96
43,21,17,16,151,22,21,239,73
44,30,19,22,112,18,15,271,73
45,22,17,13,110,24,17,285,72
46,16,18,26,109,26,17,278,70
47,18,18,13,100,13,13,318,67
48,22,13,20,85,16,17,324,63
49,22,10,19,84,18,16,323,68
50,18,17,14,83,19,13,327,69
51,14,13,20,71,24,14,353,51
52,15,16,12,76,22,13,360,46
53,5,16,13,76,18,16,373,43
54,19,17,7,76,16,16,370,39
55,18,15,11,62,23,10,372,49
56,16,20,17,72,12,14,369,40
57,13,16,15,58,24,13,375,46
58,13,11,16,68,22,9,378,43
59,19,15,18,56,22,7,377,46
60,12,10,17,53,20,15,398,35
61,21,11,15,49,13,12,403,36
62,17,11,13,39,24,22,397,37
63,16,11,11,34,21,18,413,36
64,17,10,12,39,18,10,413,41
65,11,13,12,41,19,11,422,31
66,16,7,18,30,11,16,440,22
67,23,4,10,39,16,16,429,23
68,9,15,7,36,17,14,430,32
69,14,12,9,45,8,13,431,28
70,20,14,8,31,18,10,432,27
71,10,7,11,41,12,25,426,28
72,9,14,10,30,15,16,441,25
73,10,15,14,34,20,10,433,24
74,10,16,9,33,9,19,444,20
