iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,77,65,63,81,59,80,63,72
2,76,59,71,53,71,62,64,104
3,57,76,67,83,63,53,74,87
4,56,61,64,116,63,60,51,89
5,71,55,51,148,58,44,57,76
6,52,44,55,171,49,53,55,81
7,55,49,58,170,47,50,50,81
8,46,44,43,190,58,48,56,75
9,46,55,48,230,53,41,48,39
10,43,33,35,252,44,40,59,54
11,31,52,47,254,39,43,38,56
12,62,51,39,227,48,32,41,60
13,70,43,41,202,41,42,61,60
14,62,28,31,203,46,35,110,45
15,62,31,36,183,40,39,116,53
16,91,41,40,173,39,36,95,45
17,124,36,31,171,28,29,91,50
18,140,34,22,160,28,27,91,58
19,135,20,36,144,30,38,108,49
20,153,32,32,150,38,22,98,35
21,183,23,27,131,30,32,95,39
22,198,26,38,124,30,33,73,38
23,227,25,19,124,29,24,74,38
24,249,25,22,102,21,28,77,36
25,247,30,16,132,19,19,66,31
26,281,23,24,102,15,25,65,25
27,290,21,23,94,20,22,68,22
28,275,25,27,93,31,18,65,26
29,291,26,27,94,18,24,43,37
30,290,23,24,86,27,23,59,28
31,313,25,26,79,21,20,53,23
32,328,24,15,76,15,18,65,19
33,355,21,17,68,17,15,42,25
34,342,20,23,58,30,17,45,25
35,348,34,11,62,15,17,50,23
36,351,16,18,60,15,24,54,22
37,380,12,8,56,20,16,47,21
38,366,21,14,50,18,18,59,14
39,319,22,22,55,17,18,89,18
40,294,23,19,38,14,33,122,17
41,293,17,10,63,22,18,109,28
42,265,17,15,49,23,14,154,23
43,259,21,17,40,16,16,180,11
44,260,11,16,40,18,14,182,19
45,232,23,9,37,12,20,207,20
46,224,14,18,47,33,16,200,8
47,208,15,13,31,15,13,238,27
48,189,20,15,42,20,9,243,22
49,185,13,14,34,12,19,268,15
50,184,8,18,21,10,18,286,15
51,155,17,18,28,17,13,300,12
52,139,16,13,32,15,16,306,23
53,153,17,10,29,14,12,308,17
54,151,13,7,27,17,16,310,19
55,126,14,10,34,13,14,333,16
56,102,16,14,30,18,12,346,22
57,117,12,13,26,12,15,348,17
58,106,10,10,24,10,15,365,20
59,103,16,14,25,12,15,361,14
60,110,11,12,18,18,8,367,16
61,98,20,10,22,13,17,368,12
62,84,7,21,33,12,8,380,15
63,64,22,15,17,15,9,406,12
64,59,14,18,22,9,12,416,10
65,75,16,12,17,11,14,399,16
66,66,11,25,18,17,10,401,12
67,77,21,15,18,16,8,392,13
68,99,16,12,13,12,17,376,15
69,89,17,13,27,14,11,371,18
70,82,9,14,15,9,9,407,15
71,68,14,18,15,14,9,408,14
72,78,9,12,20,3,7,411,20
73,71,16,11,15,10,12,408,17
74,75,9,14,16,11,4,421,10
75,52,12,12,21,14,12,421,16
76,67,10,9,23,9,5,426,11
77,67,8,10,17,16,17,419,6
78,42,11,17,22,12,8,433,15
79,51,13,21,29,9,6,418,13
80,45,14,10,60,12,14,401,4
81,38,10,13,75,22,8,381,13
82,41,17,14,111,15,17,333,12
83,42,10,7,126,23,5,333,14
84,45,14,18,128,8,9,322,16
85,45,9,12,160,12,12,298,12
86,38,15,20,193,10,11,263,10
87,35,18,10,207,16,11,254,9
88,35,12,14,205,11,9,259,15
89,40,9,17,220,11,9,238,16
90,34,17,10,237,16,8,230,8
91,27,11,7,255,11,13,224,12
92,33,8,12,274,12,12,198,11
93,28,11,20,272,7,13,196,13
94,24,9,9,314,14,13,165,12
95,33,10,11,320,14,14,141,17
96,24,20,13,335,11,13,140,4
97,25,14,14,323,12,3,157,12
98,17,15,12,343,13,11,133,16
99,25,15,17,340,14,12,125,12
100,18,12,6,366,14,8,123,13
101,15,53,8,334,7,13,116,14
102,17,39,18,343,11,7,108,17
103,23,35,8,366,15,8,95,10
104,22,29,14,372,10,7,94,12
105,20,36,8,370,11,9,91,15
106,22,31,13,367,9,13,91,14
107,21,30,7,368,8,11,102,13
108,20,34,11,376,14,13,80,12
109,25,24,8,389,16,16,70,12
110,20,26,9,398,6,12,75,14
111,22,31,8,401,12,10,63,13
112,18,33,13,396,14,12,61,13
113,13,29,14,408,15,9,59,13
114,15,25,9,415,10,19,59,8
115,17,22,8,411,12,20,63,7
116,22,29,13,405,12,11,53,15
117,18,24,5,441,9,9,42,12
118,16,18,13,426,10,17,47,13
119,14,20,8,443,10,21,39,5
120,20,18,14,426,16,10,45,11
121,17,21,14,421,8,16,54,9
122,15,14,18,424,9,17,45,18
123,18,22,16,442,11,9,34,8
124,14,19,14,442,8,8,46,9
125,14,26,13,438,12,9,30,18
126,9,19,15,454,10,11,33,9
127,9,22,9,459,8,14,31,8
128,14,24,7,446,8,11,39,11
129,21,13,5,459,11,12,32,7
130,11,19,23,441,9,16,28,13
131,10,13,13,460,20,12,18,14
132,8,14,25,455,16,10,19,13
133,9,6,17,459,17,13,28,11
134,16,11,15,459,12,12,21,14
135,12,13,11,468,13,11,27,5
136,13,10,11,469,14,12,18,13
137,15,17,9,448,19,12,27,13
138,16,15,13,450,22,15,25,4
139,11,16,11,453,17,17,20,15
