iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,55,80,66,76,84,65,64,70
2,69,54,63,84,89,67,58,76
3,59,62,60,129,63,60,64,63
4,66,74,58,134,50,50,68,60
5,58,59,51,158,61,69,50,54
6,74,50,51,132,50,56,91,56
7,52,63,49,138,40,56,101,61
8,43,50,44,131,51,57,103,81
9,48,53,49,143,42,40,97,88
10,44,44,54,121,41,51,93,112
11,45,47,49,108,45,57,81,128
12,40,39,39,110,54,33,73,172
13,47,42,36,100,47,42,71,175
14,46,37,36,86,31,36,87,201
15,37,55,34,82,36,33,72,211
16,32,44,37,84,32,35,63,233
17,33,28,30,89,24,35,69,252
18,28,37,29,71,30,41,64,260
19,27,29,27,72,30,29,57,289
20,24,35,21,67,34,26,62,291
21,25,39,35,64,24,27,46,300
22,22,31,19,68,40,26,55,299
23,31,21,27,59,29,36,38,319
24,23,22,24,59,27,22,49,334
25,16,31,29,70,25,26,42,321
26,26,26,19,54,24,13,40,358
27,14,17,21,50,28,18,49,363
28,21,34,18,43,24,16,33,371
29,26,29,22,56,27,25,30,345
30,22,12,27,40,24,19,44,372
31,25,13,22,40,22,25,41,372
32,21,17,21,50,26,16,31,378
33,20,20,17,48,17,21,24,393
34,24,20,21,36,17,14,29,399
35,20,10,20,31,18,24,27,410
36,10,18,20,28,14,21,29,420
37,21,19,21,27,20,23,26,403
38,21,14,17,34,28,19,23,404
39,14,15,15,40,21,18,28,409
40,15,22,17,25,15,19,26,421
41,15,21,13,32,11,23,55,390
42,14,19,13,33,13,14,75,379
43,12,13,11,25,23,14,111,351
44,13,17,8,24,17,12,141,328
45,13,18,18,37,15,15,147,297
46,16,23,16,28,20,16,150,291
47,13,13,19,29,6,14,191,275
48,16,12,10,18,11,14,222,257
49,10,10,12,24,13,17,226,248
50,12,13,11,19,17,8,245,235
51,10,24,13,25,15,16,253,204
52,18,12,18,25,18,14,255,200
53,10,12,17,19,19,8,252,223
54,15,13,9,22,9,16,239,237
55,8,13,11,24,13,15,249,227
56,7,14,16,16,10,12,226,259
57,9,15,11,20,13,14,199,279
58,12,15,13,15,7,10,200,288
59,14,18,15,17,12,13,208,263
60,11,15,13,20,15,17,188,281
61,12,19,13,21,7,18,185,285
62,7,14,13,15,18,14,163,316
63,4,13,17,15,18,13,160,320
64,17,12,8,16,12,15,154,326
65,13,12,3,13,17,10,152,340
66,16,7,11,11,11,15,121,368
67,37,13,14,17,10,20,122,327
68,77,16,11,11,9,5,131,300
69,83,10,6,14,7,12,112,316
70,118,11,14,17,11,13,110,266
71,138,21,17,14,20,8,103,239
72,166,11,9,14,11,13,103,233
73,168,11,8,14,14,19,86,240
74,199,15,15,17,9,10,75,220
75,185,16,20,11,13,15,80,220
76,175,7,12,15,17,23,84,227
77,232,8,11,11,8,11,68,211
78,251,8,9,14,14,15,55,194
79,256,13,10,14,9,9,58,191
80,267,9,9,14,15,5,61,180
81,269,13,13,13,10,9,69,164
82,262,15,12,11,15,14,56,175
83,306,19,14,11,12,7,36,155
84,302,12,8,12,14,10,44,158
85,318,6,7,12,11,17,47,142
86,299,12,22,16,15,13,48,135
87,347,16,10,10,13,11,40,113
88,334,17,15,11,13,18,50,102
89,354,17,10,14,8,13,43,101
90,379,11,11,7,7,8,39,98
91,367,13,16,10,9,11,38,96
92,390,8,14,11,8,11,34,84
93,349,36,13,14,8,15,43,82
94,337,65,16,10,14,12,35,71
95,322,95,11,6,14,8,29,75
96,307,99,8,18,17,15,25,71
97,290,134,6,16,9,8,31,66
98,268,122,43,12,14,9,29,63
99,250,131,58,9,13,12,21,66
100,239,108,94,16,18,16,23,46
101,212,106,112,11,13,15,36,55
102,216,132,110,12,9,10,14,57
103,190,143,103,15,14,16,26,53
104,190,173,96,14,7,8,25,47
105,192,175,88,13,14,9,21,48
106,173,184,73,7,11,10,25,77
107,151,193,84,15,15,9,25,68
108,170,208,68,12,11,10,23,58
109,194,186,77,8,17,5,16,57
110,169,208,62,11,16,15,16,63
111,167,199,76,13,4,14,26,61
112,200,177,67,14,16,15,19,52
113,205,174,62,10,13,13,21,62
114,226,169,58,17,7,16,21,46
115,237,180,56,8,8,8,13,50
116,208,159,52,8,11,14,55,53
117,202,171,44,15,14,8,63,43
118,220,157,48,11,11,14,56,43
119,217,136,58,13,13,13,62,48
120,232,134,41,12,6,10,86,39
121,206,180,42,14,8,8,65,37
122,180,192,48,9,11,9,83,28
123,191,203,36,10,13,14,60,33
124,163,231,32,15,5,8,63,43
125,158,219,43,7,17,11,75,30
126,149,240,42,12,13,4,63,37
127,157,243,38,20,8,14,54,26
128,140,260,41,12,15,14,53,25
129,136,274,36,11,9,13,52,29
130,124,296,44,6,9,5,47,29
131,121,303,37,4,12,10,45,28
132,103,318,40,12,6,18,41,22
133,112,310,33,16,13,10,36,30
134,85,359,33,9,8,9,34,23
135,95,343,28,15,20,7,30,22
136,83,349,35,12,8,11,34,28
137,92,350,32,12,12,10,30,22
138,76,350,33,9,6,11,49,26
139,83,381,24,8,8,10,28,18
140,72,374,26,19,12,6,28,23
141,81,374,24,8,17,5,27,24
142,73,387,23,3,12,12,29,21
143,60,375,30,12,17,8,30,28
144,60,392,23,26,11,5,24,19
145,53,396,25,31,10,5,26,14
146,60,378,24,28,14,10,26,20
147,50,395,30,25,11,10,21,18
148,40,415,27,18,13,9,22,16
149,50,412,24,17,15,12,22,8
150,43,423,23,17,18,6,18,12
151,52,413,20,22,15,6,20,12
152,38,425,18,16,11,12,17,23
153,40,423,14,19,15,13,15,21
154,35,436,22,18,8,16,12,13
155,21,443,17,18,13,13,18,17
156,30,418,11,14,11,14,50,12
157,35,385,11,12,10,7,77,23
158,69,351,20,17,9,9,63,22
159,85,324,21,23,14,13,63,17
160,122,311,12,16,9,10,69,11
161,108,295,15,18,13,13,85,13
162,111,284,15,15,19,10,95,11
163,158,235,9,17,12,10,96,23
164,151,267,16,19,14,17,62,14
165,168,249,16,14,17,13,66,17
166,220,223,15,14,10,8,61,9
167,195,204,15,21,20,10,74,21
168,208,208,14,10,11,12,79,18
169,206,222,17,14,12,11,65,13
170,205,228,5,19,13,9,60,21
171,183,250,11,14,11,13,72,6
172,190,210,12,14,13,11,95,15
173,164,206,12,16,14,12,122,14
174,158,225,13,8,13,7,126,10
175,164,233,13,11,7,12,107,13
176,137,246,8,11,6,15,122,15
177,133,268,9,9,18,8,100,15
178,136,273,19,11,10,12,84,15
179,110,293,10,14,12,13,101,7
180,122,280,12,12,11,15,91,17
181,114,267,16,7,15,15,82,44
182,84,264,10,13,15,21,89,64
183,103,254,11,12,13,11,70,86
184,85,234,7,13,14,12,75,120
185,92,201,6,12,10,13,84,142
186,61,198,14,13,14,12,68,180
187,68,229,14,12,9,16,65,147
