iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,79,61,66,80,75,67,62
2,71,89,54,69,75,82,50
3,65,50,58,73,54,116,74
4,48,57,65,42,64,146,68
5,62,43,62,61,56,149,57
6,44,53,54,63,53,158,65
7,54,54,55,53,50,178,46
8,61,43,47,45,49,204,41
9,40,48,50,58,47,194,53
10,46,41,50,47,41,219,46
11,47,48,44,46,45,208,52
12,43,37,51,39,55,222,43
13,36,43,42,33,41,257,38
14,38,35,33,39,44,253,48
15,40,38,29,51,24,269,39
16,33,42,31,44,28,280,32
17,35,26,39,28,33,298,31
18,36,29,26,39,32,300,28
19,20,33,33,29,39,311,25
20,32,23,35,38,28,305,29
21,24,31,32,27,23,325,28
22,33,24,32,28,16,327,30
23,23,19,29,16,35,343,25
24,33,36,23,23,30,321,24
25,22,29,21,18,29,347,24
26,25,32,26,27,31,327,22
27,29,19,28,20,22,351,21
28,23,22,18,28,27,351,21
29,24,22,15,25,20,358,26
30,22,17,24,20,19,363,25
31,17,19,19,18,26,374,17
32,13,21,23,30,27,356,20
33,17,20,29,23,19,366,16
34,21,17,17,22,18,375,20
35,20,19,19,10,19,381,22
36,16,16,12,26,20,387,13
37,22,15,10,19,11,396,17
38,15,19,14,20,23,374,25
39,11,20,19,17,14,391,18
40,21,17,20,15,18,389,10
41,14,21,9,28,12,383,23
42,16,12,18,11,22,394,17
43,17,19,18,19,9,397,11
44,12,18,18,13,20,397,12
45,14,15,17,16,22,388,18
46,16,15,21,20,11,392,15
47,14,16,20,20,7,403,10
48,13,11,20,14,19,404,9
49,16,19,10,12,19,391,23
50,10,12,17,9,9,420,13
51,18,12,16,20,13,403,8
52,13,23,12,15,11,404,12
53,15,19,9,18,15,398,16
54,9,14,7,15,8,417,20
55,16,10,14,18,17,401,14
56,14,16,9,19,14,407,11
57,16,22,7,20,5,408,12
58,18,12,13,16,12,405,14
59,11,21,15,12,11,407,13
60,16,16,13,16,18,396,15
61,14,18,11,13,16,405,13
62,17,13,8,12,7,415,18
63,8,19,9,10,9,419,16
64,11,18,7,8,15,421,10
65,15,15,8,9,15,418,10
66,18,13,15,13,17,403,11
67,10,14,9,13,10,420,14
68,17,14,11,9,16,406,17
69,11,14,11,12,17,416,9
70,15,22,11,12,10,404,16
71,13,14,16,4,14,417,12
72,9,19,2,6,10,431,13
73,19,13,10,12,10,416,10
74,14,12,18,11,9,416,10
75,13,17,8,14,11,419,8
76,15,8,7,12,8,424,16
77,13,8,15,11,13,419,11
78,9,12,12,23,12,411,11
79,17,13,5,9,9,430,7
80,15,17,12,19,10,407,10
81,14,9,13,13,13,415,13
82,11,9,4,17,19,420,10
83,11,13,8,18,9,425,6
84,12,14,9,12,17,415,11
85,18,12,9,7,13,417,14
86,16,18,9,18,9,410,10
87,12,8,11,14,14,417,14
88,13,7,10,12,8,431,9
89,13,12,13,14,9,420,9
90,10,12,12,18,13,416,9
91,12,10,12,13,8,426,9
92,15,15,15,14,7,414,10
93,29,6,8,18,16,407,6
94,73,12,12,11,15,359,8
95,83,15,11,9,14,345,13
96,91,12,11,11,15,342,8
97,117,17,7,13,13,312,11
98,139,13,15,12,20,284,7
99,151,12,12,17,11,273,14
100,167,23,10,17,19,246,8
101,185,9,9,13,16,247,11
102,185,12,7,12,15,253,6
103,217,15,13,19,12,206,8
104,209,10,11,17,11,222,10
105,217,13,16,9,8,214,13
106,256,11,9,10,6,190,8
107,254,11,11,10,12,184,8
108,254,20,16,7,9,169,15
109,277,3,14,15,9,163,9
110,292,7,14,7,4,155,11
111,276,18,13,12,9,153,9
112,290,13,11,10,15,142,9
113,300,5,17,18,17,121,12
114,329,16,18,7,12,102,6
115,308,12,18,9,8,127,8
116,329,12,9,7,15,112,6
117,305,9,18,11,13,125,9
118,293,12,18,13,21,122,11
119,291,10,15,10,9,149,6
120,266,11,7,7,17,173,9
121,242,15,14,18,12,177,12
122,235,11,13,7,11,206,7
123,201,9,11,13,10,237,9
124,218,6,11,11,12,218,14
125,204,10,16,8,11,236,5
126,197,12,9,10,8,235,19
127,178,6,9,11,13,264,9
128,139,15,10,16,9,287,14
129,163,10,14,8,12,272,11
130,145,11,15,18,8,285,8
131,128,7,10,15,10,305,15
132,132,20,14,9,10,299,6
133,131,10,10,12,9,305,13
134,142,10,16,13,16,280,13
135,129,14,16,14,11,283,23
136,109,8,9,22,16,315,11
137,123,13,15,13,13,301,12
138,105,10,13,15,9,324,14
139,87,13,16,14,10,340,10
140,88,10,12,18,9,348,5
141,83,15,17,9,13,347,6
142,82,9,10,14,15,349,11
143,76,13,18,7,10,350,16
144,70,13,16,7,15,358,11
145,76,15,14,7,11,358,9
146,61,11,20,12,14,362,10
147,74,16,14,12,7,354,13
148,54,11,13,12,10,374,16
149,56,16,14,9,11,373,11
150,52,12,13,19,9,370,15
151,45,16,10,10,11,386,12
152,62,18,13,7,7,373,10
153,49,16,26,14,8,365,12
154,35,7,39,17,12,369,11
155,38,8,74,8,9,345,8
156,35,12,93,17,16,304,13
157,44,14,98,14,10,296,14
158,39,14,133,9,10,272,13
159,27,22,152,10,10,258,11
160,30,14,157,16,10,255,8
161,42,21,169,13,12,224,9
162,23,14,197,6,9,233,8
163,36,10,176,10,14,229,15
164,30,17,217,11,4,199,12
165,26,13,227,15,15,178,16
166,28,11,257,9,10,169,6
167,24,14,249,10,12,166,15
168,26,13,273,10,13,145,10
169,29,11,272,11,8,147,12
170,28,11,266,18,15,139,13
171,22,11,287,11,19,125,15
172,19,13,276,9,17,139,17
173,26,11,291,12,11,125,14
174,13,11,327,7,6,118,8
175,23,14,320,5,9,112,7
176,22,6,317,9,13,110,13
177,15,14,314,13,11,105,18
178,12,15,345,10,14,75,19
179,18,14,332,9,10,94,13
180,17,13,324,18,14,90,14
181,20,17,350,7,7,77,12
182,14,15,343,16,16,78,8
183,16,17,334,12,12,83,16
184,15,13,372,7,12,64,7
185,13,15,333,14,17,87,11
186,17,13,313,19,12,108,8
187,14,11,289,16,9,139,12
188,13,9,295,11,11,143,8
189,13,17,267,17,9,152,15
190,15,11,252,11,11,180,10
191,6,5,258,11,7,189,14
192,11,10,214,12,19,213,11
193,15,3,210,12,15,224,11
194,12,12,219,14,9,215,9
195,11,6,180,18,9,258,8
196,13,10,188,11,11,245,12
197,12,13,194,10,6,244,11
198,15,21,144,12,12,273,13
199,12,11,132,17,10,294,14
200,9,8,153,16,12,281,11
201,9,14,135,11,9,295,17
202,9,14,132,11,9,307,8
203,13,18,113,12,16,302,16
204,6,10,109,13,13,331,8
205,12,14,104,11,9,325,15
206,17,14,94,5,11,336,13
207,7,10,98,11,13,339,12
208,3,8,91,19,9,354,6
209,18,7,96,13,8,338,10
210,21,11,85,10,11,334,18
211,16,14,74,19,13,339,15
212,7,9,86,13,10,355,10
213,15,12,70,13,11,355,14
214,4,11,57,14,16,371,17
215,13,20,63,18,17,346,13
216,10,10,55,15,9,378,13
217,12,8,58,14,14,370,14
218,8,18,45,12,12,382,13
219,13,18,63,8,8,368,12
220,13,10,64,15,6,372,10
221,13,17,48,14,11,373,14
222,10,12,52,19,11,370,16
223,17,13,46,18,10,373,13
224,6,15,46,9,10,395,9
225,12,13,41,10,8,390,16
226,9,11,36,8,17,403,6
227,11,14,35,12,12,393,13
228,10,13,31,10,10,407,9
229,9,14,24,13,9,410,11
230,12,8,38,23,7,389,13
231,11,14,28,9,15,396,17
232,11,16,28,18,9,404,4
233,8,12,32,9,13,406,10
234,12,8,23,13,13,410,11
235,9,14,30,11,6,406,14
236,12,13,26,17,6,402,14
237,4,14,31,14,4,409,14
238,18,13,32,13,8,400,6
239,9,13,27,13,13,404,11
240,11,10,22,10,15,411,11
241,8,17,23,8,10,418,6
242,5,18,18,14,9,416,10
243,6,14,16,14,3,427,10
244,11,16,16,18,14,405,10
245,8,8,12,11,17,427,7
246,17,21,21,9,9,399,14
247,13,15,20,14,14,409,5
248,9,7,21,13,13,420,7
249,19,11,21,16,11,403,9
250,7,14,18,12,10,420,9
251,11,16,18,10,12,415,8
252,11,12,14,9,6,424,14
253,8,16,12,9,13,422,10
254,16,10,13,6,7,428,10
255,12,15,9,13,16,408,17
256,9,12,12,15,13,422,7
257,14,16,15,11,11,414,9
258,13,12,21,17,5,413,9
259,17,18,13,13,15,402,12
260,11,19,19,13,13,409,6
261,12,10,20,9,7,426,6
262,14,11,36,9,10,404,6
263,14,18,60,10,10,372,6
264,15,12,74,13,13,354,9
265,10,42,62,12,5,351,8
266,12,65,61,10,11,321,10
267,11,77,80,13,10,291,8
268,13,109,57,6,17,274,14
269,14,123,69,13,12,249,10
270,9,142,62,16,8,240,13
271,7,143,52,14,6,259,9
272,12,165,51,10,15,226,11
273,10,165,50,13,12,231,9
274,12,198,59,12,13,185,11
275,9,215,57,9,14,173,13
276,11,228,39,11,12,177,12
277,18,243,31,11,17,162,8
278,14,234,50,10,12,157,13
279,14,260,42,9,13,136,16
280,16,252,34,9,11,149,19
281,10,263,36,12,13,144,12
282,10,314,25,10,10,114,7
283,14,295,25,10,13,118,15
284,11,281,38,13,11,124,12
285,5,298,32,16,11,115,13
286,8,310,21,12,10,121,8
287,14,313,23,15,12,99,14
288,13,308,30,15,11,101,12
289,11,300,22,13,12,124,8
290,12,301,28,10,15,118,6
291,8,285,26,12,14,133,12
292,8,264,32,17,15,145,9
293,12,254,24,10,10,165,15
294,6,243,27,7,15,181,11
295,10,215,20,16,13,203,13
296,9,195,22,9,13,234,8
297,10,214,15,16,10,212,13
298,5,178,27,18,5,252,5
299,12,173,25,9,7,256,8
300,13,164,37,11,18,238,9
301,9,166,21,14,15,256,9
302,21,148,14,13,10,272,12
303,20,157,23,8,13,261,8
304,14,125,19,14,13,295,10
305,6,119,17,11,12,307,18
306,17,113,21,17,6,303,13
307,4,116,14,10,10,321,15
308,10,106,12,10,13,323,16
309,16,97,19,17,13,312,16
310,16,99,10,15,9,330,11
311,12,92,13,15,16,331,11
312,14,78,9,15,10,350,14
313,12,70,20,13,14,348,13
314,15,93,13,10,11,341,7
315,10,65,20,15,12,349,19
316,12,66,11,21,6,357,17
317,14,75,15,14,7,359,6
318,13,67,12,12,10,362,14
319,15,60,15,12,11,369,8
320,10,48,14,15,9,382,12
321,10,54,19,7,12,374,14
322,10,62,18,16,14,359,11
323,15,42,14,12,17,376,14
324,14,41,22,14,7,381,11
325,11,50,17,17,8,367,20
326,22,48,13,9,10,371,17
327,20,42,10,12,10,386,10
328,7,44,14,15,10,388,12
329,14,48,13,9,13,377,16
330,10,43,9,13,11,390,14
331,15,35,12,13,8,403,4
332,21,44,12,18,6,377,12
333,7,32,15,12,6,406,12
334,12,39,15,9,10,393,12
335,14,27,7,15,6,415,6
336,10,28,10,13,6,408,15
337,12,16,17,11,8,419,7
338,11,22,13,12,12,411,9
339,14,26,18,11,9,401,11
340,11,26,21,12,6,402,12
341,12,23,16,10,7,413,9
342,8,17,7,21,13,411,13
343,16,27,15,11,11,401,9
344,9,21,9,17,10,415,9
345,17,26,10,13,16,396,12
346,13,29,12,10,9,404,13
347,14,27,11,9,13,404,12
348,7,20,11,10,12,415,15
349,11,23,16,14,7,408,11
350,19,19,13,15,7,404,13
351,16,13,10,21,11,406,13
352,16,33,13,9,14,394,11
353,12,16,11,16,17,413,5
354,13,17,12,9,19,415,5
355,13,16,9,15,16,413,8
356,9,14,6,13,7,430,11
357,10,22,15,10,12,405,16
358,15,13,18,14,14,407,9
359,17,15,13,17,8,399,21
360,12,14,9,12,16,413,14
361,15,17,11,17,16,404,10
362,14,26,6,10,11,415,8
363,13,15,13,18,9,403,19
364,12,9,16,11,12,420,10
365,6,17,8,18,9,422,10
366,7,18,3,14,4,428,16
367,16,20,8,11,12,416,7
368,11,20,11,12,19,408,9
369,10,16,11,14,8,424,7
370,10,14,13,15,8,415,15
371,13,12,14,7,15,421,8
372,13,20,12,6,13,412,14
373,13,20,9,12,11,409,16
374,12,12,6,10,14,415,21
375,8,9,14,12,10,421,16
376,14,13,12,5,17,421,8
377,18,7,8,14,11,416,16
378,12,19,11,18,8,416,6
379,10,16,12,12,14,418,8
380,11,11,10,16,12,417,13
381,12,11,18,10,6,419,14
382,10,13,7,19,12,423,6
383,18,11,19,16,8,407,11
384,10,7,17,7,15,420,14
385,14,21,9,10,11,411,14
386,13,11,14,14,11,412,15
387,9,16,12,14,12,420,7
388,9,8,12,19,10,419,13
389,16,15,13,15,7,405,19
390,8,9,9,14,10,426,14
391,8,17,17,11,15,404,18
392,14,17,10,29,13,389,18
393,10,12,12,39,17,394,6
394,5,14,9,74,14,356,18
395,8,15,20,104,10,322,11
396,14,13,13,114,10,320,6
397,10,13,15,133,17,288,14
398,15,9,10,153,17,276,10
399,8,13,12,167,14,265,11
