iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,72,73,68,63,83,59,72
2,69,70,71,65,59,91,65
3,67,67,65,60,50,114,67
4,53,53,72,61,67,127,57
5,66,52,47,47,75,142,61
6,45,65,62,46,52,168,52
7,44,53,59,51,48,184,51
8,51,60,37,44,50,192,56
9,50,46,53,46,48,193,54
10,51,52,44,44,35,214,50
11,49,35,46,53,46,222,39
12,40,41,55,52,41,225,36
13,36,36,35,34,42,268,39
14,40,40,36,36,34,262,42
15,37,36,28,46,45,267,31
16,39,37,29,32,36,277,40
17,33,36,21,32,40,296,32
18,36,30,34,34,33,291,32
19,28,38,36,30,35,290,33
20,28,39,28,29,35,304,27
21,42,27,37,30,27,301,26
22,24,31,21,31,35,321,27
23,33,34,30,25,31,315,22
24,24,27,34,23,17,339,26
25,24,27,27,20,23,337,32
26,21,17,33,24,21,347,27
27,23,28,28,29,21,332,29
28,28,24,24,13,27,354,20
29,18,22,22,29,22,356,21
30,29,27,21,29,23,341,20
31,22,26,17,19,17,376,13
32,17,19,18,14,19,377,26
33,25,15,26,25,21,362,16
34,19,23,14,24,23,366,21
35,20,14,19,17,16,383,21
36,23,14,16,16,12,386,23
37,21,16,28,18,26,353,28
38,21,17,17,13,20,382,20
39,20,14,19,16,22,378,21
40,23,19,17,23,14,380,14
41,15,16,14,15,20,393,17
42,20,18,23,16,15,385,13
43,6,8,14,22,16,410,14
44,26,16,14,17,19,380,18
45,15,16,19,21,14,394,11
46,18,15,9,18,15,397,18
47,15,24,11,18,10,389,23
48,24,15,19,18,12,391,11
49,19,13,11,18,18,394,17
50,9,13,24,10,11,407,16
51,12,14,15,16,22,393,18
52,12,21,13,11,10,407,16
53,16,16,18,12,22,395,11
54,12,10,10,12,18,415,13
55,12,15,10,15,12,404,22
56,16,11,16,21,29,381,16
57,17,20,18,8,13,400,14
58,20,16,17,13,17,394,13
59,14,12,22,9,21,395,17
60,8,12,12,13,17,409,19
61,15,14,9,14,18,411,9
62,16,10,14,16,9,410,15
63,8,13,18,12,22,404,13
64,12,11,12,13,17,414,11
65,13,10,8,10,14,420,15
66,21,18,12,13,12,393,21
67,16,17,7,12,8,419,11
68,11,17,7,17,8,418,12
69,14,16,11,10,15,417,7
70,19,8,16,10,14,406,17
71,9,48,10,13,14,384,12
72,11,43,7,8,17,393,11
73,21,68,12,14,10,359,6
74,20,51,11,12,13,373,10
75,14,53,13,14,18,362,16
76,16,82,10,13,17,341,11
77,23,81,11,13,13,343,6
78,13,108,11,10,14,324,10
79,16,121,14,22,14,290,13
80,11,144,16,10,11,286,12
81,14,173,7,12,17,259,8
82,8,200,17,9,11,229,16
83,14,184,15,11,14,244,8
84,13,210,11,12,14,217,13
85,17,230,9,6,15,202,11
86,18,221,8,7,9,219,8
87,16,203,11,15,9,225,11
88,16,214,12,9,11,216,12
89,9,228,12,15,16,198,12
90,17,234,15,14,14,183,13
91,18,242,17,17,8,175,13
92,14,278,14,10,18,149,7
93,9,286,14,14,9,151,7
94,11,283,18,16,7,142,13
95,14,280,11,17,13,142,13
96,14,296,8,9,6,147,10
97,18,285,11,8,12,143,13
98,15,322,13,13,13,103,11
99,10,318,12,9,8,114,19
100,10,302,8,22,9,132,7
101,16,307,12,17,5,124,9
102,13,269,14,8,17,156,13
103,16,267,10,10,12,164,11
104,15,265,8,14,8,168,12
105,15,244,11,8,9,182,21
106,8,217,13,16,12,212,12
107,15,204,17,15,15,216,8
108,13,206,14,6,10,226,15
109,10,208,10,16,9,224,13
110,16,184,10,14,14,244,8
111,18,168,11,16,12,255,10
112,12,143,9,11,8,294,13
113,13,159,10,12,7,275,14
114,6,156,14,10,9,274,21
115,10,136,11,13,14,295,11
116,16,127,9,18,9,304,7
117,14,125,11,7,11,303,19
118,10,116,10,12,10,315,17
119,13,107,16,13,11,317,13
120,15,107,19,9,11,319,10
121,10,93,16,12,13,336,10
122,8,83,10,9,21,348,11
123,10,79,10,7,13,355,16
124,13,91,12,9,13,343,9
125,10,67,14,9,11,364,15
126,16,74,9,12,10,349,20
127,8,62,13,14,8,368,17
128,10,63,12,7,20,364,14
129,10,71,10,12,9,357,21
130,6,61,3,14,15,382,9
131,15,66,8,14,15,358,14
132,7,55,13,7,14,374,20
133,12,55,15,12,13,370,13
134,11,57,6,10,10,388,8
135,22,35,14,8,20,382,9
136,11,55,10,8,14,379,13
137,9,47,3,13,19,389,10
138,14,48,7,7,7,398,9
139,17,43,7,12,9,390,12
140,14,37,10,10,8,396,15
141,11,41,7,11,10,396,14
142,14,34,8,14,11,397,12
143,13,35,12,10,7,396,17
144,8,26,6,9,13,418,10
145,9,33,12,13,8,402,13
146,17,33,13,13,12,388,14
147,5,33,14,15,9,400,14
148,14,27,12,18,13,393,13
149,10,25,17,9,14,401,14
150,15,20,13,16,16,394,16
151,13,20,10,5,19,411,12
152,9,31,7,12,15,409,7
153,10,27,8,11,13,402,19
154,13,20,5,10,24,399,19
155,6,23,14,10,18,407,12
156,10,28,12,10,16,402,12
157,14,29,10,16,14,401,6
158,15,16,15,7,16,413,8
159,11,25,12,14,9,405,14
160,14,21,12,4,12,411,16
161,17,14,11,12,15,407,14
162,14,20,9,13,12,411,11
163,7,18,11,12,13,413,16
164,16,23,8,6,14,413,10
165,14,19,8,6,19,413,11
166,12,16,13,8,6,414,21
167,10,19,8,6,9,426,12
168,16,16,8,10,14,416,10
169,7,23,8,8,10,419,15
170,11,14,17,15,12,409,12
171,7,20,14,3,14,420,12
172,9,14,13,6,11,427,10
173,9,21,14,13,9,416,8
174,16,10,19,7,8,416,14
175,10,20,11,7,9,417,16
176,7,20,15,8,5,415,20
177,14,12,10,13,9,422,10
178,12,11,13,9,9,422,14
179,8,17,18,13,7,415,12
180,14,15,11,17,14,409,10
181,17,14,6,14,10,421,8
182,11,12,10,13,12,420,12
183,10,18,6,11,13,424,8
184,11,15,16,6,15,420,7
185,15,12,13,16,15,410,9
186,9,15,12,11,11,421,11
187,14,15,14,8,15,416,8
188,7,14,11,5,9,430,14
189,7,9,12,9,21,425,7
190,11,13,8,10,14,420,14
191,16,9,9,4,14,427,11
192,14,22,9,12,11,410,12
