iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,50,50,50,50,50,50,50,50,50
1,50,52,44,57,53,44,47,55,48
2,61,47,47,52,48,44,48,56,47
3,73,51,44,48,41,53,45,53,42
4,73,48,50,46,43,47,48,41,54
5,99,43,47,52,46,44,37,49,33
6,102,44,43,47,51,34,39,44,46
7,112,51,27,45,47,38,40,46,44
8,127,32,50,36,49,41,32,55,28
9,131,36,43,35,44,55,37,35,34
10,147,44,40,28,32,32,44,42,41
11,140,33,43,28,41,58,31,33,43
12,139,42,39,39,39,34,34,53,31
13,120,37,47,39,51,31,36,52,37
14,139,26,33,44,43,51,30,42,42
15,147,36,30,39,29,54,29,48,38
16,152,34,38,34,31,39,32,53,37
17,143,38,40,33,41,44,31,40,40
18,122,56,45,41,26,45,38,43,34
19,138,68,24,25,25,44,50,37,39
20,135,60,36,38,45,41,35,32,28
21,131,80,30,35,56,26,44,31,17
22,134,56,31,48,47,22,42,40,30
23,158,51,27,34,39,38,23,36,44
24,138,42,30,36,52,36,40,37,39
25,145,56,29,37,58,33,37,26,29
26,122,51,30,31,79,28,42,29,38
27,107,48,32,43,83,35,34,35,33
28,92,63,30,33,93,37,41,20,41
29,92,43,33,37,114,21,39,38,33
30,71,45,34,39,113,37,40,36,35
31,69,40,32,37,123,34,33,32,50
32,67,41,37,35,130,36,41,32,31
33,52,58,29,43,130,33,44,21,40
34,46,46,34,30,125,36,42,30,61
35,62,58,27,36,95,26,42,33,71
36,63,50,29,36,82,34,32,39,85
37,66,49,28,53,86,33,28,39,68
38,41,64,34,52,77,37,31,30,84
39,40,46,35,45,75,22,40,51,96
40,42,60,27,52,62,45,25,69,68
41,33,77,39,43,50,40,28,63,77
42,40,81,49,40,49,29,26,68,68
43,32,47,73,38,61,31,32,79,57
44,36,55,82,30,54,27,25,78,63
45,31,39,82,27,77,23,21,106,44
46,22,26,76,51,67,38,21,100,49
47,21,33,68,52,88,46,14,95,33
48,24,31,71,49,74,74,20,74,33
49,32,34,57,58,53,75,29,77,35
50,18,30,70,62,55,100,26,52,37
51,26,22,57,45,60,108,17,85,30
52,14,52,62,65,49,106,24,53,25
53,27,59,37,58,71,99,23,46,30
54,25,54,40,50,81,83,29,51,37
55,21,60,35,49,80,81,31,51,42
56,20,72,31,34,77,80,34,67,35
57,17,60,21,33,73,77,57,65,47
58,21,42,20,43,70,78,54,78,44
59,23,43,19,17,74,84,71,85,34
60,30,29,20,17,54,87,91,84,38
61,19,41,23,23,52,79,85,95,33
62,15,33,12,48,52,97,84,83,26
63,24,33,25,33,45,103,73,71,43
64,16,20,20,46,51,92,65,103,37
65,26,27,26,36,71,87,50,104,23
66,19,28,27,36,58,105,35,111,31
67,23,16,34,22,59,119,57,91,29
68,22,32,21,31,59,88,68,88,41
69,22,34,29,20,49,81,85,87,43
70,15,33,18,30,66,79,84,96,29
71,17,25,30,38,49,62,102,93,34
72,13,40,22,20,43,72,103,94,43
73,19,34,34,53,28,64,83,85,50
74,22,65,25,53,41,56,58,78,52
75,20,27,26,63,43,64,65,95,47
76,25,39,20,73,34,42,56,94,67
77,27,31,16,83,28,38,55,99,73
78,25,40,14,65,17,36,48,102,103
79,23,34,38,73,39,34,30,108,71
80,21,36,52,71,24,37,60,88,61
81,20,28,58,57,22,61,58,63,83
82,22,26,63,52,26,65,50,71,75
83,32,24,63,54,23,53,35,81,85
84,20,20,71,44,18,53,26,100,98
85,20,24,87,54,20,55,19,82,89
86,22,22,83,47,25,78,26,87,60
87,28,17,64,35,22,75,21,101,87
88,21,21,89,40,20,87,17,79,76
89,20,24,103,24,21,109,19,61,69
90,19,21,71,50,28,71,21,77,92
91,29,16,75,51,47,72,18,87,55
92,28,11,74,60,48,101,18,67,43
93,21,16,75,49,56,75,19,77,62
94,13,11,87,47,66,60,19,79,68
95,23,27,67,45,67,63,9,87,62
96,15,24,84,41,82,34,14,86,70
97,15,25,74,32,93,37,19,75,80
98,14,26,79,27,90,37,20,72,85
99,15,26,85,36,81,37,17,80,73
100,23,22,106,33,62,35,20,88,61
101,21,23,102,29,65,26,27,100,57
102,18,29,88,53,71,24,25,98,44
103,20,27,105,38,81,19,21,100,39
104,20,21,100,24,88,30,25,101,41
105,16,27,96,36,91,24,26,99,35
106,20,19,100,26,95,20,24,111,35
107,16,31,100,25,84,22,24,106,42
108,16,23,101,26,89,31,26,90,48
109,26,26,95,34,79,26,21,106,37
110,20,17,104,20,83,25,43,95,43
111,32,21,96,28,74,26,50,91,32
112,51,16,94,20,64,14,57,102,32
113,65,18,102,9,57,14,68,79,38
114,51,15,91,17,37,22,80,84,53
115,50,14,77,22,49,23,57,80,78
116,45,21,71,18,44,22,68,69,92
117,37,25,65,22,35,21,53,79,113
118,40,36,55,27,36,20,68,58,110
119,36,38,58,25,35,20,63,66,109
120,29,31,49,44,40,26,63,72,96
121,26,20,59,47,28,34,56,76,104
122,27,41,41,33,27,40,66,83,92
123,27,40,31,44,34,58,63,71,82
124,28,62,26,61,21,47,48,68,89
125,29,64,23,41,22,72,37,93,69
126,30,90,28,33,28,68,35,70,68
127,46,74,23,39,41,71,26,55,75
128,55,80,32,34,36,57,23,57,76
129,48,51,61,26,47,53,37,44,83
130,41,57,38,33,80,61,32,32,76
131,40,64,64,27,81,35,22,39,78
132,42,52,61,30,78,52,33,26,76
133,21,45,68,30,94,61,41,24,66
134,25,43,85,40,79,37,25,29,87
135,22,41,76,53,75,47,13,50,73
136,22,32,89,33,96,47,20,46,65
137,28,33,100,37,99,42,28,41,42
138,28,26,70,65,103,31,19,42,66
139,24,28,91,36,86,51,19,59,56
140,20,24,86,38,78,78,16,36,74
141,34,26,87,41,89,45,25,40,63
142,20,25,105,30,107,46,18,38,61
143,21,22,80,51,100,37,27,40,72
144,10,21,75,33,105,32,18,77,79
145,14,20,77,26,109,22,25,66,91
146,25,25,67,26,96,27,20,63,101
147,25,25,50,30,96,53,27,55,89
148,26,38,40,31,106,69,13,45,82
149,28,50,36,24,88,74,20,35,95
150,13,58,54,23,85,63,22,31,101
151,26,80,71,23,68,68,13,20,81
152,22,82,75,27,76,39,29,39,61
153,21,71,64,21,70,58,31,57,57
154,19,82,62,17,57,56,24,60,73
155,24,81,43,21,66,70,19,67,59
156,19,69,50,15,68,64,21,75,69
157,41,53,35,35,52,83,23,65,63
158,22,51,32,22,65,91,27,63,77
159,27,41,33,24,60,102,29,58,76
160,37,44,30,28,49,84,23,57,98
161,23,41,55,28,45,88,17,68,85
162,31,45,50,37,41,96,27,58,65
163,23,25,72,30,33,80,20,77,90
164,23,17,74,22,29,87,45,80,73
165,20,41,69,37,27,79,42,60,75
166,21,35,77,32,30,62,35,82,76
167,20,29,84,32,30,69,37,71,78
168,29,23,76,22,20,65,30,79,106
169,23,41,82,22,27,72,38,63,82
170,30,34,92,29,28,61,31,56,89
171,22,29,74,40,19,80,32,36,118
172,20,36,71,45,37,88,31,29,93
173,21,33,45,65,45,87,18,29,107
174,21,31,48,61,33,80,27,32,117
175,22,30,63,60,27,90,32,22,104
176,18,23,69,68,33,73,20,30,116
177,20,22,83,79,31,55,26,28,106
178,29,26,84,77,24,60,17,30,103
179,22,29,68,78,32,44,27,24,126
180,22,31,56,99,22,54,20,32,114
181,35,24,54,105,27,40,23,27,115
182,24,18,56,111,51,53,20,21,96
183,20,25,42,108,60,36,28,34,97
184,16,24,47,128,65,29,26,24,91
185,22,23,40,96,45,57,32,36,99
186,20,26,30,99,39,56,42,49,89
187,21,23,36,82,53,55,29,54,97
188,24,31,18,94,60,64,28,42,89
189,35,32,30,67,66,59,36,33,92
190,24,28,23,61,73,82,45,41,73
191,25,29,28,52,79,65,46,37,89
192,26,38,30,43,70,107,56,31,49
193,24,27,32,60,61,94,73,38,41
194,27,37,38,78,53,78,55,32,52
195,19,32,44,75,66,83,52,37,42
196,30,42,35,52,67,98,47,31,48
197,18,30,27,71,65,104,43,50,42
198,22,34,24,63,76,100,42,44,45
199,22,19,21,48,83,129,40,54,34
200,31,20,34,47,63,117,41,65,32
201,64,26,37,31,66,99,31,72,24
202,53,34,25,45,53,80,50,78,32
203,53,23,26,39,46,82,41,93,47
204,37,27,15,46,57,82,47,101,38
205,45,33,20,42,50,70,32,109,49
206,62,30,23,44,51,67,34,108,31
207,61,29,33,35,34,54,37,127,40
208,59,28,31,39,29,56,39,140,29
209,58,44,26,37,35,51,32,134,33
210,42,24,36,33,43,65,34,133,40
211,38,32,32,26,40,54,43,142,43
212,33,35,30,44,43,56,39,127,43
213,37,25,44,45,35,50,32,152,30
214,31,39,39,32,39,47,42,147,34
215,40,37,30,50,41,50,35,133,34
216,35,42,33,31,30,52,31,158,38
217,32,32,44,41,31,55,28,142,45
218,33,34,35,31,30,63,38,138,48
219,35,34,31,38,45,46,30,153,38
220,36,32,50,37,23,50,27,153,42
221,38,38,38,32,25,44,26,164,45
222,45,31,36,33,31,45,28,155,46
223,28,32,34,47,37,43,36,153,40
