iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,50,50,50,50,50,50,50,50
1,54,46,64,57,55,56,54,14
2,48,53,42,64,47,96,49,1
3,40,39,33,40,43,142,63,0
4,32,32,39,31,30,176,60,0
5,36,22,31,42,21,179,69,0
6,24,41,42,34,13,185,61,0
7,30,37,26,27,21,210,49,0
8,29,36,36,25,15,198,61,0
9,26,22,34,30,14,209,65,0
10,25,23,28,34,17,217,56,0
11,25,25,14,26,14,242,54,0
12,29,24,26,31,12,219,59,0
13,29,23,11,21,14,240,62,0
14,32,19,23,29,5,227,65,0
15,27,24,17,33,12,227,60,0
16,23,25,21,32,13,232,54,0
17,41,21,34,24,7,221,52,0
18,34,20,34,23,9,225,55,0
19,33,19,33,20,9,236,50,0
20,38,11,24,22,11,244,50,0
21,62,21,16,24,14,212,51,0
22,39,16,18,26,10,236,55,0
23,62,17,14,21,9,222,55,0
24,80,21,14,17,10,209,49,0
25,84,22,23,24,11,191,45,0
26,95,26,21,29,10,178,41,0
27,106,25,25,22,14,178,30,0
28,106,33,37,17,19,169,19,0
29,141,35,41,29,16,116,22,0
30,157,37,35,28,21,104,18,0
31,185,35,30,23,21,89,17,0
32,199,36,28,22,14,75,26,0
33,210,41,24,13,24,64,24,0
34,208,44,29,20,22,58,19,0
35,222,42,24,18,16,51,27,0
36,225,46,21,24,12,37,35,0
37,213,60,29,17,8,43,30,0
38,221,58,15,24,26,27,29,0
39,219,45,24,21,23,33,35,0
40,223,47,21,22,29,31,27,0
41,213,52,32,31,23,28,21,0
42,218,50,24,24,18,32,34,0
43,202,59,45,18,20,33,23,0
44,206,55,50,23,18,29,19,0
45,188,50,30,45,20,36,31,0
46,162,50,44,70,25,25,24,0
47,140,39,30,103,27,33,28,0
48,109,39,21,148,37,24,22,0
49,101,32,14,169,37,22,25,0
50,92,24,23,178,35,25,23,0
51,63,22,21,201,41,30,22,0
52,63,24,6,215,35,31,26,0
53,40,35,16,224,33,31,21,0
54,39,28,7,231,45,35,15,0
55,31,35,8,227,46,24,29,0
56,48,22,8,223,50,25,24,0
57,68,44,7,190,50,22,19,0
58,77,60,9,172,44,17,21,0
59,88,76,7,152,42,23,12,0
60,79,88,10,147,40,22,14,0
61,71,78,14,149,39,25,24,0
62,83,64,17,149,38,20,29,0
63,94,48,22,152,39,21,24,0
64,104,55,39,117,35,30,20,0
65,99,38,54,142,33,10,24,0
66,88,41,55,144,26,24,22,0
67,88,37,66,133,31,26,19,0
68,105,38,70,128,26,16,17,0
69,108,36,68,116,27,23,22,0
70,95,32,78,128,26,21,20,0
71,106,33,52,137,25,30,17,0
72,104,35,54,136,20,26,25,0
73,120,37,28,140,27,16,32,0
74,119,30,32,140,22,24,33,0
75,123,31,33,153,22,17,21,0
76,119,32,21,161,26,22,19,0
77,108,34,17,151,29,31,30,0
78,120,39,17,135,36,35,18,0
79,112,29,28,144,32,26,29,0
80,116,32,29,144,33,28,18,0
81,113,29,20,152,31,26,29,0
82,128,31,17,145,25,32,22,0
83,135,40,18,136,23,28,20,0
84,126,40,12,152,20,23,27,0
85,143,32,19,143,25,20,18,0
86,121,27,20,158,26,25,23,0
87,116,28,23,153,34,21,25,0
88,108,23,17,156,35,33,28,0
89,122,29,10,143,41,25,30,0
90,140,23,13,140,35,17,32,0
91,146,25,11,140,32,25,21,0
92,135,29,12,151,29,17,27,0
93,132,31,18,161,24,12,22,0
94,137,25,16,149,34,16,23,0
95,135,30,23,130,28,35,19,0
96,117,24,25,165,30,18,21,0
97,73,20,22,204,32,24,25,0
98,62,25,11,217,39,23,23,0
99,64,19,9,217,50,21,20,0
100,47,32,13,188,51,43,26,0
101,81,25,14,173,35,47,25,0
102,72,23,12,173,37,61,22,0
103,75,17,14,169,32,64,29,0
104,84,23,8,155,42,57,31,0
105,96,22,12,136,37,64,33,0
106,99,27,20,147,33,46,28,0
107,91,34,15,147,30,54,29,0
