iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,99
1,98,104,88,108,108,116,90,87
2,80,84,89,73,122,74,187,90
3,88,96,68,79,85,70,245,68
4,69,74,70,63,75,56,216,176
5,46,71,58,71,56,54,210,233
6,38,71,64,55,55,54,265,197
7,161,48,47,48,60,64,192,179
8,239,59,51,39,52,50,179,130
9,181,66,49,60,44,37,251,111
10,158,46,51,65,49,46,281,103
11,252,54,43,38,41,50,235,86
12,202,62,154,45,41,33,205,57
13,179,53,120,37,45,40,139,186
14,232,44,108,49,40,40,148,138
15,180,50,194,49,36,50,115,125
16,258,46,159,55,37,36,106,102
17,215,29,147,50,34,42,71,211
18,192,41,122,36,34,31,81,262
19,252,34,81,37,41,49,72,232
20,311,37,70,31,40,62,52,195
21,369,37,68,39,45,48,41,151
22,311,140,50,34,45,52,42,124
23,327,123,68,40,44,35,45,116
24,369,87,66,23,43,39,63,108
25,389,98,58,45,25,55,48,80
26,402,85,50,42,45,63,42,69
27,431,84,38,32,48,54,50,61
28,445,53,46,39,47,60,48,60
29,483,53,49,30,45,40,50,48
30,477,46,49,29,47,42,49,59
31,496,40,46,34,48,34,48,52
32,478,49,41,44,37,44,55,50
33,496,37,35,47,34,45,56,48
34,498,37,34,40,54,43,39,53
35,506,23,36,41,37,49,53,53
36,473,34,42,48,47,49,55,50
37,494,31,41,56,42,44,34,56
38,501,42,39,56,40,47,30,43
39,394,33,145,37,33,49,42,65
40,315,42,110,40,56,41,50,144
41,240,148,100,48,65,31,39,127
42,288,121,85,50,57,41,35,121
43,360,109,83,49,41,43,42,71
44,267,93,64,173,46,42,35,78
45,206,83,66,249,50,46,40,58
46,198,67,182,191,36,36,31,57
47,245,72,138,168,49,45,32,49
48,203,64,104,249,43,40,40,55
49,171,47,104,305,36,35,45,55
50,132,44,89,337,50,48,33,65
51,230,57,62,278,43,47,41,40
52,265,46,74,220,56,38,40,59
53,339,53,55,179,34,43,38,57
54,386,61,46,139,41,28,46,51
55,423,47,44,127,30,39,50,38
56,328,54,43,217,36,38,45,37
57,383,42,43,168,42,33,39,39
58,400,53,41,124,39,39,42,51
59,324,36,41,202,45,42,54,45
60,247,43,43,284,34,48,45,45
61,200,57,34,338,40,39,33,48
62,148,44,46,403,33,44,38,33
63,228,48,35,318,52,37,45,26
64,199,39,43,352,40,35,50,31
65,165,47,35,366,46,50,39,41
66,243,57,37,281,39,50,41,41
67,288,55,27,247,43,40,57,32
68,211,50,33,194,60,44,151,46
69,193,44,44,165,52,41,215,35
70,267,34,36,147,47,53,159,46
71,322,49,37,96,34,51,164,36
72,230,38,154,92,42,47,142,44
73,169,57,132,95,38,44,218,36
74,276,36,112,78,42,44,162,39
75,213,43,88,70,51,52,239,33
76,189,37,83,63,49,40,290,38
77,147,37,58,162,50,38,249,48
78,122,57,65,134,56,119,187,49
79,92,41,57,100,166,128,168,37
80,88,46,51,196,117,112,133,46
81,66,41,55,292,93,82,106,54
82,63,34,60,326,88,84,90,44
83,67,33,53,262,202,64,77,31
84,65,36,45,328,140,60,76,39
85,62,39,46,360,107,69,59,47
86,45,44,46,278,119,156,57,44
