iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,81,61,78,61,71,76,62
2,73,65,46,62,71,100,73
3,58,54,60,69,66,130,53
4,59,58,67,64,54,134,54
5,56,63,54,60,53,154,50
6,57,47,62,46,48,176,54
7,48,58,52,50,53,168,61
8,51,50,43,56,63,179,48
9,40,51,44,44,46,222,43
10,51,45,45,34,39,227,49
11,41,41,42,43,50,234,39
12,32,37,38,39,42,260,42
13,37,36,44,53,40,245,35
14,26,43,42,40,42,264,33
15,41,36,41,40,22,278,32
16,40,43,42,29,32,265,39
17,38,25,25,42,30,295,35
18,27,35,32,29,39,308,20
19,28,30,27,36,29,319,21
20,32,26,29,29,24,312,38
21,36,29,21,30,30,314,30
22,30,19,31,35,23,323,29
23,28,29,33,31,28,320,21
24,29,33,26,22,28,327,25
25,28,23,29,33,25,327,25
26,20,14,21,26,27,357,25
27,25,29,16,24,24,351,21
28,20,26,26,25,24,349,20
29,13,23,26,23,23,354,28
30,18,21,28,15,28,359,21
31,21,20,17,31,17,367,17
32,17,19,13,27,17,373,24
33,16,27,15,21,24,371,16
34,22,20,24,29,21,361,13
35,21,18,12,17,14,386,22
36,23,23,25,11,22,369,17
37,17,14,24,16,20,388,11
38,16,13,12,14,23,391,21
39,13,21,19,19,17,374,27
40,19,18,18,18,21,379,17
41,15,14,12,20,16,398,15
42,16,18,29,16,13,384,14
43,13,23,10,17,16,398,13
44,17,17,16,9,11,403,17
45,16,17,16,16,12,402,11
46,17,14,18,20,13,395,13
47,21,11,16,15,14,399,14
48,12,9,10,11,19,414,15
49,12,16,19,8,9,408,18
50,17,12,19,8,18,397,19
51,15,11,11,19,8,413,13
52,20,12,16,12,9,410,11
53,11,19,19,11,17,394,19
54,10,18,17,15,24,392,14
55,12,16,13,14,12,409,14
56,11,15,18,17,8,408,13
57,14,14,14,16,10,412,10
58,13,14,16,13,13,412,9
59,13,12,17,10,17,405,16
60,7,11,19,11,12,411,19
61,16,19,17,9,8,405,16
