iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,69,73,75,63,73,73,71,63
2,99,56,68,69,60,85,69,54
3,129,64,61,50,66,69,64,57
4,138,55,59,54,64,51,61,78
5,141,52,43,62,59,65,62,76
6,129,50,53,54,55,48,53,118
7,124,52,57,42,46,54,47,138
8,111,55,52,60,53,43,41,145
9,105,63,51,55,44,44,42,156
10,100,49,49,41,41,49,59,172
11,88,42,49,44,60,27,45,205
12,80,32,37,38,42,45,51,235
13,65,36,41,41,41,39,32,265
14,68,44,41,32,31,35,85,224
15,69,32,36,42,44,48,93,196
16,69,44,32,30,37,27,117,204
17,67,30,48,36,41,29,122,187
18,69,30,39,36,37,39,148,162
19,55,36,35,39,28,27,174,166
20,64,32,22,28,31,34,200,149
21,54,34,28,33,22,38,198,153
22,58,33,23,26,18,36,233,133
23,40,25,25,27,31,25,237,150
24,46,29,27,23,16,24,253,142
25,42,21,34,21,34,28,264,116
26,45,28,17,22,23,25,287,113
27,48,19,25,17,24,14,267,146
28,40,26,20,34,31,23,259,127
29,37,21,32,20,26,18,278,128
30,38,20,27,21,23,14,312,105
31,40,29,42,21,28,14,289,97
32,28,15,82,25,15,19,249,127
33,27,26,76,25,25,19,267,95
34,36,23,76,24,26,16,272,87
35,42,32,63,17,18,13,289,86
36,35,20,63,10,13,15,329,75
37,29,15,69,14,21,18,300,94
38,31,16,47,22,20,20,337,67
39,21,22,62,22,19,16,325,73
40,26,21,61,14,19,14,322,83
41,17,20,52,19,23,16,296,117
42,25,15,46,20,16,16,297,125
43,28,16,39,27,16,14,271,149
44,26,24,38,16,13,10,264,169
45,16,11,50,20,21,10,237,195
46,28,11,33,18,20,11,231,208
47,21,21,54,19,16,15,208,206
48,12,22,37,18,27,14,195,235
49,22,19,36,20,18,15,206,224
50,15,11,28,23,16,17,181,269
51,15,12,33,12,14,11,195,268
52,16,17,33,12,18,18,141,305
53,19,12,35,16,12,13,140,313
54,20,16,30,21,13,10,152,298
55,9,24,30,14,14,14,159,296
56,11,10,26,14,18,12,163,306
57,13,12,35,17,13,12,150,308
58,19,14,23,8,15,16,138,327
59,15,9,25,18,15,13,120,345
60,11,17,27,14,20,18,139,314
61,14,12,27,19,11,8,116,353
62,19,12,16,21,16,8,121,347
63,21,16,20,8,14,9,104,368
64,15,11,15,23,13,15,94,374
65,17,11,20,16,14,8,135,339
66,12,10,23,15,23,11,134,332
67,11,11,10,15,14,13,154,332
68,17,13,17,8,14,11,159,321
69,17,12,22,19,11,6,211,262
70,13,8,19,12,14,9,201,284
71,11,8,15,17,9,18,236,246
72,10,15,22,15,17,6,260,215
73,10,11,28,10,17,14,276,194
74,8,11,14,10,14,12,262,229
75,11,14,18,16,12,15,280,194
76,10,14,17,3,8,15,273,220
77,21,12,21,15,13,8,272,198
78,11,12,12,12,9,10,241,253
79,14,9,21,13,13,15,231,244
80,13,14,15,15,15,17,232,239
81,11,11,21,9,10,14,211,273
82,8,15,15,7,12,12,216,275
83,9,12,9,17,12,18,189,294
84,13,18,10,39,15,14,182,269
85,15,11,13,61,11,10,163,276
86,13,11,13,85,13,10,172,243
87,7,19,18,113,10,14,151,228
88,9,12,14,132,14,14,151,214
89,19,7,14,164,12,9,146,189
90,14,21,19,169,11,13,124,189
91,16,13,17,176,9,13,124,192
92,12,5,16,219,17,14,106,171
93,12,13,18,208,13,20,115,161
94,10,14,14,263,18,9,85,147
95,19,17,9,251,10,14,108,132
96,11,22,12,232,6,16,95,166
97,10,16,5,244,10,14,86,175
98,12,11,13,224,8,15,75,202
99,11,9,16,196,13,12,81,222
100,7,9,15,177,8,15,80,249
101,12,8,9,196,9,17,65,244
102,9,10,14,167,8,11,54,287
103,11,13,11,176,11,12,70,256
104,17,10,4,157,13,7,57,295
105,14,9,13,138,17,12,62,295
106,11,9,12,138,11,10,40,329
107,13,12,11,121,15,15,89,284
108,12,11,14,113,9,14,115,272
109,15,14,12,114,16,14,84,291
110,12,15,9,93,11,10,98,312
111,14,8,6,96,13,13,123,287
112,13,16,15,72,8,10,139,287
113,13,12,14,99,18,18,124,262
114,13,11,9,81,15,19,119,293
115,7,10,15,85,10,12,118,303
116,12,7,10,76,10,12,118,315
117,10,10,9,69,9,16,93,344
118,17,15,5,74,38,17,106,288
119,11,9,13,75,63,12,99,278
120,10,7,11,71,79,11,108,263
121,13,13,16,53,111,13,90,251
122,12,9,14,61,136,14,71,243
123,11,13,14,63,146,13,70,230
124,19,12,11,47,177,12,69,213
125,12,5,10,47,179,10,73,224
126,9,13,11,45,213,11,55,203
127,10,13,18,37,209,10,62,201
128,11,12,9,49,227,16,64,172
129,11,11,24,42,273,9,45,145
130,8,17,10,39,259,11,51,165
131,10,10,13,29,287,13,55,143
132,14,19,14,38,286,10,43,136
133,17,10,17,34,317,11,38,116
134,9,14,12,32,319,14,47,113
135,17,10,14,25,330,11,42,111
136,14,17,8,37,337,17,39,91
137,12,14,11,26,353,12,38,94
138,14,9,9,33,360,8,38,89
139,16,11,11,31,358,6,32,95
140,13,9,13,28,373,12,35,77
141,12,16,22,30,351,13,33,83
142,18,13,13,23,379,13,26,75
143,14,12,14,22,380,17,26,75
144,18,13,10,20,390,23,35,51
145,11,5,17,21,385,16,34,71
146,10,9,14,19,398,8,22,80
147,11,16,5,22,408,21,15,62
148,6,12,11,19,389,25,26,72
149,16,11,9,23,361,11,22,107
150,7,8,6,20,344,19,27,129
151,12,11,6,27,309,11,14,170
152,7,7,8,18,300,19,14,187
153,9,7,9,16,295,21,21,182
154,11,13,12,22,235,14,30,223
155,16,11,12,22,245,17,18,219
