iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,68,58,69,66,52,80,79,88
2,61,54,87,68,65,78,65,82
3,92,55,65,75,62,67,65,79
4,115,71,74,59,40,74,54,73
5,137,59,59,60,58,51,58,78
6,141,46,49,57,65,48,82,72
7,133,57,54,42,54,57,98,65
8,116,51,51,42,51,51,123,75
9,117,32,42,52,50,48,152,67
10,114,39,44,46,53,48,159,57
11,102,36,46,35,49,35,187,70
12,91,38,34,42,50,48,205,52
13,85,44,34,34,34,36,240,53
14,94,34,47,34,43,36,224,48
15,82,28,37,28,32,47,255,51
16,82,40,35,34,35,30,251,53
17,66,37,26,29,32,32,291,47
18,67,29,23,42,36,36,294,33
19,70,31,39,32,28,36,286,38
20,54,32,25,39,35,21,322,32
21,57,16,36,29,30,27,330,35
22,64,28,33,26,28,19,318,44
23,53,25,35,36,19,21,341,30
24,45,26,23,19,29,26,354,38
25,48,23,16,27,28,25,354,39
26,51,19,23,21,24,28,371,23
27,43,28,16,24,27,27,360,35
28,48,22,25,19,20,29,378,19
29,41,27,24,10,18,21,386,33
30,45,14,28,21,22,18,382,30
31,38,17,24,15,36,13,384,33
32,34,14,24,25,17,22,398,26
33,35,22,20,10,18,16,415,24
34,41,21,22,23,13,21,401,18
35,25,41,20,17,19,25,395,18
36,33,82,15,14,21,22,345,28
37,24,105,15,15,21,21,340,19
38,34,116,20,15,17,25,318,15
39,29,128,18,15,13,22,312,23
40,24,167,9,11,16,14,294,25
41,22,185,16,13,17,23,267,17
42,21,195,16,17,21,15,256,19
43,23,219,12,12,36,11,231,16
44,31,225,16,13,18,18,216,23
45,28,238,17,25,18,17,206,11
46,19,259,17,10,10,8,224,13
47,16,294,12,16,10,18,188,6
48,18,279,12,16,18,15,189,13
49,16,309,13,18,17,12,160,15
50,19,317,22,12,20,12,149,9
51,16,345,15,10,11,13,134,16
52,20,306,20,19,11,12,150,22
53,19,325,10,18,17,20,135,16
54,20,336,18,9,12,14,134,17
55,27,344,15,7,9,13,124,21
56,24,356,20,11,13,7,111,18
57,18,344,15,13,13,13,134,10
58,22,362,15,13,9,13,104,22
59,19,360,13,16,15,14,112,11
60,14,379,9,10,14,21,96,17
61,17,387,14,17,13,12,84,16
62,14,386,8,10,21,13,94,14
63,16,387,9,16,11,16,88,17
64,21,397,16,16,9,8,77,16
65,18,392,13,13,18,17,80,9
66,13,388,14,15,13,13,95,9
67,15,370,12,13,21,13,104,12
68,15,371,10,12,17,14,105,16
69,14,348,17,8,11,11,136,15
70,19,324,11,12,13,15,154,12
71,14,315,22,10,11,15,163,10
72,17,299,13,11,7,15,184,14
73,11,296,12,8,12,11,199,11
74,12,272,9,20,13,11,208,15
75,12,260,20,14,10,17,211,16
76,16,217,12,13,20,10,268,4
77,17,223,16,12,10,11,258,13
78,16,202,16,12,14,23,267,10
79,10,214,10,14,14,17,273,8
80,12,205,19,11,14,19,263,17
81,10,235,12,16,16,15,246,10
82,12,242,7,13,13,14,246,13
83,14,237,9,10,11,14,247,18
84,15,272,8,11,12,8,222,12
85,17,244,19,14,10,16,230,10
86,14,280,10,10,13,9,211,13
87,10,285,13,6,11,19,197,19
88,22,304,10,5,14,15,180,10
89,11,306,12,12,15,14,173,17
90,18,321,9,6,10,13,165,18
91,16,330,5,11,15,7,161,15
92,10,347,3,7,6,13,157,17
93,13,343,10,12,13,15,144,10
94,7,375,9,10,12,14,123,10
95,8,364,21,13,8,8,126,12
96,13,360,12,7,5,11,136,16
97,16,355,12,12,12,13,124,16
98,14,315,9,14,19,14,162,13
99,11,295,8,17,12,17,191,9
100,17,285,14,14,13,10,200,7
101,9,237,10,19,11,15,246,13
102,17,274,12,15,12,14,202,14
103,14,251,9,15,11,14,237,9
104,10,204,12,11,9,10,287,17
105,14,217,10,18,15,13,262,11
106,11,217,8,13,8,11,287,5
107,13,179,13,14,12,12,310,7
108,11,183,15,11,9,14,306,11
109,10,177,17,10,11,8,312,15
110,13,152,12,15,8,19,331,10
111,17,151,13,13,10,10,334,12
112,9,137,11,10,15,8,364,6
113,23,128,14,14,12,4,351,14
114,7,136,15,7,14,14,352,15
115,9,122,11,8,17,12,370,11
116,9,123,16,10,7,9,378,8
117,10,108,13,11,9,14,373,22
118,11,96,12,6,7,14,400,14
119,11,109,8,8,14,4,391,15
120,9,104,8,14,14,15,377,19
121,16,110,16,12,10,9,375,12
122,14,123,14,8,12,18,357,14
123,14,169,14,10,9,12,322,10
124,11,174,12,15,13,10,312,13
125,10,206,12,11,13,10,289,9
126,13,213,7,14,13,11,280,9
127,13,220,9,11,8,11,274,14
128,10,269,10,13,11,7,235,5
129,16,257,18,7,15,13,221,13
130,6,281,15,15,19,14,201,9
131,10,286,14,9,11,4,218,8
132,3,296,16,22,10,11,193,9
133,10,292,9,14,12,9,201,13
134,18,293,11,8,15,15,189,11
135,12,326,13,13,12,21,150,13
136,9,347,11,12,13,21,139,8
137,13,306,14,9,13,20,173,12
138,17,289,19,15,18,7,182,13
139,9,290,8,9,10,12,206,16
140,16,274,18,12,13,11,209,7
141,11,252,8,14,9,10,250,6
142,10,227,21,9,12,11,260,10
143,34,232,11,10,8,11,243,11
144,65,192,23,13,14,11,234,8
145,84,194,17,11,13,12,221,8
146,109,180,14,12,12,14,210,9
147,146,158,9,13,15,12,197,10
148,112,215,8,14,7,13,179,12
149,131,217,8,10,14,6,160,14
150,119,236,7,11,14,7,157,9
151,125,221,15,14,14,10,147,14
152,106,250,9,14,9,11,147,14
153,91,273,16,12,10,12,132,14
154,85,281,17,13,11,9,130,14
155,77,294,21,10,12,17,117,12
156,79,293,10,10,10,12,123,23
157,74,292,11,9,13,12,110,39
158,70,281,13,9,14,9,105,59
159,67,273,18,12,12,11,108,59
160,61,259,12,9,14,5,118,82
161,60,237,12,10,13,11,139,78
162,57,237,9,10,9,13,150,75
163,67,211,23,6,10,18,155,70
164,50,232,10,11,15,12,145,85
165,57,211,13,17,10,10,152,90
166,52,234,5,12,18,5,144,90
167,32,196,15,10,28,11,161,107
168,50,208,9,15,40,10,138,90
169,38,193,10,16,49,14,150,90
170,42,195,11,18,57,13,145,79
171,36,203,8,10,55,13,142,93
172,36,217,13,13,54,7,122,98
173,30,185,7,18,80,9,114,117
174,40,201,11,24,66,9,115,94
175,38,197,7,22,55,12,106,123
176,26,211,13,14,72,17,81,126
177,35,174,17,21,50,6,99,158
178,22,177,24,15,50,9,89,174
179,31,155,17,13,56,7,93,188
180,36,156,15,20,40,12,96,185
181,30,152,11,16,43,17,73,218
182,25,137,11,12,32,14,75,254
183,28,119,17,14,45,17,94,226
184,20,169,12,10,35,14,77,223
185,22,172,10,17,44,17,77,201
186,29,194,10,17,37,15,70,188
187,21,203,15,18,27,19,73,184
188,28,206,15,15,29,14,67,186
189,25,260,12,15,21,12,56,159
190,19,239,11,8,32,13,55,183
191,23,268,11,12,30,13,58,145
192,20,283,21,8,32,12,52,132
193,16,291,7,9,25,14,59,139
194,14,269,14,36,29,14,53,131
195,24,256,10,61,29,8,51,121
196,13,222,14,86,30,13,45,137
197,16,237,13,126,35,8,37,88
198,18,232,11,116,25,8,42,108
199,18,197,17,170,17,11,45,85
200,14,194,12,194,25,9,38,74
201,20,185,14,193,26,15,34,73
202,18,174,11,203,18,12,29,95
203,13,149,14,234,21,9,34,86
204,15,153,11,251,19,11,25,75
205,25,134,16,272,13,8,33,59
206,25,129,10,277,15,15,33,56
207,12,129,17,280,15,12,30,65
208,10,123,17,291,8,9,34,68
209,13,114,10,305,18,6,29,65
210,15,116,16,315,19,5,26,48
211,18,92,17,333,16,12,26,46
212,14,95,16,328,19,13,32,43
213,12,81,8,349,18,8,25,59
214,16,84,13,349,18,15,27,38
215,10,68,7,384,11,14,29,37
216,14,76,14,352,13,16,33,42
217,8,74,16,365,14,13,26,44
218,15,73,9,385,12,12,23,31
219,8,80,15,386,12,12,12,35
220,6,65,11,377,15,5,30,51
221,10,70,17,387,21,12,15,28
222,13,48,13,406,19,14,16,31
223,15,61,19,413,10,9,9,24
224,15,45,13,410,21,10,16,30
225,16,47,9,402,22,12,24,28
226,10,58,15,403,15,14,17,28
227,16,51,13,412,15,12,11,30
228,12,50,10,444,4,7,9,24
229,17,34,12,423,14,17,18,25
230,9,34,16,428,11,12,16,34
231,42,43,13,403,18,7,12,22
232,68,34,12,381,16,13,17,19
233,63,33,9,400,12,13,12,18
234,112,26,18,348,13,14,11,18
235,149,36,15,309,8,8,16,19
236,151,27,17,307,11,7,16,24
237,180,32,13,274,10,12,9,30
238,199,26,12,267,18,8,9,21
239,220,32,8,241,13,12,13,21
240,234,27,7,237,14,7,15,19
241,226,27,9,236,13,12,17,20
242,274,21,12,199,10,9,9,26
243,269,20,11,211,14,8,13,14
244,274,26,16,190,15,13,13,13
245,297,14,6,192,12,11,13,15
246,310,25,13,147,12,9,16,28
247,329,16,12,150,18,14,8,13
248,338,23,9,147,15,14,6,8
249,317,18,14,154,18,7,12,20
250,348,26,11,131,9,10,12,13
251,329,28,11,136,9,9,18,20
252,342,33,10,130,11,7,12,15
253,345,41,9,105,18,17,13,12
254,315,59,17,113,10,14,12,20
255,296,79,10,105,13,11,15,31
256,291,97,8,104,9,14,10,27
257,251,137,13,95,14,15,13,22
258,250,150,12,99,10,13,10,16
259,238,174,16,79,11,8,10,24
260,209,195,13,80,9,17,17,20
261,209,225,10,58,9,10,11,28
262,191,222,7,90,8,13,11,18
263,216,183,9,67,13,5,46,21
264,148,196,18,62,22,16,65,33
265,153,201,13,55,12,12,99,15
266,158,170,15,56,16,11,117,17
267,146,170,6,67,11,9,133,18
268,148,160,13,48,14,10,148,19
269,133,147,10,58,16,7,175,14
270,118,155,10,47,21,10,182,17
271,132,129,14,43,15,11,193,23
272,115,128,8,42,14,13,225,15
273,101,119,14,49,12,16,229,20
274,102,111,12,40,13,10,256,16
275,91,107,15,35,14,13,269,16
276,88,93,13,34,15,9,285,23
277,81,91,14,25,8,15,311,15
278,71,96,12,36,19,10,301,15
279,70,88,10,26,8,15,326,17
280,74,77,13,37,18,7,320,14
281,67,65,9,29,13,10,352,15
282,73,75,14,22,12,13,335,16
283,58,53,18,21,18,9,369,14
284,55,69,13,18,13,12,355,25
285,69,63,16,23,11,12,348,18
286,54,50,13,16,14,9,389,15
287,53,52,12,24,8,14,383,14
288,55,55,8,19,11,11,384,17
289,45,57,16,26,22,15,365,14
290,56,45,11,22,14,13,385,14
291,49,53,15,18,12,9,387,17
292,44,47,14,23,9,7,400,16
293,32,37,13,26,11,12,416,13
294,40,49,29,17,8,14,384,19
295,40,33,61,14,15,11,375,11
296,26,41,77,16,14,14,341,31
297,40,39,58,13,12,14,336,48
298,27,40,55,13,18,14,295,98
299,20,30,54,14,19,14,301,108
300,23,34,62,16,7,13,268,137
301,24,38,39,23,11,11,272,142
302,22,23,44,20,11,13,252,175
303,33,25,42,19,8,12,225,196
304,30,23,39,15,15,12,228,198
305,29,24,40,18,8,16,235,190
306,17,28,40,19,10,10,207,229
307,14,21,40,14,14,14,211,232
308,16,18,36,10,15,16,217,232
309,21,20,33,14,13,11,194,254
310,24,17,28,21,11,12,185,262
311,21,31,22,12,13,12,193,256
312,26,18,26,13,11,17,165,284
313,22,29,32,17,17,11,148,284
314,18,25,29,9,8,17,141,313
315,22,27,17,14,11,10,172,287
316,15,21,24,9,15,10,195,271
317,17,15,19,6,9,12,204,278
318,15,15,29,14,9,14,239,225
319,12,14,22,11,8,9,254,230
320,16,17,21,17,7,13,237,232
321,22,16,23,13,8,13,234,231
322,15,13,21,16,6,19,273,197
323,15,13,20,12,8,8,289,195
324,9,19,31,9,18,18,299,157
325,18,15,20,16,13,12,307,159
326,10,11,21,7,16,14,328,153
327,13,18,21,18,19,15,321,135
328,10,17,26,11,8,14,351,123
329,7,18,17,15,9,12,358,124
330,14,12,15,6,10,9,385,109
331,12,20,16,16,7,13,367,109
332,11,14,26,9,12,7,354,127
333,18,13,20,12,17,12,365,103
334,14,10,20,12,12,17,386,89
335,14,16,17,12,10,9,401,81
336,12,14,17,39,12,13,365,88
337,16,20,17,64,9,12,350,72
338,8,12,17,89,10,14,330,80
339,9,16,11,116,12,9,304,83
340,15,16,20,129,9,17,276,78
341,13,14,17,138,8,9,296,65
342,8,16,11,147,6,13,301,58
343,9,17,14,124,17,15,304,60
344,13,14,17,128,8,22,303,55
345,5,10,12,127,8,9,339,50
346,11,9,16,111,16,15,332,50
347,14,13,18,96,19,12,337,51
348,16,18,19,106,12,16,332,41
349,12,16,14,110,19,14,338,37
350,16,20,14,113,5,15,318,59
351,26,20,13,86,19,17,321,58
352,11,7,14,86,12,10,327,93
353,15,13,10,82,21,7,295,117
354,20,17,9,74,15,10,274,141
355,26,22,11,65,17,13,272,134
356,17,13,8,70,10,13,242,187
357,22,8,7,61,18,12,239,193
358,22,12,15,50,7,13,226,215
359,20,11,16,46,12,7,210,238
360,24,13,10,60,7,9,200,237
361,16,12,7,54,12,10,183,266
362,20,22,9,36,14,6,180,273
363,11,16,10,39,16,11,168,289
