//Tao=1 R=1 instance=1
n=25;
r=[0,16,9,26,4,19,5,12,22,10,2,15,8,4,18,13,5,3,6,4,9,25,14,7,12,18];
p=[0,5,16,11,14,20,7,3,17,8,13,5,3,4,17,7,9,14,17,16,9,5,14,2,7,14];
d=[278,270,252,265,251,272,244,259,266,259,246,254,259,239,267,268,241,249,252,244,251,278,267,255,251,248];
db=[279,271,254,267,253,274,245,260,268,260,248,255,260,240,269,269,242,251,254,246,252,279,269,256,252,250];
e=[0,12,13,18,9,16,4,3,8,17,9,20,13,8,19,19,18,6,7,16,15,11,20,11,20,11];
w=[0,12.0,6.5,9.0,4.5,8.0,4.0,3.0,4.0,17.0,4.5,20.0,13.0,8.0,9.5,19.0,18.0,3.0,3.5,8.0,15.0,11.0,10.0,11.0,20.0,5.5];
Omega=[2,3,2,1,3,2,2,1,6,1,9,4,2,7,4,1,1,1,8,2,5,3,4,6,4];
s=[[0,6,2,9,4,2,6,4,10,3,4,2,6,6,10,6,9,5,4,10,8,4,8,7,10,5],
[0,0,7,4,3,8,10,7,7,4,2,7,7,6,6,9,3,6,9,7,9,3,4,6,2,9],
[0,5,0,4,7,2,10,4,6,8,2,3,8,3,9,9,2,9,7,10,2,2,8,4,5,10],
[0,6,3,0,8,5,5,8,4,6,7,9,4,9,10,3,3,3,2,7,7,6,3,3,9,6],
[0,3,8,6,0,4,5,4,2,3,5,5,2,6,8,2,3,5,4,2,4,5,7,4,7,9],
[0,8,6,4,5,0,4,2,8,5,10,4,3,7,5,2,3,2,7,4,7,8,9,3,4,7],
[0,7,6,8,4,7,0,4,3,5,5,8,8,5,5,3,10,5,6,3,9,6,10,4,10,8],
[0,7,9,3,5,10,4,0,4,7,3,8,10,8,5,3,4,8,3,7,5,5,5,2,2,2],
[0,9,9,10,4,2,6,10,0,2,6,3,5,2,8,7,10,2,4,2,8,2,6,9,4,6],
[0,3,6,4,10,8,5,8,6,0,10,3,10,7,6,2,7,8,9,8,3,3,8,10,9,4],
[0,9,4,2,8,9,4,8,6,10,0,3,4,9,10,6,9,4,7,6,6,6,8,3,7,4],
[0,10,3,2,4,10,3,7,9,2,5,0,3,6,5,8,5,7,3,4,7,5,6,8,8,10],
[0,4,9,8,7,10,5,6,9,8,4,9,0,7,5,3,4,3,8,6,8,10,5,2,6,3],
[0,8,10,9,8,3,6,9,9,10,9,6,7,0,10,4,3,5,5,8,4,2,4,7,3,6],
[0,5,10,8,9,6,4,5,10,7,10,3,7,7,0,4,6,2,6,9,4,5,2,8,10,4],
[0,4,7,8,10,9,8,6,3,8,5,8,6,4,8,0,4,4,8,4,10,6,6,2,9,7],
[0,3,2,10,7,7,5,3,10,4,2,10,4,9,3,4,0,4,5,4,7,3,3,2,5,10],
[0,7,2,6,2,10,5,8,2,6,3,3,3,9,6,9,2,0,2,5,2,6,5,3,9,3],
[0,6,3,9,3,10,9,6,4,2,7,9,3,10,2,4,7,3,0,7,7,9,10,9,4,10],
[0,9,2,5,9,10,9,5,2,5,3,3,3,5,7,8,10,5,7,0,3,3,6,4,5,3],
[0,4,8,10,5,2,8,8,8,5,4,9,8,6,8,6,9,8,6,8,0,3,10,6,9,3],
[0,3,3,2,7,5,9,2,10,4,6,9,6,7,10,6,2,5,10,9,9,0,2,6,2,7],
[0,5,7,10,9,4,6,2,7,9,5,6,3,9,7,8,7,2,2,9,5,7,0,7,10,3],
[0,6,9,7,4,3,6,7,3,6,4,6,8,2,8,8,5,5,5,3,3,2,2,0,2,2],
[0,9,7,5,6,3,7,7,6,9,6,10,3,3,9,10,3,6,6,9,8,4,4,5,0,7],
[0,3,5,7,4,9,2,7,7,9,4,2,9,10,6,3,6,9,3,10,4,10,9,5,2,0]
];
m=5;
b=[0,420,900,1200,1320];
EC=[0.0422,0.075,0.1327,0.075,0.0422];
h=9;
g=[0,180,360,720,840,1020,1080,1260,1380];
q=[0.725,0.7,0.693,0.682,0.669,0.682,0.693,0.7,0.725];
Tax=0.02673155;
