//Tao=5 R=9 instance=1
n=15;
r=[0,68,58,38,9,21,82,48,11,95,83,24,17,99,48,84];
p=[0,16,19,19,4,3,9,11,17,11,13,20,19,4,18,18];
d=[247,201,179,178,107,148,111,146,62,174,232,166,76,247,172,198];
db=[251,216,197,196,111,151,120,156,78,184,244,184,94,251,189,215];
e=[0,2,3,10,16,5,4,19,11,12,20,18,13,3,5,3];
w=[0,0.13333,0.16667,0.55556,4.0,1.6667,0.44444,1.9,0.6875,1.2,1.6667,1.0,0.72222,0.75,0.29412,0.17647];
Omega=[1,1,5,5,2,1,9,1,6,4,7,2,1,2,1];
s=[[0,8,3,9,3,9,2,4,9,4,8,9,3,3,8,8],
[0,0,2,6,3,3,5,10,7,9,8,3,10,5,5,10],
[0,4,0,4,7,2,3,7,8,9,5,9,2,2,8,8],
[0,5,3,0,5,3,2,9,10,2,10,4,6,2,5,9],
[0,6,7,5,0,9,8,2,9,8,5,6,8,10,6,5],
[0,2,4,7,8,0,4,8,10,10,3,10,10,10,10,9],
[0,5,10,5,2,9,0,2,2,8,10,6,4,9,3,8],
[0,8,9,2,8,3,6,0,10,3,4,3,4,5,8,8],
[0,7,9,5,3,8,7,6,0,2,10,5,2,3,5,6],
[0,3,7,9,3,7,7,10,10,0,10,5,8,9,7,9],
[0,7,9,7,4,8,6,3,5,10,0,2,3,9,9,4],
[0,9,9,7,2,7,2,6,10,4,9,0,4,9,2,8],
[0,7,3,10,6,4,8,8,7,10,6,2,0,4,9,6],
[0,6,9,5,8,4,4,8,2,5,2,8,2,0,4,3],
[0,2,3,2,10,9,8,7,9,9,3,2,8,9,0,6],
[0,5,10,9,10,6,5,2,6,3,10,2,3,3,10,0]
];
m=5;
b=[0,420,900,1200,1320];
EC=[0.0422,0.075,0.1327,0.075,0.0422];
h=9;
g=[0,180,360,720,840,1020,1080,1260,1380];
q=[0.725,0.7,0.693,0.682,0.669,0.682,0.693,0.7,0.725];
Tax=0.02673155;
