iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,62,67,72,73,74,65,65,82
2,72,73,80,64,66,69,71,65
3,68,61,77,94,68,60,60,72
4,64,59,102,109,47,56,62,61
5,55,63,68,140,60,63,54,57
6,45,49,78,168,63,57,50,50
7,60,68,76,137,35,53,87,44
8,57,47,76,133,46,51,106,44
9,50,44,72,128,47,52,120,47
10,53,51,66,115,44,45,139,47
11,45,40,55,128,47,46,154,45
12,40,41,59,114,37,48,186,35
13,37,41,58,102,28,38,206,50
14,43,45,59,105,32,27,205,44
15,40,35,80,95,32,36,215,27
16,37,32,111,76,43,33,185,43
17,34,41,123,79,32,34,182,35
18,25,34,149,84,23,29,182,34
19,25,43,172,64,35,30,160,31
20,29,32,180,73,24,32,161,29
21,32,27,193,78,23,28,142,37
22,24,21,235,62,33,24,136,25
23,27,30,230,60,24,27,135,27
24,29,29,257,54,24,24,114,29
25,29,18,260,61,25,18,125,24
26,37,28,263,52,35,24,94,27
27,25,27,296,46,26,16,105,19
28,24,21,296,49,26,23,103,18
29,23,27,287,45,25,23,96,34
30,23,21,324,38,21,25,94,14
31,31,24,321,44,19,23,83,15
32,17,17,335,50,16,29,84,12
33,23,20,331,45,22,24,80,15
34,22,19,335,44,16,22,79,23
35,20,16,357,49,19,16,65,18
36,19,20,367,35,24,20,51,24
37,24,18,364,34,26,19,53,22
38,16,15,396,32,21,13,53,14
39,15,16,379,35,19,21,60,15
40,19,9,378,38,19,16,59,22
41,18,19,394,23,17,19,55,15
42,17,14,398,35,18,11,53,14
43,13,16,403,31,10,14,52,21
44,22,15,408,23,11,16,47,18
45,17,15,410,24,12,10,56,16
46,14,14,430,21,16,12,40,13
47,13,22,415,20,11,8,49,22
48,14,21,425,26,15,18,32,9
49,14,17,413,26,9,26,37,18
50,17,11,441,19,14,16,30,12
51,10,12,445,13,18,12,36,14
52,10,20,435,20,13,9,37,16
53,14,17,428,21,13,11,41,15
54,12,14,440,20,21,12,33,8
55,14,16,433,17,22,16,26,16
56,19,16,427,26,13,16,30,13
57,14,15,431,18,17,22,31,12
58,18,13,445,19,15,15,28,7
59,13,19,454,14,12,14,20,14
60,12,10,461,19,14,8,27,9
61,19,12,431,14,7,7,56,14
62,16,18,374,17,19,8,98,10
63,14,5,382,16,20,12,97,14
64,19,11,342,19,15,10,122,22
65,17,10,334,27,11,12,141,8
66,11,16,323,56,14,12,120,8
67,14,11,297,64,11,17,137,9
68,14,10,285,50,14,11,166,10
69,6,10,254,55,16,15,194,10
70,9,11,247,44,13,11,202,23
71,12,12,259,40,11,15,202,9
72,16,14,204,49,16,10,238,13
73,16,12,195,37,12,15,259,14
74,7,10,203,29,14,18,259,20
75,18,13,175,38,11,13,272,20
76,10,13,177,38,17,9,284,12
77,7,17,170,38,14,16,287,11
78,8,10,165,31,7,14,309,16
79,16,13,147,35,11,13,314,11
80,18,12,148,35,15,9,309,14
81,12,17,139,37,11,12,316,16
82,8,13,125,30,13,17,337,17
83,10,9,118,22,14,8,367,12
84,11,8,111,34,5,17,357,17
85,7,13,118,31,10,13,357,11
86,15,15,91,32,9,15,371,12
87,13,7,86,27,13,13,387,14
88,14,17,91,18,15,19,373,13
89,9,15,87,30,12,8,381,18
