iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,100,100,100,100,100,100,100,100,100
1,117,92,96,90,89,110,97,101,108
2,102,133,94,93,91,101,88,103,95
3,93,156,93,74,86,93,98,112,95
4,88,172,82,113,91,86,107,87,74
5,84,188,91,77,98,99,87,92,84
6,98,205,90,84,81,85,79,94,84
7,82,226,84,89,86,82,81,86,84
8,79,263,83,82,74,86,73,82,78
9,83,273,78,79,74,65,91,82,75
10,82,288,58,75,65,82,108,68,74
11,68,295,62,75,63,55,139,60,83
12,61,295,69,65,76,78,128,61,67
13,61,308,76,60,54,71,136,61,73
14,68,330,68,64,76,54,118,62,60
15,61,330,53,56,65,64,134,70,67
16,58,380,68,52,60,64,96,76,46
17,57,374,70,61,47,59,108,65,59
18,48,410,57,62,60,61,95,56,51
19,55,386,60,66,58,47,95,74,59
20,54,418,55,48,70,66,89,46,54
21,52,439,44,61,56,46,98,46,58
22,52,453,47,53,47,44,90,57,57
23,47,441,54,48,57,54,92,54,53
24,52,478,54,54,52,46,65,55,44
25,42,472,54,58,41,49,81,46,57
26,41,476,35,61,45,49,86,60,47
27,53,511,40,51,46,48,59,56,36
28,37,459,50,49,41,39,84,85,56
29,47,446,46,46,41,46,77,107,44
30,36,436,34,43,52,39,69,146,45
31,35,448,31,30,48,31,62,170,45
32,36,392,45,42,47,37,59,202,40
33,51,377,38,42,45,36,69,208,34
34,37,370,33,42,29,37,57,251,44
35,35,352,45,38,38,35,62,261,34
36,38,310,44,46,30,40,50,302,40
37,42,332,34,43,39,38,57,286,29
38,34,293,43,46,38,29,53,328,36
39,42,280,30,42,44,33,54,338,37
40,38,268,22,42,38,29,52,373,38
41,33,286,27,32,31,32,55,368,36
42,38,263,33,37,22,25,53,388,41
43,46,239,30,37,33,36,40,410,29
44,38,242,32,37,32,40,33,414,32
45,34,245,21,30,29,31,52,421,37
46,34,203,19,32,40,28,43,464,37
47,31,202,31,31,38,30,38,476,23
48,32,170,43,38,34,40,41,479,23
49,33,182,27,38,41,22,43,485,29
50,39,181,23,20,27,28,49,510,23
