iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,100
1,83,103,113,96,94,105,99,107
2,72,223,88,82,92,85,80,78
3,70,277,65,77,83,71,79,78
4,68,322,70,71,75,51,61,82
5,145,293,42,67,70,67,62,54
6,270,208,47,46,72,43,53,61
7,287,163,57,55,61,66,55,56
8,234,125,42,46,55,64,55,179
9,201,97,43,55,152,46,71,135
10,168,104,150,49,130,43,43,113
11,101,92,235,49,128,44,58,93
12,121,69,298,53,87,46,36,90
13,89,81,334,44,83,40,45,84
14,87,67,387,36,88,43,42,50
15,73,57,389,50,79,44,43,65
16,63,52,440,50,54,50,40,51
17,49,65,437,45,79,38,38,49
18,53,54,459,57,60,30,30,57
19,53,66,457,65,42,39,27,51
20,50,50,495,46,45,32,32,50
21,59,47,473,62,48,36,38,37
22,71,36,470,35,62,37,46,43
23,42,34,505,37,60,48,31,43
24,36,32,510,44,50,49,31,48
25,47,43,516,42,52,37,33,30
26,53,48,500,30,43,54,29,43
27,36,53,511,32,44,47,35,42
28,48,47,514,34,30,46,38,43
29,40,44,516,44,39,48,39,30
30,46,48,500,53,39,37,33,44
31,48,42,506,47,45,35,31,46
32,37,56,488,53,56,35,42,33
33,35,51,492,33,45,58,40,46
34,48,57,472,49,57,48,26,43
35,40,55,502,39,35,41,40,48
36,45,56,474,49,47,39,36,54
37,46,44,488,44,42,44,34,58
38,56,62,511,26,27,43,40,35
39,58,49,499,47,32,27,41,47
40,45,53,521,36,53,22,27,43
41,38,147,403,46,40,28,52,46
42,33,153,408,41,36,35,40,54
43,44,90,454,43,40,27,38,64
44,52,88,468,46,30,36,24,56
45,48,83,370,44,26,37,140,52
46,51,187,281,40,40,42,117,42
47,47,237,241,28,39,43,112,53
48,40,210,284,41,47,33,101,44
49,59,270,233,33,49,40,84,32
50,43,320,196,47,48,33,82,31
51,43,353,162,57,50,38,58,39
52,37,404,119,55,46,35,77,27
53,30,321,97,49,45,41,173,44
54,47,347,102,28,48,48,139,41
55,32,284,76,46,54,48,206,54
56,36,218,61,52,49,50,296,38
57,31,176,65,37,41,39,352,59
58,24,160,63,54,47,50,354,48
59,46,94,78,36,48,36,407,55
60,33,94,56,45,52,48,423,49
61,47,86,60,49,45,48,419,46
62,35,70,52,39,44,41,476,43
63,43,46,56,35,51,41,477,51
64,43,53,58,47,45,37,466,51
65,55,51,45,31,57,33,477,51
66,56,60,55,31,46,35,466,51
67,47,49,45,37,46,34,489,53
68,47,62,57,31,59,48,436,60
69,45,45,41,28,47,46,498,50
70,44,51,52,32,49,36,497,39
71,43,62,50,32,68,34,459,52
72,42,49,60,37,43,52,377,140
73,50,51,45,42,43,59,296,214
74,51,35,49,46,37,42,250,290
75,55,42,41,34,52,38,307,231
76,31,35,58,45,54,35,351,191
77,40,31,58,40,42,40,398,151
78,29,45,51,49,44,46,406,130
79,49,42,55,39,46,27,435,107
80,152,29,46,38,51,33,348,103
81,123,57,45,44,40,41,355,95
82,97,38,53,38,39,33,295,207
83,87,56,53,49,50,45,211,249
84,66,60,34,40,43,39,315,203
85,52,63,48,34,51,48,342,162
86,56,60,40,134,58,30,265,157
87,175,39,48,124,45,48,216,105
88,154,50,40,101,166,33,185,71
89,120,43,44,93,247,52,144,57
90,91,54,41,84,176,54,123,177
91,71,47,46,75,151,45,87,278
92,74,46,59,56,120,54,78,313
93,73,46,170,66,101,44,72,228
94,55,43,138,59,91,33,66,315
95,57,40,113,161,86,29,58,256
96,50,38,201,137,79,34,58,203
97,44,52,163,110,164,35,67,165
98,57,57,241,92,144,24,54,131
99,46,48,296,81,121,43,51,114
100,46,53,252,79,98,25,52,195
101,57,34,189,79,182,38,58,163
102,57,27,175,64,286,36,53,102
103,38,43,133,59,214,36,48,229
104,32,48,220,53,182,49,34,182
105,54,41,170,47,159,48,42,239
106,37,57,135,54,197,48,45,227
107,59,51,96,52,179,48,47,268
108,45,43,92,50,160,51,47,312
109,53,46,101,57,125,45,41,332
110,42,41,70,50,107,50,38,402
111,42,35,72,44,93,45,47,422
112,31,34,51,45,72,51,35,481
113,48,48,72,51,57,43,41,440
114,155,53,75,49,56,38,36,338
115,239,37,55,51,60,41,36,281
116,210,34,51,38,62,42,43,320
117,170,46,36,44,58,39,40,367
118,136,41,60,38,47,24,35,419
119,106,44,58,65,51,49,46,381
120,77,30,46,47,50,45,33,472
121,75,26,55,42,50,53,41,458
122,72,32,52,60,55,36,33,460
123,80,40,49,59,37,42,40,453
124,66,33,49,43,41,44,43,481
125,49,62,48,49,42,39,47,464
126,46,45,31,46,46,44,38,504
127,38,36,52,61,51,44,38,480
128,42,41,53,46,52,32,41,493
129,56,31,155,43,66,50,23,376
