iteration,exchangeRandom,inversion,swap,scramble,randomShuffle,addRandomly,shift
0,70,70,70,70,70,70,70
1,68,68,66,71,75,73,69
2,74,66,73,65,66,84,62
3,71,63,76,71,46,102,61
4,55,64,61,54,61,129,66
5,55,62,61,70,55,139,48
6,51,50,60,52,47,170,60
7,52,55,52,36,58,195,42
8,59,48,49,44,51,189,50
9,52,34,44,50,49,207,54
10,45,36,49,53,48,216,43
11,46,43,44,42,48,226,41
12,55,28,36,39,39,252,41
13,44,42,37,38,58,235,36
14,41,37,35,32,33,270,42
15,44,34,39,27,27,274,45
16,42,37,44,33,26,272,36
17,37,44,20,28,35,291,35
18,34,26,36,42,31,288,33
19,34,31,34,31,21,313,26
20,30,32,35,27,37,305,24
21,32,27,46,20,31,298,36
22,26,34,33,25,31,312,29
23,26,36,28,23,27,332,18
24,26,25,24,27,25,341,22
25,21,27,24,35,28,332,23
26,22,21,28,20,21,351,27
27,16,28,20,34,21,349,22
28,21,26,30,33,26,326,28
29,20,21,25,20,25,357,22
30,24,18,19,26,23,370,10
31,21,18,25,17,31,354,24
32,20,21,28,23,17,366,15
33,20,19,22,15,17,380,17
34,26,12,13,21,27,374,17
35,12,19,16,16,19,394,14
36,32,29,14,22,21,359,13
37,22,16,20,18,16,385,13
38,22,18,15,18,14,388,15
39,15,23,15,14,18,382,23
40,17,12,16,19,6,407,13
41,18,19,10,17,16,397,13
42,19,23,18,22,20,367,21
43,11,18,15,16,19,393,18
44,11,17,20,20,16,392,14
45,12,15,12,15,14,412,10
46,9,18,19,18,13,402,11
47,13,17,15,19,17,397,12
48,14,15,13,16,19,398,15
49,14,15,12,27,11,393,18
50,17,18,14,20,15,392,14
51,17,10,12,16,12,404,19
52,15,16,13,9,17,405,15
53,17,17,12,8,10,417,9
54,11,12,12,13,5,411,26
55,11,13,16,16,26,394,14
56,12,10,8,11,12,425,12
57,15,12,14,20,11,406,12
58,10,13,18,11,18,405,15
59,15,14,11,14,13,414,9
60,13,11,11,11,8,421,15
61,16,15,11,11,16,407,14
62,14,10,14,19,11,416,6
63,10,14,10,13,18,409,16
64,14,10,16,9,12,417,12
65,12,14,16,12,13,416,7
66,11,21,13,12,10,408,15
67,13,11,11,9,12,427,7
68,9,10,12,8,9,428,14
69,14,18,11,13,16,404,14
70,17,9,8,16,16,411,13
71,13,15,9,13,13,420,7
72,16,10,9,9,10,418,18
73,18,17,12,17,7,405,14
74,11,14,14,11,11,411,18
75,13,12,9,11,12,414,19
76,16,6,14,11,15,401,27
77,12,8,10,8,11,424,17
78,14,8,17,13,11,420,7
79,12,12,15,7,11,416,17
80,10,11,9,16,12,417,15
81,16,10,11,15,20,404,14
82,16,15,14,11,8,413,13
83,13,13,16,12,10,413,13
84,14,12,16,8,10,417,13
85,16,14,18,12,8,413,9
86,11,10,31,12,7,407,12
87,21,11,65,14,12,358,9
88,10,8,75,14,9,365,9
89,10,16,103,14,10,325,12
90,12,17,128,12,6,305,10
91,10,9,137,10,10,299,15
92,9,14,161,11,9,273,13
93,15,11,180,15,11,242,16
94,10,18,180,15,12,241,14
95,11,13,215,11,13,216,11
96,19,16,220,8,9,209,9
97,9,9,240,12,17,188,15
98,12,11,219,17,12,199,20
99,11,10,242,11,10,185,21
100,14,18,252,15,7,173,11
101,12,8,269,12,13,166,10
102,19,14,277,8,13,142,17
103,8,12,293,12,9,139,17
104,10,4,314,11,8,134,9
105,10,10,304,9,12,131,14
106,12,10,310,12,12,125,9
107,15,7,302,16,6,129,15
108,11,10,336,11,10,101,11
109,16,16,322,7,7,112,10
110,10,10,331,12,7,109,11
111,11,10,336,6,12,104,11
112,12,13,340,8,14,96,7
113,14,7,355,9,11,80,14
114,11,11,354,14,11,77,12
115,7,11,365,12,9,76,10
116,12,14,366,6,11,66,15
117,8,14,367,11,8,69,13
118,14,8,378,10,9,59,12
119,8,9,371,11,12,63,16
120,15,14,385,13,11,41,11
121,6,13,398,9,11,41,12
122,11,13,364,12,12,69,9
123,13,16,384,9,13,48,7
124,12,10,385,27,7,42,7
125,11,12,376,12,14,55,10
126,10,14,389,14,7,46,10
127,13,11,404,8,15,28,11
128,14,11,391,17,7,38,12
129,17,6,398,18,12,31,8
130,10,10,409,13,11,31,6
131,12,11,375,15,7,61,9
132,12,13,361,8,9,74,13
133,15,19,325,10,10,97,14
134,11,11,309,11,17,117,14
135,14,11,288,16,16,133,12
136,16,17,263,11,19,155,9
137,5,9,271,11,18,170,6
138,15,11,229,12,19,192,12
139,15,6,240,11,13,193,12
140,12,12,201,15,13,226,11
141,12,11,201,13,6,232,15
142,42,10,198,13,11,209,7
143,33,13,195,11,8,217,13
144,28,7,186,8,14,236,11
145,38,9,160,20,7,248,8
146,28,14,159,12,17,255,5
147,25,9,154,13,9,271,9
148,27,15,131,10,13,286,8
149,33,8,127,7,9,297,9
150,34,16,122,14,7,285,12
151,20,8,122,18,15,292,15
152,20,14,101,7,12,320,16
153,18,8,119,12,8,313,12
154,23,4,93,12,9,335,14
155,13,12,86,11,11,340,17
156,23,14,88,12,11,331,11
157,18,15,76,12,12,343,14
158,20,12,77,6,18,348,9
159,19,9,56,16,7,371,12
160,23,9,69,13,10,357,9
161,12,16,78,11,16,343,14
162,19,10,61,13,11,362,14
163,23,5,45,15,14,378,10
164,18,15,68,9,9,362,9
165,19,17,52,15,18,355,14
166,11,9,54,9,17,382,8
167,16,17,52,12,14,366,13
168,11,14,62,12,19,361,11
169,17,14,48,12,14,371,14
170,12,11,48,6,17,385,11
171,14,12,42,11,6,399,6
172,17,13,41,8,8,395,8
173,17,13,43,9,14,384,10
174,12,13,30,11,10,403,11
175,12,14,31,12,16,393,12
176,14,17,31,16,14,384,14
177,11,13,25,12,11,405,13
178,5,12,35,10,6,416,6
179,5,15,30,14,12,403,11
180,15,15,34,20,6,386,14
181,15,14,17,18,15,399,12
182,12,16,22,18,8,400,14
183,11,9,26,12,15,402,15
184,8,15,28,15,12,404,8
185,12,22,26,12,10,397,11
186,8,9,25,16,5,411,16
187,16,13,27,14,12,400,8
