iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,50,50,50,50,50,50,50,50,50
1,47,36,51,64,44,46,61,58,43
2,43,60,32,57,44,44,80,50,40
3,43,82,59,37,47,50,46,38,48
4,54,74,32,48,55,34,62,42,49
5,51,88,34,51,34,54,60,42,36
6,46,107,45,45,43,46,54,30,34
7,43,122,39,39,33,47,55,29,43
8,47,118,44,44,30,42,40,39,46
9,43,124,35,35,36,43,46,41,47
10,33,138,33,48,26,47,39,37,49
11,37,123,34,39,36,47,36,35,63
12,62,110,34,45,17,75,26,12,69
13,73,95,36,15,27,73,22,25,84
14,75,73,57,20,26,66,45,17,71
15,74,72,50,29,20,69,42,14,80
16,73,90,43,26,17,74,36,26,65
17,60,78,50,14,33,76,28,23,88
18,55,80,35,22,52,84,22,36,64
19,65,104,37,20,51,64,25,25,59
20,64,85,37,23,45,45,49,29,73
21,78,107,34,21,35,51,41,17,66
22,72,80,44,23,44,27,53,22,85
23,89,76,58,13,41,23,59,30,61
24,87,53,59,19,51,36,79,23,43
25,63,63,73,15,46,49,74,26,41
26,58,64,83,22,43,38,85,20,37
27,45,55,92,23,43,33,102,17,40
28,63,37,99,14,32,38,105,33,29
29,41,43,101,12,28,41,97,63,24
30,41,28,74,23,47,44,109,61,23
31,25,30,61,26,61,55,82,70,40
32,30,25,90,12,60,37,80,60,56
33,21,19,71,13,60,67,70,66,63
34,24,44,66,11,65,53,58,56,73
35,23,51,61,14,62,47,68,52,72
36,21,70,61,15,37,61,73,45,67
37,23,59,79,17,61,53,72,24,62
38,19,48,64,13,53,60,79,27,87
39,19,73,51,23,47,79,57,24,77
40,15,54,52,20,57,74,50,30,98
41,19,71,45,21,43,90,37,23,101
42,21,63,43,21,44,96,39,27,96
43,22,78,33,20,41,105,40,28,83
44,44,62,39,24,30,92,36,26,97
45,48,66,28,27,34,98,36,13,100
46,49,58,25,36,34,78,35,19,116
47,66,51,25,44,37,96,24,17,90
48,72,62,26,31,26,96,25,24,88
49,69,62,22,39,26,83,42,22,85
50,77,44,13,37,23,69,57,29,101
51,86,57,17,47,22,63,47,20,91
52,85,44,19,68,33,43,73,14,71
53,88,33,13,68,27,56,74,29,62
54,62,28,16,92,23,49,96,21,63
55,58,25,22,87,25,59,81,24,69
56,42,54,27,99,21,43,67,20,77
57,59,47,18,87,25,37,59,17,101
