iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,72,62,51,74,88,66,69,78
2,63,64,90,66,74,75,58,70
3,97,74,83,63,68,56,63,56
4,104,66,98,46,66,54,50,76
5,127,64,87,58,59,57,39,69
6,143,68,68,45,65,51,58,62
7,171,47,82,51,37,55,57,60
8,177,49,80,51,45,43,56,59
9,206,44,56,63,48,43,56,44
10,225,43,66,52,44,49,43,38
11,239,46,81,44,39,27,39,45
12,224,35,66,35,61,53,53,33
13,275,37,55,43,35,49,32,34
14,270,31,61,38,48,43,39,30
15,289,52,42,26,50,37,32,32
16,299,29,51,27,37,43,43,31
17,324,40,44,31,28,31,31,31
18,281,39,27,40,36,31,40,66
19,307,29,33,32,38,35,35,51
20,308,35,40,30,28,27,31,61
21,342,25,30,32,33,20,29,49
22,348,24,29,25,22,24,36,52
23,323,37,36,19,27,37,33,48
24,325,23,35,23,22,32,57,43
25,338,23,27,22,30,17,63,40
26,313,18,32,19,26,29,46,77
27,330,31,30,22,20,27,45,55
28,307,53,33,14,24,30,39,60
29,323,51,25,22,24,23,42,50
30,322,51,24,13,21,26,45,58
31,297,58,34,12,23,17,39,80
32,315,39,22,20,22,23,44,75
33,325,42,28,17,14,16,37,81
34,350,38,15,20,22,17,37,61
35,357,41,20,16,23,16,28,59
36,378,26,23,14,16,11,37,55
37,337,30,32,16,16,17,31,81
38,295,32,22,14,16,22,27,132
39,306,31,29,13,13,11,28,129
40,263,38,65,23,17,16,24,114
41,270,28,69,9,18,16,21,129
42,249,22,69,13,12,18,27,150
43,238,31,55,17,18,13,24,164
44,205,22,64,21,14,20,27,187
45,215,25,54,12,9,12,27,206
46,217,21,49,16,22,12,15,208
47,180,19,52,12,18,12,23,244
48,177,23,55,17,14,15,16,243
49,169,24,45,13,13,7,13,276
50,150,20,41,18,19,14,23,275
51,155,13,37,16,6,10,17,306
52,148,18,47,16,18,14,26,273
53,143,21,51,15,11,19,16,284
54,108,23,38,17,18,10,22,324
55,116,21,45,14,18,18,17,311
56,99,16,40,14,15,15,18,343
57,98,17,43,11,13,15,15,348
