iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,72,62,72,64,97,58,72,63
2,68,93,64,84,73,60,60,58
3,59,84,66,64,72,71,80,64
4,65,93,58,86,55,60,82,61
5,55,82,70,102,56,53,87,55
6,53,89,43,132,52,48,79,64
7,58,81,44,165,46,46,68,52
8,35,66,67,169,54,53,66,50
9,44,64,42,211,50,42,69,38
10,29,61,38,215,45,47,81,44
11,41,70,57,224,27,43,57,41
12,44,53,43,236,45,45,53,41
13,30,54,59,252,38,43,44,40
14,42,37,38,276,37,34,55,41
15,31,56,41,279,30,47,46,30
16,33,53,24,295,40,43,39,33
17,35,37,32,295,39,33,50,39
18,30,36,32,325,36,31,36,34
19,29,35,39,321,35,32,50,19
20,30,39,27,329,31,22,46,36
21,32,33,31,343,25,19,46,31
22,37,42,31,339,26,23,41,21
23,25,40,39,340,21,29,36,30
24,28,30,18,359,32,23,44,26
25,32,21,30,381,17,21,42,16
26,24,37,18,378,21,23,31,28
27,14,37,32,391,14,21,27,24
28,33,24,24,369,24,31,31,24
29,20,14,19,422,21,21,22,21
30,31,31,18,396,21,14,26,23
31,20,25,24,381,14,24,52,20
32,34,24,17,349,22,20,69,25
33,22,27,22,325,16,16,113,19
34,21,25,10,336,15,18,122,13
35,22,28,22,287,22,26,135,18
36,20,17,17,268,23,21,181,13
37,16,26,20,267,22,15,180,14
38,15,25,22,239,22,27,190,20
39,19,13,14,230,15,22,232,15
40,12,24,19,214,8,19,244,20
41,18,20,12,228,9,13,240,20
42,12,28,16,196,15,14,265,14
43,16,17,16,196,17,15,268,15
44,13,22,16,200,16,11,269,13
45,10,28,14,187,15,22,266,18
46,15,19,14,181,22,14,279,16
47,12,23,10,170,16,11,298,20
48,14,13,12,168,23,16,295,19
49,11,16,22,150,16,12,319,14
50,16,19,10,147,13,13,332,10
51,11,15,14,134,15,11,339,21
52,12,12,15,104,14,16,371,16
53,11,55,10,121,12,11,327,13
54,12,66,18,109,13,17,313,12
55,10,78,14,107,8,14,317,12
56,10,119,10,118,9,14,262,18
57,10,149,21,82,22,11,244,21
58,11,121,16,91,51,10,245,15
59,14,114,12,86,77,17,226,14
60,16,131,10,87,63,19,212,22
61,18,164,11,79,64,9,203,12
62,11,161,13,71,63,21,205,15
63,14,184,16,75,51,15,192,13
64,14,196,16,77,52,12,182,11
65,14,234,8,68,51,13,160,12
66,6,244,6,71,39,14,157,23
67,12,251,19,61,45,17,143,12
68,18,264,17,60,30,14,140,17
69,12,298,14,47,40,11,125,13
70,10,291,9,48,47,16,123,16
71,13,297,21,67,25,14,118,5
72,12,316,15,40,46,10,111,10
73,10,316,10,40,41,11,116,16
74,13,313,12,58,34,17,98,15
75,7,327,17,49,38,19,87,16
