iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly
0,70,70,70,70,70,70,70,70
1,63,69,69,54,74,69,88,74
2,84,73,58,72,65,72,71,65
3,84,97,61,63,66,61,62,66
4,92,108,65,65,50,55,67,58
5,100,113,53,67,50,73,38,66
6,142,109,47,58,48,47,55,54
7,134,98,55,62,50,53,51,57
8,176,77,53,45,44,59,57,49
9,190,92,44,42,52,48,47,45
10,208,83,37,41,48,44,43,56
11,199,80,35,41,37,45,44,79
12,173,93,46,46,38,40,48,76
13,208,71,47,44,33,36,31,90
14,167,69,42,40,33,39,42,128
15,203,72,32,31,33,31,34,124
16,205,67,34,27,41,48,31,107
17,229,49,41,33,27,32,42,107
18,260,52,36,25,29,27,33,98
19,266,45,29,40,27,36,28,89
20,278,57,39,28,28,30,28,72
21,267,58,31,35,27,37,27,78
22,335,43,16,28,26,20,23,69
23,298,42,32,23,34,29,25,77
24,310,41,26,26,27,29,27,74
25,319,40,22,24,32,22,32,69
26,338,42,19,26,28,22,21,64
27,353,37,31,24,27,25,20,43
28,343,38,26,18,27,24,23,61
29,387,32,22,25,14,16,18,46
30,376,26,18,18,19,24,26,53
31,382,31,21,17,13,28,14,54
32,388,28,17,16,16,21,24,50
33,400,28,15,20,16,19,16,46
34,395,37,23,12,21,15,14,43
35,375,37,24,23,19,19,17,46
36,379,19,15,17,18,19,17,76
37,373,27,10,18,19,16,12,85
38,325,23,24,21,15,11,15,126
39,303,16,20,17,14,19,18,153
40,300,25,17,14,21,18,16,149
41,299,19,28,15,14,20,14,151
42,274,11,59,13,13,14,18,158
43,272,20,51,17,19,19,19,143
44,251,18,75,18,14,19,18,147
45,231,15,124,18,16,11,23,122
46,244,17,138,14,11,13,10,113
47,223,14,155,18,15,15,10,110
48,219,20,150,14,9,15,17,116
49,195,25,178,18,15,13,11,105
50,195,12,206,14,11,16,13,93
51,176,15,223,16,15,15,12,88
52,169,20,235,14,11,20,11,80
53,140,14,255,19,22,12,12,86
54,145,14,256,12,10,10,15,98
55,134,21,273,12,9,10,14,87
56,130,22,283,15,15,12,18,65
57,119,14,282,16,37,12,9,71
58,111,12,270,10,73,16,6,62
59,119,11,242,13,95,15,10,55
60,103,13,233,14,110,11,13,63
61,108,18,234,10,112,14,17,47
62,102,17,228,15,122,9,12,55
63,84,15,229,13,153,13,11,42
64,82,17,214,12,169,13,10,43
65,85,11,185,13,186,15,16,49
66,69,16,180,22,199,11,17,46
67,72,16,160,33,219,13,12,35
68,58,11,164,53,206,18,11,39
69,66,15,157,72,181,17,12,40
70,55,11,154,122,155,13,13,37
71,55,14,139,113,170,22,11,36
72,74,15,108,113,183,19,8,40
73,56,11,124,154,161,11,10,33
74,47,11,127,175,149,10,10,31
75,52,7,108,173,158,22,12,28
76,35,6,129,206,136,11,10,27
77,43,18,116,201,137,11,11,23
78,34,13,167,172,123,13,10,28
79,31,11,203,151,107,13,16,28
80,51,12,195,165,96,11,10,20
81,36,15,171,134,144,15,15,30
82,31,11,171,147,151,13,8,28
83,32,15,154,141,164,11,10,33
84,39,11,129,132,199,11,17,22
85,39,9,167,116,179,22,9,19
86,41,10,160,118,195,11,9,16
87,30,8,132,105,247,11,10,17
88,35,14,136,100,233,10,10,22
89,31,18,125,81,257,17,14,17
90,15,11,122,89,279,13,8,23
91,21,11,114,86,277,11,22,18
92,31,15,102,86,268,9,24,25
93,24,13,141,73,257,14,27,11
94,20,30,112,73,276,9,25,15
95,22,63,124,59,242,13,18,19
96,22,92,85,60,252,11,24,14
97,26,104,92,54,229,17,19,19
98,23,132,76,61,209,20,22,17
99,22,173,79,64,168,14,20,20
100,32,180,72,55,170,9,23,19
101,14,172,72,51,191,19,21,20
102,20,195,76,42,168,18,22,19
103,17,239,65,43,163,11,10,12
104,18,228,56,48,163,13,20,14
105,20,217,72,32,180,5,21,13
106,18,220,63,49,173,4,19,14
107,16,261,55,28,158,16,15,11
108,15,241,62,39,165,10,15,13
109,15,214,57,27,202,10,18,17
110,19,205,39,46,222,8,11,10
111,13,222,39,26,216,15,14,15
112,11,200,55,26,235,4,17,12
113,13,167,53,26,255,14,15,17
114,11,166,38,35,271,8,15,16
115,14,155,36,34,293,6,12,10
116,11,156,46,36,268,11,24,8
117,12,137,36,29,308,10,17,11
118,8,144,33,32,299,14,17,13
119,13,128,30,21,331,12,6,19
120,12,148,35,29,302,7,12,15
121,11,123,42,18,334,10,10,12
122,19,103,36,16,347,11,8,20
123,11,99,39,25,347,12,14,13
124,17,104,26,24,352,13,13,11
125,13,82,29,30,362,16,12,16
126,17,95,29,20,365,6,14,14
127,11,75,22,15,391,15,20,11
128,23,85,26,13,384,12,9,8
129,8,80,20,16,410,5,6,15
130,19,62,17,16,413,16,8,9
131,8,62,31,16,404,10,12,17
132,14,59,32,12,402,16,14,11
133,16,67,17,11,403,16,18,12
134,14,46,23,15,423,13,12,14
135,17,68,21,18,400,14,12,10
136,12,58,24,12,402,14,22,16
137,8,54,17,18,429,10,11,13
138,13,44,24,20,432,8,7,12
139,16,32,12,24,440,14,14,8
140,12,45,17,25,396,13,39,13
141,18,36,20,18,369,17,71,11
142,12,37,6,16,382,13,76,18
143,13,41,26,12,338,9,108,13
144,16,31,20,13,314,7,142,17
145,16,31,21,10,310,5,153,14
146,18,35,18,13,278,8,178,12
147,14,36,13,12,261,10,202,12
148,8,33,17,14,262,14,198,14
149,11,28,13,11,251,10,226,10
150,7,22,21,13,223,9,252,13
151,13,37,13,13,205,14,253,12
152,16,27,28,11,195,14,254,15
153,16,57,15,11,190,13,245,13
154,8,79,11,18,179,5,249,11
155,11,106,12,10,176,10,217,18
156,15,113,9,20,156,10,225,12
157,5,138,15,11,174,11,190,16
158,8,166,13,15,148,8,197,5
159,12,183,13,5,148,13,178,8
160,11,189,21,17,118,19,172,13
161,12,220,20,13,125,12,146,12
162,9,218,17,12,119,17,147,21
163,9,242,19,13,102,12,140,23
164,12,240,17,18,106,14,132,21
165,14,262,19,12,97,9,138,9
166,9,254,11,13,88,6,164,15
167,12,256,11,12,87,4,167,11
168,14,234,8,11,106,12,158,17
169,5,223,11,14,139,8,147,13
170,7,205,13,7,150,6,151,21
171,6,213,22,13,152,18,119,17
172,8,176,18,19,168,11,143,17
173,26,185,14,8,177,13,118,19
174,19,194,14,16,187,11,107,12
175,11,211,12,18,168,12,116,12
176,12,182,10,12,202,15,112,15
177,15,186,9,11,222,10,99,8
178,9,201,14,10,208,15,86,17
179,8,215,11,8,218,9,80,11
180,13,235,14,10,184,9,87,8
181,13,223,15,17,185,6,83,18
182,15,262,11,19,168,13,58,14
183,5,273,12,11,167,8,58,26
184,9,248,14,16,188,12,61,12
185,5,237,8,12,218,11,62,7
186,12,228,16,13,211,10,57,13
187,9,212,15,9,232,7,64,12
188,8,218,13,16,230,7,54,14
189,6,198,12,15,253,7,53,16
190,4,186,11,16,271,11,48,13
191,11,184,7,15,289,10,35,9
192,7,148,17,10,296,12,58,12
193,6,165,9,12,295,9,53,11
194,20,146,7,8,306,15,47,11
195,16,118,11,9,319,14,55,18
196,13,121,11,13,328,5,57,12
197,11,123,7,12,285,14,96,12
198,11,125,15,7,274,10,107,11
199,15,118,10,7,259,10,126,15
200,14,112,14,11,241,12,146,10
201,9,88,20,10,214,15,192,12
202,13,101,12,11,220,8,182,13
203,6,90,21,11,228,13,183,8
204,13,96,13,15,193,9,204,17
205,5,77,10,14,196,9,240,9
206,11,83,9,17,172,7,250,11
207,13,59,15,11,167,9,271,15
208,9,65,14,18,153,6,283,12
209,4,68,16,18,141,7,297,9
210,12,46,14,8,144,9,309,18
211,13,57,12,15,128,14,296,25
212,16,49,17,13,121,15,306,23
213,12,55,10,4,117,11,333,18
214,17,61,8,10,125,9,313,17
215,15,53,11,8,94,11,344,24
216,20,44,13,14,103,17,320,29
217,12,38,10,13,76,15,384,12
218,15,45,12,8,94,11,342,33
219,9,49,9,9,91,10,352,31
220,8,36,9,7,107,9,354,30
221,12,33,9,12,109,8,346,31
222,10,43,16,8,95,20,330,38
