iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,100,100,100,100,100,100,100,100,100
1,103,114,89,96,103,108,87,87,113
2,120,92,92,88,105,115,134,78,76
3,85,100,86,91,80,89,187,89,93
4,93,86,94,103,101,85,187,71,80
5,82,92,89,95,81,65,234,75,87
6,108,80,80,75,78,68,246,74,91
7,132,76,68,72,85,79,243,74,71
8,184,68,61,52,67,72,239,86,71
9,165,78,71,66,76,67,247,76,54
10,160,54,67,78,68,72,244,51,106
11,136,42,65,51,57,70,283,47,149
12,162,48,51,52,82,82,248,37,138
13,143,74,71,67,82,101,202,28,132
14,152,91,51,59,65,118,192,29,143
15,139,108,54,45,84,118,185,22,145
16,130,107,88,80,85,95,181,25,109
17,148,138,114,50,93,73,177,20,87
18,149,130,121,69,98,60,187,14,72
19,182,144,127,80,107,44,137,18,61
20,192,167,149,61,85,37,136,15,58
21,209,169,159,53,71,53,119,14,53
22,202,192,189,54,75,30,105,10,43
23,240,206,173,42,61,31,89,16,42
24,235,207,157,38,48,45,117,13,40
25,230,228,181,37,44,29,110,10,31
26,257,205,220,32,44,17,90,6,29
27,244,233,205,24,33,26,104,9,22
28,258,253,219,21,24,22,78,4,21
29,255,238,207,26,26,13,109,5,21
30,247,241,176,13,28,14,114,2,65
31,252,280,152,15,23,19,108,6,45
32,275,266,153,22,16,11,77,6,74
33,268,276,114,17,17,14,68,7,119
34,276,269,115,15,16,6,65,6,132
35,296,261,100,10,18,12,49,6,148
36,282,273,86,16,12,11,50,13,157
37,248,273,87,16,11,5,48,6,206
38,263,305,70,7,9,9,46,8,183
39,272,264,67,16,9,11,35,9,217
40,300,264,65,15,12,9,26,10,199
41,286,291,41,4,11,10,31,8,218
42,285,269,92,13,11,5,28,8,189
43,269,276,104,7,10,4,25,8,197
44,291,246,138,7,9,4,20,7,178
45,285,244,134,8,5,6,15,8,195
46,234,253,152,3,10,7,20,8,213
47,280,286,114,11,15,7,17,4,166
48,258,286,123,10,4,10,17,8,184
49,240,272,148,11,5,8,13,4,199
50,265,235,150,6,8,9,18,10,199
