iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,100
1,113,108,111,114,113,104,117,20
2,57,72,77,319,108,78,83,6
3,36,50,32,196,88,39,355,4
4,28,33,21,109,317,42,249,1
5,19,35,23,207,353,37,126,0
6,22,23,17,123,490,41,84,0
7,25,22,15,52,587,47,52,0
8,21,20,19,20,628,60,32,0
9,20,23,22,16,626,69,24,0
10,26,8,42,13,624,69,18,0
11,29,9,29,8,631,75,19,0
12,28,8,25,4,634,79,22,0
13,17,20,18,5,629,89,22,0
14,27,12,14,3,617,97,30,0
15,37,23,20,7,589,88,36,0
16,23,18,17,10,606,91,35,0
17,27,15,9,4,614,101,30,0
18,28,21,28,6,602,96,19,0
19,20,20,37,6,599,104,14,0
20,20,33,21,2,596,109,19,0
21,15,31,17,8,590,122,17,0
22,20,19,19,6,598,121,17,0
23,30,15,25,3,577,123,27,0
24,24,29,27,2,572,134,12,0
25,22,29,25,3,584,128,9,0
26,16,19,25,12,348,102,278,0
27,25,22,24,13,447,73,196,0
28,25,23,23,10,557,69,93,0
29,40,23,18,11,421,60,227,0
30,24,30,18,15,271,31,411,0
31,11,22,19,14,141,20,573,0
32,12,30,33,31,104,4,586,0
33,22,24,13,21,81,7,632,0
34,28,26,16,22,54,6,648,0
35,20,20,7,11,57,0,685,0
36,29,23,16,13,52,3,664,0
37,24,35,16,21,27,0,677,0
38,15,25,6,24,30,4,696,0
39,19,17,7,24,26,1,706,0
40,16,13,10,17,28,1,715,0
41,22,22,29,14,24,4,685,0
42,25,27,16,20,16,1,695,0
43,35,16,27,28,10,2,682,0
44,33,18,36,20,10,4,679,0
45,30,27,27,21,10,2,683,0
46,28,42,19,11,22,0,678,0
47,22,31,35,14,23,4,671,0
48,14,33,45,9,19,4,676,0
49,23,29,50,18,8,6,666,0
50,18,18,24,22,19,2,697,0
51,17,27,27,15,15,2,697,0
52,25,27,16,28,15,7,682,0
53,23,34,32,32,14,3,662,0
54,15,28,28,39,13,4,673,0
55,20,25,31,17,18,4,685,0
56,18,17,14,22,32,2,695,0
57,22,19,15,17,26,4,697,0
58,29,17,17,22,34,0,681,0
59,20,30,25,15,28,5,677,0
60,16,10,28,26,32,5,683,0
61,11,17,44,17,24,5,682,0
62,12,14,34,12,15,3,710,0
63,19,24,38,23,14,2,680,0
64,15,33,37,11,14,5,685,0
65,4,25,34,26,9,2,700,0
66,6,17,24,38,11,3,701,0
67,23,31,37,28,26,2,653,0
68,20,13,28,31,28,4,676,0
