iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,100
1,106,106,99,87,83,107,109,103
2,113,104,94,107,81,98,121,82
3,77,89,96,80,70,90,216,82
4,67,83,72,84,81,83,245,85
5,61,67,71,71,64,61,343,62
6,63,49,69,69,56,53,381,60
7,97,72,74,59,63,56,312,67
8,107,87,56,50,72,55,266,107
9,79,80,48,43,112,61,242,135
10,78,89,84,50,108,51,209,131
11,75,95,56,51,92,45,238,148
12,87,101,82,42,97,44,201,146
13,96,108,96,37,71,38,200,154
14,116,106,102,42,66,43,178,147
15,120,87,129,51,60,39,168,146
16,130,80,107,42,57,52,172,160
17,130,68,131,54,48,37,161,171
18,154,50,148,50,51,36,139,172
19,132,67,144,41,70,43,146,157
20,158,50,139,34,62,25,160,172
21,154,50,143,35,62,40,163,153
22,163,45,115,45,38,47,168,179
23,174,50,99,30,40,65,174,168
24,158,54,88,28,53,96,174,149
25,181,56,69,42,33,128,165,126
26,151,41,51,45,40,162,194,116
27,169,44,54,45,43,148,199,98
28,193,47,43,49,37,148,185,98
29,186,48,44,50,42,154,198,78
30,194,38,41,41,48,177,189,72
31,203,50,42,47,40,201,158,59
32,212,41,37,52,48,198,154,58
33,297,37,49,44,45,155,112,61
34,373,35,42,40,53,151,72,34
35,317,116,46,43,40,116,74,48
36,294,155,48,50,38,90,79,46
37,361,126,37,52,41,83,49,51
38,333,110,50,45,45,113,56,48
39,309,72,41,44,48,185,61,40
40,302,91,55,44,40,179,43,46
41,276,85,63,41,32,178,42,83
42,250,74,46,45,36,185,49,115
43,256,75,34,42,40,183,37,133
44,249,61,40,47,44,168,43,148
45,237,54,50,47,35,179,37,161
46,265,40,41,46,35,194,31,148
47,248,38,33,44,40,225,42,130
48,260,35,38,48,27,262,34,96
49,319,43,46,48,36,181,44,83
50,350,42,50,49,38,150,48,73
51,325,41,46,50,43,124,28,143
52,295,56,56,40,30,120,30,173
53,312,44,57,44,44,99,31,169
54,346,46,45,44,53,84,34,148
55,306,52,44,32,48,113,24,181
56,312,41,48,43,50,138,41,127
57,305,49,29,39,56,171,34,117
58,285,46,42,44,49,214,34,86
59,273,54,50,57,42,194,44,86
60,268,51,55,41,43,243,46,53
61,285,50,44,47,22,236,41,75
62,281,48,35,42,38,255,38,63
63,266,51,34,60,50,245,45,49
64,283,36,31,46,47,257,56,44
65,269,56,41,28,36,269,53,48
66,258,41,29,42,43,294,53,40
67,296,30,32,43,42,257,62,38
68,268,32,37,50,38,283,53,39
69,247,36,59,39,46,250,41,82
70,272,32,48,45,42,241,46,74
71,242,35,40,45,33,312,45,48
72,279,38,42,49,43,272,28,49
73,272,31,45,48,48,275,34,47
74,263,26,43,51,55,265,37,60
75,259,47,50,43,47,280,37,37
76,271,34,52,41,49,280,35,38
77,274,53,42,36,43,260,44,48
78,285,35,42,37,44,277,41,39
79,268,46,41,32,50,283,46,34
80,268,38,37,52,54,274,35,42
81,281,32,50,38,56,273,36,34
82,275,53,43,39,42,265,54,29
83,262,78,38,40,28,263,46,45
84,217,131,42,43,39,237,41,50
85,202,134,40,37,39,225,41,82
86,209,147,51,39,39,179,44,92
87,198,134,41,41,50,177,41,118
88,186,142,46,46,43,170,47,120
89,174,145,42,35,42,181,43,138
90,181,135,42,35,45,192,44,126
91,228,89,60,35,41,167,42,138
92,197,103,50,39,50,190,32,139
93,225,79,44,34,38,185,49,146
94,207,64,48,44,37,190,52,158
95,201,52,35,41,57,182,51,181
96,200,64,42,41,50,192,31,180
97,207,54,41,43,39,193,35,188
98,214,46,36,37,40,195,50,182
99,179,45,36,41,35,207,48,209
100,192,43,48,55,39,190,46,187
101,222,29,41,54,41,156,44,213
102,237,31,52,51,44,112,44,229
103,239,37,37,63,51,118,31,224
104,250,43,51,46,42,90,38,240
105,255,28,48,49,42,88,43,247
106,232,49,43,43,41,67,86,239
107,248,44,34,59,34,57,106,218
108,234,41,33,44,32,59,124,233
109,245,50,29,47,34,53,118,224
110,218,42,50,54,82,50,80,224
111,210,42,39,69,83,51,83,223
112,212,38,41,90,106,55,56,202
113,193,42,37,109,106,60,66,187
114,181,31,52,111,130,41,60,194
115,162,35,51,139,137,39,53,184
116,168,40,64,143,139,32,50,164
117,152,41,87,120,143,49,47,161
118,117,28,115,130,162,44,46,158
119,111,42,111,131,148,56,37,164
120,141,32,123,158,146,33,52,115
121,118,56,134,163,120,41,46,122
122,143,35,128,155,167,46,33,93
123,134,38,135,169,156,60,32,76
124,151,55,127,162,158,45,48,54
125,133,56,141,172,147,46,35,70
126,157,49,147,181,139,36,31,60
127,169,44,133,159,156,49,36,54
128,193,49,111,154,161,37,40,55
129,163,54,88,193,173,48,30,51
130,178,47,89,179,170,43,34,60
131,202,46,66,152,200,47,30,57
132,182,47,58,189,201,35,43,45
133,184,56,55,171,201,39,39,55
134,176,44,69,177,210,44,37,43
135,174,41,53,177,203,62,38,52
136,168,38,65,171,179,104,33,42
137,183,45,53,169,159,89,51,51
138,166,33,58,187,173,95,44,44
139,177,35,50,149,207,100,43,39
140,156,36,50,187,152,131,42,46
141,187,48,51,167,117,143,45,42
142,167,43,53,179,121,148,43,46
143,196,34,39,199,105,150,42,35
144,184,42,38,190,74,186,53,33
145,197,43,43,188,72,190,31,36
146,196,41,36,203,61,178,44,41
147,204,40,35,200,73,183,33,32
148,179,40,39,198,82,176,42,44
149,182,40,43,171,112,171,42,39
150,163,39,46,178,119,170,39,46
151,169,39,63,165,119,155,45,45
152,175,40,42,172,118,164,45,44
153,161,45,49,157,134,168,47,39
154,158,39,46,157,146,161,34,59
155,157,39,48,170,152,143,42,49
156,159,25,54,170,156,150,59,27
157,165,32,35,150,126,155,94,43
158,156,40,51,131,160,135,90,37
159,174,42,51,148,156,115,85,29
160,179,44,34,157,183,78,81,44
161,195,44,40,103,204,80,93,41
162,198,49,57,95,169,76,127,29
163,183,39,54,95,173,67,156,33
164,190,35,37,78,161,93,161,45
165,176,33,31,82,172,119,146,41
166,182,38,37,61,160,121,167,34
167,165,30,43,54,181,91,194,42
168,177,55,44,60,176,85,162,41
169,188,25,44,47,177,87,192,40
170,175,38,51,41,186,69,208,32
171,189,35,49,42,209,59,174,43
172,185,35,47,39,184,71,200,39
173,194,28,51,39,193,48,205,42
174,184,31,50,48,194,51,202,40
175,206,36,43,47,200,52,180,36
176,202,43,38,38,192,55,186,46
177,220,40,34,34,207,47,174,44
178,191,46,47,28,187,47,219,35
179,189,57,39,44,189,45,201,36
180,177,44,60,38,193,33,197,58
181,189,41,50,32,198,46,183,61
182,158,34,47,44,187,42,226,62
183,168,42,49,27,218,44,208,44
184,175,43,50,46,214,38,193,41
185,162,43,38,38,215,35,221,48
186,207,38,38,50,177,45,210,35
187,208,46,46,51,179,33,181,56
188,182,33,37,43,219,53,180,53
189,202,32,41,40,185,57,193,50
190,193,47,43,38,211,42,188,38
191,216,45,46,39,221,38,151,44
192,193,40,42,51,191,38,205,40
193,187,46,47,44,188,34,207,47
194,202,37,47,44,196,32,208,34
195,182,33,48,55,209,42,188,43
196,190,36,38,46,200,40,189,61
197,178,34,45,51,215,31,203,43
198,198,43,37,44,187,50,189,52
199,190,42,38,31,218,40,194,47
200,220,26,46,55,218,35,142,58
201,202,46,34,47,202,39,195,35
202,195,46,53,51,204,34,173,44
203,175,61,38,38,220,48,174,46
