iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,100,100,100,100,100,100,100,100,100
1,118,104,98,101,100,91,102,92,94
2,111,128,86,111,97,80,95,105,87
3,81,132,91,86,97,94,80,122,117
4,103,131,81,87,86,89,80,167,76
5,83,126,91,100,122,86,80,148,64
6,116,115,76,81,151,58,88,147,68
7,123,111,65,80,139,73,65,173,71
8,98,83,71,76,151,66,77,211,67
9,108,104,79,81,126,64,72,211,55
10,85,76,128,61,149,49,58,234,60
11,78,53,77,49,175,100,46,267,55
12,60,91,63,44,183,124,37,251,47
13,56,127,72,50,180,135,21,213,46
14,41,138,48,32,178,134,37,229,63
15,34,141,46,26,195,130,24,220,84
16,28,174,31,13,198,156,18,210,72
17,30,182,20,20,180,151,11,240,66
18,39,189,26,21,171,177,15,208,54
19,18,195,21,10,133,208,17,256,42
20,16,182,29,16,119,229,13,246,50
21,24,196,18,13,136,207,48,220,38
22,14,195,17,13,150,186,85,221,19
23,19,207,11,10,139,203,64,220,27
24,12,237,11,8,123,199,66,218,26
25,10,232,16,16,89,164,63,285,25
26,12,196,10,15,102,174,49,319,23
27,9,220,12,8,87,191,45,311,17
28,7,231,10,13,79,204,52,283,21
29,10,236,14,11,72,210,35,295,17
30,2,206,8,17,81,240,30,293,23
31,9,217,7,7,61,248,21,310,20
32,9,198,15,3,42,284,24,310,15
33,13,187,13,6,36,274,27,332,12
34,7,192,12,9,50,302,25,288,15
35,7,158,11,7,39,328,26,304,20
36,12,142,11,11,35,323,14,340,12
37,12,132,4,11,40,339,22,326,14
38,15,138,7,5,31,328,20,343,13
39,10,113,10,8,26,354,10,352,17
40,11,116,10,8,18,373,17,298,49
41,11,92,11,9,18,402,20,264,73
42,9,85,14,9,23,410,26,234,90
43,8,72,12,11,29,388,12,253,115
44,6,58,10,10,20,370,9,293,124
45,1,51,11,9,21,328,20,283,176
46,9,48,5,8,12,304,20,312,182
47,6,50,11,7,14,308,12,295,197
48,8,35,5,9,18,297,18,289,221
49,8,30,5,12,21,279,15,294,236
50,8,38,13,10,11,296,9,250,265
51,15,39,11,8,11,279,12,255,270
52,5,36,8,12,14,309,9,220,287
53,11,35,7,10,13,306,11,209,298
54,6,28,7,9,13,291,18,227,301
55,6,18,13,8,14,326,16,215,284
56,8,20,4,3,19,330,5,251,260
57,9,29,5,7,11,305,14,273,247
58,8,21,10,8,14,344,5,252,238
59,10,21,5,4,7,353,10,242,248
60,11,21,7,11,8,344,11,226,261
61,6,23,14,4,15,370,12,166,290
62,9,16,7,4,13,360,11,202,278
63,6,21,9,13,18,391,13,179,250
64,8,20,18,8,19,425,6,169,227
65,10,13,10,12,12,426,8,172,237
66,9,21,11,5,15,467,7,162,203
67,10,16,11,5,17,491,19,138,193
68,9,14,16,8,15,460,24,126,228
69,10,50,14,11,11,438,8,126,232
70,11,89,13,11,15,441,12,98,210
71,14,99,9,13,11,452,16,116,170
72,8,120,9,13,8,429,5,87,221
73,19,109,7,3,15,445,17,61,224
74,12,110,7,7,13,475,18,82,176
75,8,91,9,11,14,455,14,125,173
76,14,84,10,10,12,448,10,144,168
77,14,80,13,14,13,424,14,182,146
78,16,85,9,11,23,385,11,199,161
79,5,68,14,12,13,410,14,227,137
80,9,59,14,14,13,405,7,254,125
81,15,66,8,10,11,384,10,282,114
82,12,59,12,16,8,416,15,271,91
83,17,58,11,9,10,403,11,290,91
84,17,42,9,12,16,406,11,311,76
85,12,48,9,14,11,424,8,302,72
86,10,34,6,12,14,401,12,339,72
87,10,39,13,11,13,439,5,309,61
88,10,29,6,7,9,421,10,348,60
89,7,23,10,16,12,411,11,347,63
90,12,36,12,17,8,422,10,329,54
91,20,28,16,9,7,460,13,290,57
92,12,36,8,10,16,504,10,253,51
93,7,35,13,10,11,516,10,250,48
94,12,29,14,12,11,471,16,294,41
95,10,25,11,9,14,499,11,273,48
96,7,21,16,8,18,502,12,280,36
97,10,27,7,7,15,517,14,262,41
98,9,30,7,10,14,477,14,286,53
99,11,22,16,11,12,467,10,313,38
100,6,16,14,20,14,500,17,285,28
101,10,18,15,2,11,485,13,324,22
102,8,25,11,11,13,477,13,318,24
103,9,16,10,16,11,454,11,350,23
104,9,19,13,14,17,495,16,287,30
105,10,27,12,7,16,506,19,282,21
106,16,17,19,8,14,523,17,261,25
107,17,17,17,10,12,531,15,260,21
108,11,19,10,8,16,540,15,261,20
109,9,13,15,12,16,568,11,231,25
110,11,14,15,15,16,569,11,225,24
111,10,20,19,7,15,573,21,209,26
112,12,9,18,16,17,593,12,200,23
113,13,24,11,21,17,570,14,212,18
114,12,15,18,10,21,597,15,179,33
115,10,15,17,14,14,630,10,171,19
116,15,16,9,16,17,588,13,175,51
117,7,19,16,16,21,604,20,143,54
118,8,17,15,14,17,612,17,143,57
119,12,20,13,17,18,633,16,115,56
120,16,12,20,13,21,652,8,109,49
121,11,13,15,17,24,622,15,122,61
122,17,19,26,16,21,628,7,118,48
123,13,21,18,21,11,652,15,102,47
124,15,19,13,20,8,654,21,115,35
125,14,19,26,15,16,641,15,101,53
126,7,21,17,16,15,657,26,97,44
127,15,14,24,25,16,672,13,80,41
128,14,21,23,21,11,674,14,82,40
129,10,14,21,10,12,694,23,79,37
130,8,15,13,22,15,688,19,80,40
131,17,19,21,18,16,677,13,79,40
132,11,12,18,13,15,710,13,74,34
133,9,21,17,13,18,688,14,84,36
134,18,21,19,15,18,698,26,55,30
135,19,13,21,25,20,681,17,69,35
136,13,24,15,22,17,713,15,54,27
137,12,17,19,20,16,701,19,65,31
138,16,23,10,20,20,719,7,49,36
139,15,10,11,10,14,734,21,59,26
140,18,13,19,18,20,705,20,66,21
141,15,18,16,14,19,722,19,50,27
142,14,15,22,17,26,716,26,36,28
143,14,9,7,13,18,740,26,47,26
144,16,17,14,16,23,749,16,28,21
145,10,10,15,12,14,758,13,40,28
146,16,17,13,20,18,729,19,43,25
147,13,11,17,23,16,740,20,40,20
148,13,18,19,17,21,749,19,33,11
149,19,18,23,16,17,736,24,28,19
150,17,16,17,27,12,733,28,31,19
151,16,24,21,15,15,732,21,37,19
152,15,14,16,20,18,740,22,30,25
153,13,21,24,16,15,736,22,32,21
154,10,23,21,18,22,735,23,25,23
155,18,17,15,21,16,741,15,37,20
156,16,16,28,18,18,725,25,33,21
157,15,14,24,13,19,751,14,25,25
158,12,16,15,16,20,737,35,30,19
159,12,18,18,17,19,753,21,29,13
160,20,16,20,19,20,731,15,36,23
161,13,19,19,13,22,735,19,36,24
162,17,17,25,12,14,749,22,33,11
163,16,18,13,14,11,758,21,33,16
164,14,14,19,13,24,744,15,33,24
165,21,8,18,19,12,737,22,32,31
166,18,9,28,22,25,725,24,23,26
167,13,29,16,12,24,741,17,17,31
168,23,17,25,28,25,721,15,29,17
169,13,13,28,15,17,753,18,29,14
170,24,15,15,16,12,757,16,28,17
171,13,14,19,19,17,753,16,24,25
172,14,16,20,25,52,702,23,30,18
173,17,15,15,23,54,716,18,17,25
174,19,11,29,12,98,663,15,24,29
175,16,16,21,11,121,658,16,25,16
176,19,8,18,17,133,635,20,26,24
177,21,8,21,12,163,613,15,19,28
178,12,20,24,20,202,562,14,20,26
179,12,22,18,13,180,587,20,20,28
180,17,15,24,11,179,583,21,26,24
181,25,14,26,15,159,600,18,20,23
182,24,16,17,24,138,610,24,30,17
183,13,16,13,21,195,588,22,17,15
184,10,14,18,23,225,550,13,27,20
185,21,16,19,15,215,556,27,12,19
186,19,12,24,17,195,577,19,19,18
187,29,19,14,16,189,568,21,20,24
188,15,23,21,15,183,575,25,16,27
189,13,20,14,17,168,606,19,20,23
190,19,13,35,11,152,615,13,13,29
191,20,15,21,16,128,650,13,14,23
192,17,19,26,18,127,611,34,24,24
193,15,18,27,25,146,612,18,21,18
194,11,12,18,20,155,617,23,24,20
195,18,29,21,11,121,648,17,11,24
196,16,17,49,21,126,614,19,19,19
197,17,26,55,16,103,627,20,18,18
198,18,22,55,17,92,627,23,19,27
199,19,29,40,24,83,656,20,9,20
200,13,12,36,20,119,642,18,19,21
201,15,11,50,19,90,654,15,18,28
202,21,16,51,24,65,668,16,13,26
203,11,20,35,15,107,652,16,22,22
204,18,11,37,20,78,672,25,17,22
205,15,18,42,20,80,669,19,14,23
206,16,22,47,12,74,666,21,22,20
207,14,12,30,12,65,712,19,14,22
208,15,14,46,16,64,686,24,11,24
209,17,19,38,13,63,688,26,16,20
210,15,12,19,23,74,696,19,20,22
211,13,18,33,13,66,691,17,21,28
212,10,9,34,16,63,707,27,15,19
213,21,15,37,15,62,698,16,18,18
214,13,12,26,17,63,719,14,16,20
215,20,14,37,20,49,712,21,14,13
216,19,20,24,21,46,727,14,15,14
217,21,19,26,9,41,732,16,19,17
218,21,19,33,17,47,720,17,15,11
219,17,16,29,15,39,733,16,14,21
220,17,19,26,20,45,713,21,24,15
221,19,20,20,18,38,722,24,20,19
222,16,14,29,13,34,726,22,28,18
223,23,22,21,17,32,734,24,9,18
224,13,14,21,10,36,748,19,17,22
225,28,18,27,15,30,730,17,18,17
226,14,22,34,36,29,710,15,21,19
227,18,14,31,17,37,713,24,25,21
228,26,18,25,14,38,722,26,17,14
229,16,19,31,22,34,716,23,19,20
230,17,19,28,19,29,717,24,19,28
231,24,20,34,11,27,732,13,19,20
232,15,17,19,12,24,753,21,18,21
233,14,20,16,13,36,744,19,21,17
234,21,17,25,6,30,745,16,15,25
235,17,20,20,17,40,730,21,18,17
236,18,18,25,18,25,751,11,19,15
237,18,18,22,15,28,752,14,12,21
238,16,15,32,17,28,735,14,22,21
239,21,16,17,11,22,759,20,16,18
240,18,14,22,23,30,726,18,29,20
241,16,13,26,16,22,747,27,15,18
242,18,15,24,28,27,666,78,23,21
243,11,20,29,17,27,668,81,23,24
244,22,26,20,13,18,669,90,27,15
245,18,18,20,19,23,675,88,20,19
246,16,26,20,13,22,685,83,19,16
247,14,15,22,20,22,693,84,10,20
248,18,28,22,16,20,651,84,48,13
249,12,21,12,14,33,611,88,94,15
250,12,19,25,22,21,579,70,135,17
251,19,14,21,16,18,573,74,141,24
252,21,13,20,20,10,549,69,178,20
253,13,15,18,23,18,531,60,206,16
254,10,17,17,11,7,556,58,209,15
255,20,15,12,14,13,513,48,253,12
256,16,18,13,18,18,527,39,230,21
257,17,13,9,12,12,541,32,244,20
258,18,11,11,17,14,519,40,253,17
259,14,12,15,14,10,554,44,223,14
260,16,16,11,15,24,527,34,248,9
261,14,15,17,12,17,525,36,251,13
262,18,13,15,13,22,540,35,232,12
263,16,6,12,19,16,556,30,227,18
264,16,8,19,19,8,525,28,265,12
265,18,13,16,16,21,512,34,253,17
266,19,10,12,9,17,518,26,271,18
267,9,13,14,9,23,513,29,277,13
268,18,9,12,8,12,479,41,310,11
269,13,12,12,14,20,441,24,348,16
270,16,10,16,15,11,407,29,382,14
271,18,13,10,19,16,376,31,405,12
272,15,16,15,16,12,389,30,397,10
273,15,19,10,19,17,352,16,435,17
274,20,15,18,12,13,351,11,444,16
275,23,11,14,12,16,334,28,449,13
276,9,18,22,16,16,271,24,506,18
277,14,19,19,8,18,306,25,476,15
278,15,12,14,15,23,271,22,512,16
279,20,10,15,10,14,274,17,518,22
280,15,13,15,14,18,240,25,547,13
281,22,18,9,13,16,246,26,537,13
282,9,19,10,20,13,197,20,599,13
283,17,18,18,22,12,198,17,583,15
284,25,13,10,20,12,211,20,569,20
285,11,13,11,23,13,188,20,608,13
286,17,18,13,14,12,208,22,584,12
287,17,18,12,17,20,222,21,558,15
288,11,18,9,11,8,241,17,572,13
289,16,16,12,15,12,239,16,556,18
290,6,15,15,11,22,202,16,597,16
291,15,15,16,13,18,211,12,587,13
292,12,15,19,25,18,208,12,579,12
293,9,14,21,10,20,236,13,566,11
294,12,12,14,20,12,243,15,555,17
295,13,9,12,13,17,247,17,553,19
296,10,10,15,18,7,275,17,528,20
297,11,15,13,13,13,288,13,523,11
298,4,4,12,9,16,309,12,523,11
299,9,14,14,12,14,281,14,475,67
