iteration,exchange,exchangeRandom,inversion,swap,scramble,add,addRandomly,shift
0,100,100,100,100,100,100,100,100
1,100,90,109,110,88,86,110,107
2,82,68,99,102,73,111,179,86
3,156,67,72,87,89,95,165,69
4,160,64,76,74,168,61,143,54
5,151,59,58,57,263,63,108,41
6,101,70,61,57,308,60,83,60
7,86,61,58,50,359,54,76,56
8,70,55,50,59,390,55,69,52
9,83,42,49,41,404,49,80,52
10,54,51,156,47,337,40,63,52
11,66,43,134,52,369,42,48,46
12,58,40,118,43,414,43,46,38
13,48,49,111,42,407,46,55,42
14,48,50,81,31,471,44,51,24
15,45,41,80,44,454,45,52,39
16,53,43,68,37,472,39,54,34
17,150,48,67,41,369,41,39,45
18,145,53,56,40,379,37,53,37
19,111,26,50,40,433,50,44,46
20,86,47,34,38,460,45,51,39
21,62,43,70,39,441,43,42,60
22,61,48,55,26,478,51,41,40
23,39,42,72,33,482,48,39,45
24,57,34,52,51,495,39,39,33
25,48,39,41,52,496,50,34,40
26,47,35,59,37,503,30,33,56
27,47,46,55,46,459,45,57,45
28,45,52,53,50,483,30,36,51
29,41,36,70,38,489,45,41,40
30,53,36,153,42,394,44,45,33
31,48,27,119,59,419,51,42,35
32,38,43,214,52,332,48,41,32
33,31,38,211,48,358,43,42,29
34,53,42,163,42,381,42,43,34
35,43,32,128,37,420,39,48,53
36,47,36,106,45,427,44,53,42
37,49,42,81,42,462,51,34,39
38,34,49,175,34,376,40,44,48
39,43,57,246,46,276,52,53,27
40,42,50,202,37,346,39,52,32
41,42,57,146,48,378,43,46,40
42,46,36,141,36,304,34,56,147
43,34,58,208,36,255,39,42,128
44,41,50,165,27,207,39,49,222
45,45,56,164,36,254,42,46,157
46,51,44,116,50,297,42,45,155
47,43,53,209,37,245,48,48,117
48,44,38,275,42,215,49,54,83
49,49,42,224,35,170,41,50,189
50,42,51,175,43,133,35,153,168
51,52,32,239,57,110,42,133,135
52,55,41,327,46,104,41,83,103
53,54,50,313,43,82,49,106,103
54,43,39,378,58,85,39,90,68
55,54,56,397,46,65,31,69,82
56,57,35,443,54,62,28,72,49
57,51,41,428,35,58,46,76,65
58,39,39,449,48,60,31,66,68
59,48,47,467,45,47,42,57,47
60,42,46,491,38,39,27,66,51
61,52,52,481,37,40,23,63,52
62,48,54,479,34,42,35,52,56
63,44,47,495,32,49,40,45,48
64,42,50,493,37,42,42,47,47
65,51,47,474,37,49,43,39,60
66,45,43,502,34,43,43,56,34
67,50,47,375,25,39,38,55,171
68,47,44,391,37,39,38,56,148
69,45,40,442,35,43,32,56,107
70,37,46,440,43,45,35,67,87
71,30,41,489,46,43,43,32,76
72,45,30,491,31,47,45,48,63
73,33,50,485,51,33,30,50,68
74,41,38,488,69,44,34,31,55
75,48,28,471,46,50,34,66,57
76,40,37,504,30,51,31,41,66
77,52,41,494,23,50,30,44,66
78,42,38,495,54,49,32,38,52
79,54,44,496,36,40,36,37,57
80,39,37,522,39,42,38,40,43
81,48,32,498,52,47,41,40,42
82,47,50,507,31,48,42,38,37
83,48,42,489,41,56,53,28,43
84,47,31,371,34,47,183,48,39
85,42,49,328,47,33,221,39,41
86,45,40,337,40,52,207,30,49
87,148,36,292,33,56,152,35,48
88,109,47,336,36,53,126,41,52
89,100,43,282,136,39,107,40,53
90,95,35,304,130,49,93,59,35
91,94,37,347,103,51,87,40,41
92,78,45,392,86,51,65,34,49
93,57,53,406,77,50,67,44,46
94,42,55,444,61,53,50,53,42
95,49,53,457,62,50,44,56,29
96,32,61,488,43,42,40,53,41
97,29,68,450,52,48,64,43,46
98,31,60,470,46,43,49,51,50
99,41,39,468,56,46,45,57,48
100,46,39,488,47,42,34,52,52
101,42,34,499,44,34,61,34,52
102,29,50,500,43,33,45,61,39
103,39,37,523,46,36,44,36,39
104,43,47,389,36,127,42,68,48
105,34,38,310,37,227,47,51,56
106,38,37,333,47,208,55,36,46
107,47,47,348,41,177,51,39,50
108,29,39,414,36,127,58,43,54
109,29,32,441,43,114,49,34,58
110,36,36,451,37,101,50,30,59
111,52,46,463,32,76,39,26,66
112,39,30,482,64,50,48,35,52
113,46,32,481,43,77,44,29,48
114,51,40,472,53,59,44,38,43
115,38,40,516,37,60,33,36,40
116,52,35,459,47,65,48,50,44
117,34,43,504,29,55,47,45,43
118,38,32,526,42,35,48,51,28
119,30,36,508,42,33,50,58,43
120,44,30,415,57,34,48,42,130
121,164,42,288,53,52,46,45,110
122,114,40,367,36,41,50,63,89
123,104,40,397,44,53,42,39,81
124,87,39,402,62,54,40,47,69
125,77,43,430,46,51,60,33,60
126,73,32,469,47,44,43,43,49
127,76,42,466,37,56,44,36,43
128,47,50,480,38,49,46,44,46
129,62,41,487,45,49,34,41,41
130,34,57,490,42,49,41,54,33
131,48,51,374,47,41,35,157,47
132,33,45,382,49,48,50,134,59
133,40,38,449,40,44,41,110,38
134,42,36,449,31,46,50,94,52
135,45,39,463,42,41,48,74,48
136,46,45,445,47,43,39,84,51
137,44,28,492,26,51,42,61,56
138,51,43,465,33,54,45,55,54
139,41,35,489,47,56,34,53,45
140,39,48,470,44,43,34,59,63
141,47,46,493,40,45,37,43,49
142,26,36,411,44,140,44,46,53
143,37,50,299,45,214,44,55,56
144,45,41,371,39,196,29,40,39
145,45,47,271,48,254,51,50,34
146,41,50,330,38,204,42,51,44
147,36,49,377,42,169,38,47,42
148,41,51,418,28,134,44,40,44
149,63,37,413,41,126,34,34,52
150,50,42,433,35,102,46,36,56
151,43,41,444,29,101,34,47,61
152,50,147,358,26,97,36,44,42
153,57,229,296,33,62,41,44,38
154,59,190,329,28,59,36,54,45
155,48,282,269,27,38,39,54,43
156,39,329,215,46,36,50,43,42
157,62,256,247,41,55,44,51,44
158,63,199,321,52,47,37,49,32
159,47,158,382,33,39,43,57,41
160,53,132,407,45,28,52,40,43
161,55,111,436,44,28,48,40,38
162,62,188,340,43,50,47,38,32
163,57,169,384,40,39,37,34,40
164,57,115,413,41,44,44,42,44
165,50,109,432,45,47,31,45,41
166,54,89,436,49,44,39,42,47
167,31,84,478,50,40,32,47,38
168,36,73,488,57,44,36,41,25
169,36,66,489,38,37,51,50,33
170,35,64,471,43,52,50,41,44
171,46,63,489,42,35,41,37,47
172,56,56,504,41,36,31,40,36
173,44,51,498,50,54,28,36,39
174,49,72,485,45,40,43,35,31
175,49,55,399,154,31,49,30,33
176,45,55,402,141,37,46,39,35
177,38,59,437,101,49,43,33,40
178,31,61,429,106,40,50,37,46
179,27,48,499,78,46,35,41,26
180,42,53,473,70,47,47,45,23
181,44,58,360,165,42,39,57,35
182,53,47,401,131,48,50,28,42
183,46,33,419,132,43,46,42,39
184,37,37,445,103,56,40,44,38
185,40,57,357,87,139,40,47,33
186,35,43,284,73,243,31,48,43
187,30,49,325,71,189,50,37,49
188,40,39,364,68,156,46,48,39
189,40,40,408,55,127,42,51,37
190,43,43,419,46,115,39,51,44
191,31,45,453,44,85,43,58,41
192,41,43,441,55,81,42,55,42
193,47,43,474,33,76,48,42,37
194,48,57,458,39,78,40,42,38
195,48,59,482,46,43,32,49,41
196,39,49,484,47,53,45,62,21
197,44,59,474,56,57,34,44,32
198,32,35,488,47,46,46,65,41
199,32,38,486,45,50,49,48,52
200,26,37,495,61,41,58,36,46
201,22,39,502,55,49,64,40,29
202,38,39,514,45,33,46,52,33
203,20,37,502,54,43,68,55,21
204,45,32,480,62,42,37,63,39
205,27,43,507,47,35,47,59,35
