iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
0,50,50,50,50,50,50,50,50,50
1,41,50,55,44,60,48,52,52,48
2,119,44,43,41,29,45,54,37,38
3,177,31,33,36,32,26,29,42,44
4,153,28,102,36,27,30,30,24,20
5,129,25,157,19,20,26,22,24,28
6,171,21,139,17,16,19,29,19,19
7,136,17,119,19,11,18,18,94,18
8,121,14,87,16,16,12,12,163,9
9,99,12,68,10,14,13,3,225,6
10,84,8,55,10,12,16,13,243,9
11,79,8,41,8,10,9,4,282,9
12,47,10,52,14,8,6,6,300,7
13,41,9,39,6,4,11,8,329,3
14,36,5,26,5,8,6,6,348,10
15,31,6,22,4,4,5,5,368,5
16,19,7,22,4,11,4,5,375,3
17,15,4,12,2,4,8,3,399,3
18,90,2,6,9,3,7,4,326,3
19,148,1,15,4,4,2,2,267,7
20,114,6,13,0,2,6,5,300,4
21,102,5,4,3,5,7,2,317,5
22,78,5,12,2,2,3,2,344,2
23,76,7,9,0,2,3,2,347,4
24,158,4,5,4,2,3,4,269,1
25,194,2,7,0,2,5,0,237,3
26,244,5,5,1,2,4,7,179,3
27,198,6,86,4,4,3,4,141,4
28,138,5,161,3,3,3,3,132,2
29,144,5,191,2,3,2,1,97,5
30,105,1,246,0,1,7,0,87,3
31,87,5,276,6,3,1,4,66,2
32,67,2,313,4,3,2,4,52,3
33,56,6,263,70,2,2,5,42,4
34,56,5,211,142,2,0,1,31,2
35,41,4,233,132,2,3,1,31,3
36,28,5,294,88,3,2,3,21,6
37,27,4,310,84,2,0,2,18,3
38,27,3,340,55,2,0,5,14,4
39,17,5,353,55,5,2,0,9,4
40,15,2,369,31,3,3,2,22,3
41,12,1,375,40,2,1,3,12,4
42,107,3,290,33,0,4,2,6,5
43,136,4,272,23,1,2,3,8,1
44,199,5,208,28,2,0,2,3,3
45,266,2,139,19,3,5,5,8,3
46,300,5,119,12,3,3,0,4,4
47,299,2,116,15,1,3,2,8,4
48,342,0,88,6,2,1,3,6,2
49,261,2,169,4,6,1,1,3,3
50,228,5,193,13,1,0,1,5,4
51,223,5,211,4,1,1,3,2,0
52,219,0,210,4,3,4,1,4,5
53,234,4,194,6,2,2,3,4,1
54,304,1,130,5,1,0,2,5,2
55,320,3,112,4,4,3,2,0,2
56,269,1,168,4,3,2,1,2,0
57,260,1,180,3,2,0,1,3,0
58,196,5,233,5,3,0,1,2,5
59,169,2,262,4,3,3,0,2,5
60,186,2,253,1,3,0,2,3,0
61,139,1,203,4,2,0,97,3,1
62,122,2,156,2,1,1,162,0,4
63,82,2,176,1,1,1,182,5,0
64,68,0,165,0,6,1,208,2,0
65,46,2,99,3,0,4,295,0,1
66,55,4,77,1,3,2,305,2,1
67,37,4,72,6,4,5,316,4,2
68,38,1,66,0,3,1,338,0,3
69,87,2,43,2,2,5,302,5,2
70,147,2,32,2,1,1,260,3,2
71,185,2,14,1,1,2,244,0,1
72,216,1,14,5,1,1,206,5,1
73,248,1,14,6,1,1,174,4,1
74,291,2,11,3,2,1,130,7,3
75,320,1,15,4,0,1,106,0,3
76,335,2,12,4,1,0,90,4,2
77,359,5,11,2,2,1,65,4,1
78,381,1,10,2,0,1,48,4,3
79,293,6,5,94,2,1,46,2,1
80,242,1,4,153,1,5,38,3,3
81,191,2,3,209,5,0,34,5,1
82,146,3,7,258,2,5,23,5,1
83,103,3,0,235,0,5,98,6,0
84,72,2,2,291,2,1,77,2,1
85,66,2,4,320,3,2,48,2,3
86,61,2,1,336,1,2,40,2,5
